"method","corre","CI_low","CI_high","p_value","virus1","virus2"
"pearson",0.40469056852442,0.207076440916653,0.570575775543721,0.00014783437655913,"ON","BA"
"pearson",-0.33441489429798,-0.513094809490148,-0.127954951545885,0.00200196174744161,"ON","H3"
"pearson",-0.29715956088544,-0.481958165097018,-0.0870496353847964,0.00636977709831438,"ON","H1"
"pearson",-0.296919203662153,-0.481755756491926,-0.086788010216483,0.00641456123317974,"ON","Vic"
"pearson",0.0483264501563255,-0.169125728273205,0.26129216847935,0.664396282590027,"ON","Yam"
"pearson",0.866146258117084,0.799891467294943,0.911542561528013,4.06327563794566e-26,"ON","RSV"
"pearson",-0.343763275920257,-0.520834729920112,-0.138330651897452,0.00146311179935109,"ON","FluA"
"pearson",-0.237992310154298,-0.431530132118593,-0.0235098292408125,0.030268115699531,"ON","FluB"
"pearson",-0.142262395817436,-0.338295783944419,0.065604548050484,0.17856407073268,"BA","H3"
"pearson",-0.334707760812832,-0.505787967192709,-0.138295829298203,0.00118344251932936,"BA","H1"
"pearson",-0.135183763741587,-0.33188869793926,0.0727875180600454,0.201384234873361,"BA","Vic"
"pearson",-0.40496102911784,-0.563878605900816,-0.217124266028765,6.84360695534678e-05,"BA","Yam"
"pearson",0.807556592360051,0.716703684825462,0.871454755195642,2.90355926339206e-20,"BA","RSV"
"pearson",-0.287956096406536,-0.466250836489931,-0.0871813715805861,0.0056429702892928,"BA","FluA"
"pearson",-0.268735581693997,-0.449787094245623,-0.0664694667556033,0.0100036661531821,"BA","FluB"
"pearson",0.624247671692822,0.480013664337642,0.735620688681693,3.80745020642549e-11,"H3","H1"
"pearson",0.435521169316191,0.252196684345335,0.588666548031839,1.59885599156159e-05,"H3","Vic"
"pearson",0.335982039903696,0.139703826141458,0.506855635722443,0.0011301134659808,"H3","Yam"
"pearson",-0.304876335067969,-0.488446117360043,-0.095464656926966,0.00507110343175171,"H3","RSV"
"pearson",0.846625623813058,0.775979080056692,0.896294235387763,4.13358323686972e-26,"H3","FluA"
"pearson",0.500499720969194,0.328405367353476,0.640431840109329,4.37197730239531e-07,"H3","FluB"
"pearson",0.266166887931102,0.0637146000871465,0.447577464419014,0.0107676582081938,"H1","Vic"
"pearson",0.546922348372111,0.384258814524031,0.676651937229468,2.03505852808211e-08,"H1","Yam"
"pearson",-0.381512683223324,-0.5517957034587,-0.180692224851857,0.000372786105409146,"H1","RSV"
"pearson",0.944264166594327,0.916559239505921,0.962948034485025,1.00681187364799e-44,"H1","FluA"
"pearson",0.434689751213069,0.251236089018193,0.587995957767616,1.66650896177907e-05,"H1","FluB"
"pearson",0.187145236386533,-0.0195532243163945,0.378502012450826,0.0756831435573993,"Vic","Yam"
"pearson",-0.280833506997117,-0.468164761845453,-0.0693446059382756,0.0101203333008746,"Vic","RSV"
"pearson",0.364836199056472,0.171799717745567,0.530891882752147,0.000377134059482095,"Vic","FluA"
"pearson",0.928859086627899,0.893914487122186,0.952581125293421,3.73685917695819e-40,"Vic","FluB"
"pearson",-0.203755664382406,-0.401787248868167,0.0124821989803801,0.06466257729771,"Yam","RSV"
"pearson",0.514149865296337,0.344704584589704,0.65114702377441,1.85948388185923e-07,"Yam","FluA"
"pearson",0.537720089322825,0.37309166681322,0.669521652951109,3.87915344484439e-08,"Yam","FluB"
"pearson",-0.389394657257779,-0.558201575093223,-0.189632242578039,0.00027425682144359,"RSV","FluA"
"pearson",-0.318745481330347,-0.50005593797414,-0.110664357958943,0.00331528314725183,"RSV","FluB"
"pearson",0.507018018218903,0.336175900772839,0.645555422483296,2.92008757135086e-07,"FluA","FluB"
