dates	Mean	Median	Upper	Lower
2011.591726	1.700927078	1.110905052	7.129999261	0.243091064
2011.680423	1.81844844	1.232424461	6.994683252	0.289520274
2011.769121	2.025883806	1.383375579	7.678976468	0.329158567
2011.857819	2.410682712	1.636299966	9.165153769	0.369810832
2011.946517	3.015847279	2.026966173	11.62431323	0.444693351
2012.035214	3.709338599	2.56116398	13.0286381	0.560225921
2012.123912	4.32001282	3.089906444	14.25049247	0.752053607
2012.21261	4.574819735	3.385681514	14.94792022	0.977644
2012.301307	4.455980778	3.305989473	13.10408614	1.063748178
2012.390005	4.239930819	3.202867702	11.32208358	1.084706593
2012.478703	4.620418917	3.502308019	12.48466582	1.230808394
2012.5674	6.297124226	4.914849981	16.57817271	1.664612176
2012.656098	8.87299844	7.254334411	22.09120727	2.580997129
2012.744796	11.24642041	9.262230188	25.73825922	3.837187086
2012.833494	11.84241426	9.579155581	26.7032643	3.991875293
2012.922191	19.49477821	16.10953524	45.47429473	6.781812105
2013.010889	28.23041734	23.86420036	71.60904007	9.61399825
2013.099587	23.56620612	18.81117858	67.75712577	6.525522562
2013.188284	17.20954486	13.68865286	48.88787533	4.628610231
2013.276982	11.32199033	8.908720937	32.9937077	2.99644531
2013.36568	3.648405968	2.945036173	9.744520226	1.100117039
2013.454377	2.673928664	2.30018997	6.360368939	0.965248085
2013.543075	4.549885439	3.912497626	10.84265925	1.66968612
2013.631773	9.252176985	8.047732579	21.65211002	3.276047398
2013.72047	19.85621415	17.08772347	48.11103456	7.027376609
2013.809168	38.67299466	32.479839	98.49964999	12.20679361
2013.897866	71.67272992	60.66279275	182.3522256	22.93858294
2013.986564	91.11651437	76.07597033	247.4616963	26.77477987
2014.075261	69.33173839	50.50790069	242.4878217	12.81078856
2014.163959	44.16523266	28.24176671	173.1453182	6.570311155
2014.252657	29.7061655	18.91034547	119.7637932	4.421658451
2014.341354	20.07872187	12.64681115	81.03587384	2.654142344
2014.430052	11.47393947	6.721753655	47.44309632	1.206256595
2014.51875	5.177273444	3.001217639	22.46568796	0.760798544
2014.607447	2.41980703	1.898618259	7.363416854	0.632718063
2014.696145	2.086994909	1.77936355	5.194118248	0.647832204
2014.784843	1.731524257	1.568272207	3.774115286	0.701727232
2014.873541	1.888147404	1.715308174	4.095532738	0.726705435
2014.962238	2.050584495	1.84483418	4.450692629	0.838669465
2015.050936	3.151982666	2.780819063	7.292577885	1.133276338
2015.139634	4.107693699	3.715795536	9.0720342	1.63793604
2015.228331	3.316418405	2.975575943	7.479496919	1.21714506
2015.317029	2.998502028	2.612494609	7.120199117	1.069512734
2015.405727	2.54135572	2.153910833	6.763032317	0.780164551
2015.494424	2.598039357	2.27501665	6.288349421	0.91856605
2015.583122	4.536161223	3.914590795	11.0170526	1.451220506
2015.67182	9.700064333	8.260191016	24.72795977	2.94296342
2015.760517	21.00804877	17.83996142	55.27741454	6.208647976
2015.849215	42.25241979	34.87265663	116.0669862	12.45547019
2015.937913	84.06870039	69.23628729	238.7973838	24.31192404
2016.026611	137.051296	111.8929675	380.3044186	38.42131799
2016.115308	167.2177627	136.96343	465.0891933	47.30368253
2016.204006	150.1314507	119.5214425	445.7863044	31.78050778
2016.292704	88.96118976	56.69005404	357.6065583	9.068077948
2016.381401	23.1629488	9.92412322	138.4113204	2.28686043
2016.470099	6.537107903	5.096354071	18.90512736	1.781523727
2016.558797	6.13329932	5.301673366	14.72618615	2.066301206
2016.647494	7.386542464	6.398771579	18.42500559	2.556949371
2016.736192	9.002612218	7.913109405	20.96077433	3.400088082
2016.82489	10.86062576	9.212567985	27.60686445	3.727245719
2016.913588	18.65157089	15.45452875	49.7056477	5.896507967
2017.002285	33.56916314	28.50991587	85.30383575	10.798179
2017.090983	36.03500099	30.27388838	96.60857702	11.5254379
2017.179681	17.82735398	14.0752477	52.78439232	4.513298297
2017.268378	5.455946661	4.01352598	18.88823812	1.104018965
2017.357076	1.389241403	1.202172182	3.405498844	0.468078118
2017.445774	1.90044331	1.677991485	4.421680827	0.617173892
2017.534471	4.098412922	3.647763896	9.454667559	1.453105417
2017.623169	7.563370194	6.734536635	16.70055059	2.799660006
2017.711867	13.25839228	11.71904078	30.39981577	4.892433468
2017.800565	21.22914361	18.52710023	50.65043545	7.434883379
2017.889262	33.96802304	29.4019306	83.3447343	11.94370876
2017.97796	51.67282874	44.44629757	128.6375684	17.8352341
2018.066658	59.93855797	49.99007613	164.161152	19.08465192
2018.155355	46.84153002	38.73256575	129.9505817	14.36361931
2018.244053	28.88870683	24.52861932	76.71808006	9.472596955
2018.332751	11.2765477	9.654841225	28.43360519	3.83413581
2018.421448	9.828428208	8.779384522	21.82247455	3.859774098
2018.510146	16.35535872	14.41927644	37.89404117	6.144142746
2018.598844	31.13829566	26.9187058	74.80369523	10.39496115
2018.687541	58.81641354	49.89283652	148.7128704	19.04518849
2018.776239	103.4601013	86.88884284	270.2123798	30.24354892
2018.864937	150.666741	124.0203996	407.9607698	44.11927707
2018.953635	169.2989494	138.4469998	480.9206261	45.17009443
2019.042332	153.7689948	122.4507432	456.116134	38.32807105
2019.13103	100.1322493	72.62256039	344.0815886	18.5601128
2019.219728	36.21092202	21.93708901	153.1743387	5.707108975
2019.308425	4.912233402	3.422384805	17.23325659	1.097260512
2019.397123	2.001011547	1.748470093	4.742347797	0.703914313
2019.485821	4.568026222	4.07529215	10.55138517	1.621869605
2019.574518	11.09166189	9.740791558	26.41137309	3.971205145
2019.663216	25.57093842	21.89141309	64.7312364	8.604617869
2019.751914	57.79611262	47.6467853	159.523081	16.67377848
2019.840612	118.6317188	91.37758223	362.1230183	29.24298476
2019.929309	214.3789031	163.183528	679.791922	48.38658963
2020.018007	312.036625	226.1793788	1062.747459	71.00335465
2020.106705	395.5179417	273.8568664	1464.288465	80.06398607
2020.195402	473.1706193	312.0715105	1916.821542	79.12227265
2020.2841	550.6991152	343.9020543	2396.823362	53.18978911
