dates	Mean	Median	Upper	Lower
2012.041099	1.053156055	0.684017611	4.149391213	0.106991676
2012.123589	1.807953628	1.317223677	6.429405339	0.192321048
2012.206079	2.930180073	2.32015167	9.239934322	0.45039147
2012.288569	4.301885792	3.493037077	12.53781193	0.953302626
2012.371059	5.519689619	4.611568369	14.91201157	1.579224931
2012.453548	6.511757582	5.54922567	16.77498039	2.036787812
2012.536038	7.062309721	6.036028674	18.2462465	2.3723856
2012.618528	7.01250102	6.203926141	16.60511155	2.576180354
2012.701018	6.962699581	6.249919072	15.24129933	2.878145197
2012.783508	6.945422982	6.28675064	14.92743887	2.803731817
2012.865998	6.403168949	5.85081506	13.38190249	2.674049436
2012.948488	6.731813348	6.174927282	13.8379805	2.920808634
2013.030978	8.555968733	7.824586423	17.86116219	3.610303245
2013.113468	9.713842505	8.596941347	22.78396407	3.371092511
2013.195958	7.917297087	6.774729509	21.36559387	1.570268132
2013.278448	5.282314239	3.978955158	16.96152099	0.781752293
2013.360937	3.126293913	2.185693606	11.34224687	0.620642553
2013.443427	2.194350351	1.787947074	6.20141461	0.628314149
2013.525917	2.75958191	2.337925765	7.085529338	0.857737795
2013.608407	4.415546089	3.682519968	11.85770551	1.274481201
2013.690897	6.7169286	5.732493834	17.25450547	2.013552888
2013.773387	8.761958147	7.57455194	21.79786275	2.918978534
2013.855877	9.958343585	8.648853963	24.4205213	3.404941692
2013.938367	9.506410171	8.238202088	22.82808762	3.164766959
2014.020857	8.531569015	7.369312831	21.63890747	2.950808227
2014.103347	7.960558814	7.048565321	18.22764689	2.969999425
2014.185837	7.993178886	7.04302741	19.0125034	2.846479689
2014.268326	7.260783168	6.318469422	18.28809701	2.207917508
2014.350816	6.044134597	5.119632229	15.81194481	1.678789784
2014.433306	4.867213382	4.113862305	12.70423081	1.592037382
2014.515796	4.308111969	3.790832186	10.00753167	1.565728504
2014.598286	4.693039675	4.282546148	10.1117857	1.863990985
2014.680776	6.565068123	5.883115978	14.8073025	2.506896197
2014.763266	10.693375	9.446946167	24.24812524	3.910934215
2014.845756	17.75090444	15.66979773	40.36033864	6.357210519
2014.928246	27.11827388	23.83996898	63.46065387	9.881667581
2015.010736	35.88510567	31.29342393	86.27476293	12.53761421
2015.093226	38.07709147	32.98476097	96.03301086	9.491962556
2015.175715	29.72765227	23.91263766	87.56444749	5.225077131
2015.258205	15.85158609	11.43328906	55.53498902	2.409207118
2015.340695	6.417312822	4.794520725	20.65216314	1.574022647
2015.423185	3.830911211	3.414321899	8.587593595	1.476237891
2015.505675	5.277833786	4.759274491	11.3053408	2.164904545
2015.588165	9.951094333	8.881878081	21.68129022	3.846962008
2015.670655	19.02148524	16.81788827	43.46689715	7.292807484
2015.753145	37.22322964	31.68327852	95.16850241	12.44522955
2015.835635	70.12013415	56.91808691	202.7845978	20.61125578
2015.918125	107.890711	87.8038465	313.5109843	28.85104103
2016.000615	122.621671	101.9997944	345.8308136	18.41945862
2016.083104	119.1159202	98.78659818	360.7315913	10.79431944
2016.165594	106.67176	86.63319428	341.9594315	7.801532693
2016.248084	86.93407822	59.59441841	320.6128579	5.726478498
2016.330574	52.85139978	21.97717607	268.0040707	4.373984307
2016.413064	15.45548366	10.16788239	63.0095512	3.895056504
2016.495554	11.91454007	10.75021762	25.58059263	4.754849852
2016.578044	19.10878068	16.80875189	45.83114124	7.006250541
2016.660534	31.68851318	27.30132358	78.12191583	10.83019635
2016.743024	46.80852736	40.83095498	112.7610616	16.27449662
2016.825514	66.95801727	57.50938576	168.5620864	22.45815995
2016.908004	94.31619047	79.12202396	256.4548721	28.65276122
2016.990493	118.4782312	98.46263639	333.9559589	21.55699149
2017.072983	120.0599091	100.3698635	351.1951485	8.193436121
2017.155473	110.1076624	90.43883435	351.8609021	5.165920245
2017.237963	92.2391933	68.5977117	332.3947443	3.614449345
2017.320453	59.07444585	24.04592597	276.0372003	2.616907209
2017.402943	15.80353138	6.328058206	115.0398668	2.055182405
2017.485433	5.545986888	4.891326295	12.64045451	2.114177222
2017.567923	7.303828428	6.589215679	15.72013453	2.965675789
2017.650413	11.97478685	10.781276	26.65083575	4.719495116
2017.732903	20.39703353	18.04932747	46.6726525	7.646795348
2017.815393	34.25206373	29.62875013	84.36184268	12.41770456
2017.897883	51.34826345	44.12324336	127.5107638	17.92274075
2017.980372	69.17769593	59.68847469	171.2511872	21.99896823
2018.062862	73.65546344	64.0670976	191.2576127	11.92905573
2018.145352	64.38791327	54.45247338	190.8788137	5.750431354
2018.227842	48.50762929	35.60236946	166.6470514	4.210510205
2018.310332	29.5492802	15.33512627	136.9056306	3.187522268
2018.392822	12.48889042	7.697092259	56.83501633	2.735062915
2018.475312	7.69415975	6.743938229	18.01567937	2.950821339
2018.557802	10.09506586	9.027251202	22.10030867	3.982982293
2018.640292	15.1029294	13.46457351	33.64645645	5.783789564
2018.722782	21.97997488	19.61261862	48.61954482	8.613777011
2018.805272	30.12306346	27.26288293	66.0060976	12.00734682
2018.887761	40.26945899	35.75626199	92.44484081	15.59883497
2018.970251	51.93345619	45.96493181	117.3429035	20.21649374
2019.052741	60.32524987	53.63519728	141.9426495	20.32061152
2019.135231	60.24765467	53.48331635	146.2723755	14.43434043
2019.217721	51.18041841	44.04701789	132.8606649	11.39504103
