dates	Mean	Median	Upper	Lower
2011.823375	1.020581404	0.774869079	3.31686575	0.187017173
2011.909123	1.116747067	0.857250059	3.567030482	0.218369141
2011.994871	1.176182864	0.913026424	3.72134556	0.245135885
2012.08062	1.166937471	0.915270267	3.725182294	0.261555103
2012.166368	1.143011773	0.90563636	3.457611649	0.280634412
2012.252116	1.441856389	1.13565658	4.309309033	0.340930083
2012.337864	2.405431504	1.99226223	6.715241241	0.552534033
2012.423613	3.882029021	3.351377935	9.848154675	1.114753181
2012.509361	5.92965407	5.258272499	13.60194922	2.01690281
2012.595109	9.269948593	8.304655266	20.25898587	3.421633615
2012.680857	15.01835993	13.47315322	32.75082142	6.115967906
2012.766605	20.35488224	18.34459622	43.95976741	8.390170643
2012.852354	20.24419188	18.19472403	45.7628552	7.872604194
2012.938102	23.91620311	21.13300361	56.53862293	8.495680867
2013.02385	32.11939799	27.98570018	76.83165653	11.67655661
2013.109598	36.69539504	31.87837066	88.62370258	12.65846044
2013.195346	32.77407751	27.87469259	83.88448367	10.16859176
2013.281095	18.08366688	14.36428322	53.39387184	4.719672637
2013.366843	8.249313625	6.598117583	24.07932979	2.125408563
2013.452591	6.232076426	5.359459621	15.52957082	2.011238601
2013.538339	7.245588618	6.368292171	17.05064506	2.587711174
2013.624088	9.385324898	8.279851354	21.81469787	3.44121963
2013.709836	11.57401731	10.17142821	26.52213857	4.276590769
2013.795584	12.64498706	11.27683908	28.36824335	4.951591167
2013.881332	12.3968646	11.17201369	26.72929666	5.20881027
2013.96708	11.11547483	10.12825288	23.52254787	4.790682587
2014.052829	8.743539825	7.973850984	18.03572037	3.775976814
2014.138577	8.407352857	7.741873167	16.84558976	3.819010249
2014.224325	7.563140837	6.917365959	15.69176574	3.290392782
2014.310073	7.653665511	7.012406792	15.86712012	3.230153319
2014.395821	8.796693128	7.992825054	18.36390233	3.641701908
2014.48157	14.07499534	12.8660375	29.34970548	5.817462429
2014.567318	22.37900366	20.18736853	47.51542835	9.37757477
2014.653066	33.73288111	30.73263803	69.80567579	14.5808324
2014.738814	49.95286241	45.20688104	108.2638926	21.05201034
2014.824563	67.49643543	60.5314567	147.4133287	26.4925527
2014.910311	90.20885687	79.48706952	210.0575849	34.34188514
2014.996059	116.7971697	102.2126142	280.7951443	43.00105653
2015.081807	132.7928862	116.0484798	316.9005608	48.91062263
2015.167555	116.0942639	100.9290172	278.9551251	41.90390964
2015.253304	65.52697451	56.16442151	162.7813374	23.32264028
2015.339052	27.69096753	24.30775498	63.95217084	10.278611
2015.4248	16.57469775	14.96544901	35.73261426	6.60714462
2015.510548	18.99445969	17.35872561	38.99980669	8.264812497
2015.596296	27.9314371	25.27472612	59.97117953	11.6343283
2015.682045	42.52176126	37.98610475	95.06267809	17.28719665
2015.767793	60.68016416	53.38448008	141.4582428	23.03088447
2015.853541	83.33791687	72.65928315	195.309243	30.6347297
2015.939289	108.839529	95.17651808	255.0403966	40.66542313
2016.025038	128.3791104	112.151909	311.5247765	46.13428321
2016.110786	136.3906493	117.104466	328.8510981	47.85402209
2016.196534	112.711141	94.29331616	292.3723022	36.7552918
2016.282282	50.47960399	39.61023744	149.4145265	14.57379516
2016.36803	13.95965068	12.15364338	33.04169832	4.995815177
2016.453779	9.865749072	9.0695509	20.16781156	4.313220418
2016.539527	13.74709247	12.75720174	27.70262403	6.064121036
2016.625275	22.16312823	20.20683179	46.01994486	9.393474559
2016.711023	38.15223496	34.2539466	84.3494424	15.46887335
2016.796771	66.10712784	58.46631111	152.591985	25.14005989
2016.88252	104.2261769	91.06091195	239.9607668	38.98132361
2016.968268	138.3692572	120.2717218	335.0761722	49.91434439
2017.054016	145.2206742	124.9257011	354.3585169	51.57756878
2017.139764	112.3831306	96.66677735	281.6599373	40.46040863
2017.225513	58.67843165	50.18270852	146.7377054	21.69377372
2017.311261	23.05133298	20.69356138	49.65658272	9.520765874
2017.397009	14.29260159	13.09485193	29.70848913	6.133962983
2017.482757	20.09013782	18.37313635	41.00552491	8.890200084
2017.568505	34.96949257	31.44631277	74.53165934	14.56482356
2017.654254	61.01394057	53.9712648	137.9726814	23.63654573
2017.740002	100.7952576	88.55856395	236.4542141	37.50719392
2017.82575	144.7671739	125.6727757	349.281906	50.9270472
2017.911498	182.7689437	156.5553402	456.913362	59.98098351
2017.997246	194.0159642	164.8592606	495.5975744	63.35208849
2018.082995	169.4385139	140.0045135	460.1508139	51.76483815
2018.168743	109.7638858	86.48993583	334.2058222	30.55558301
2018.254491	43.28588838	32.13935703	142.4902948	11.85750474
2018.340239	11.58534914	10.02664205	28.42206114	4.012276542
2018.425988	9.53127222	8.596073702	20.81094719	3.731349073
2018.511736	16.2293928	14.54480638	36.33745141	6.509891708
2018.597484	29.6468722	26.37463845	65.40167632	11.84197189
2018.683232	49.33286935	43.34161764	113.1706442	18.7089691
2018.76898	71.45394543	62.96644506	165.7204464	26.18988323
2018.854729	88.73423213	76.18829514	219.4185689	30.86369465
2018.940477	96.45444524	82.19147749	244.2987458	32.59544833
2019.026225	94.43868828	78.981563	251.8915823	30.06577711
2019.111973	82.5303837	68.51384833	222.2740686	24.7242221
2019.197721	62.34196987	51.40129126	174.5946198	18.84425858
2019.28347	30.0971663	23.44176667	92.39824968	7.596959731
2019.369218	9.83740712	7.899355399	28.38755041	2.609559576
2019.454966	6.13223885	5.263201183	15.26561058	2.036782302
2019.540714	5.723089875	5.081859891	13.12365246	2.149810958
2019.626463	6.709806472	6.062400661	14.56940424	2.667382479
2019.712211	8.044171176	7.251088251	17.34176786	3.391466814
2019.797959	7.701642412	7.093502682	15.60499073	3.390679982
2019.883707	6.908744658	6.367801476	13.67500293	3.076255891
2019.969455	5.016065262	4.611422062	10.04697245	2.301189575
2020.055204	2.082537508	1.853197564	4.599449898	0.818022048
2020.140952	1.290639739	1.055703319	3.594133032	0.316784531
2020.2267	1.261897938	0.922310244	4.490184044	0.201429236
