dates	Mean	Median	Upper	Lower
2008.857289	17.23517502	10.23098596	74.69778757	0.758950695
2008.932599	18.77131459	11.45080637	79.14326011	0.833802231
2009.00791	20.16650896	12.52343941	82.39262305	0.94509603
2009.08322	21.59699264	13.77283165	87.09872671	1.100639129
2009.15853	23.27277131	15.41379891	89.14608382	1.30886197
2009.233841	25.06249653	16.88364389	94.3081389	1.65081359
2009.309151	26.89910062	18.53226994	98.81261545	1.985745691
2009.384461	28.72090844	20.3103442	102.5318614	2.457562067
2009.459772	30.72664952	22.30730455	108.5839958	2.977644911
2009.535082	32.7938552	24.13927289	113.7577235	3.38187353
2009.610392	34.83707612	25.99758098	118.9357273	4.03522576
2009.685703	37.10082064	28.08704855	123.6289173	4.750852042
2009.761013	39.18509079	30.42443875	126.7518722	5.397263421
2009.836323	41.59633668	32.38180579	129.9588918	6.294723713
2009.911634	44.04831912	34.72064033	133.6825275	7.049713884
2009.986944	46.67383037	37.08739192	142.3885461	7.925784534
2010.062254	49.2619434	39.35203072	149.4783437	8.937703279
2010.137564	51.82383132	41.26135219	155.3315813	9.801285663
2010.212875	54.16734036	43.81339975	157.5866066	11.02046007
2010.288185	56.05842408	45.44751728	162.49778	11.70995507
2010.363495	58.28235741	47.42922735	166.3506402	12.72595562
2010.438806	60.46241084	49.69875344	169.4280099	14.0186748
2010.514116	62.65205487	51.21124791	175.6442607	15.35833397
2010.589426	64.80376265	53.23951046	182.5205942	15.69711338
2010.664737	66.85400501	55.39108235	191.5746363	16.94311851
2010.740047	68.39268354	57.13277529	190.5122558	18.04926467
2010.815357	69.87489208	58.44011682	186.2995755	19.4949944
2010.890668	71.05310074	59.75753008	186.3688799	20.49682526
2010.965978	73.00953505	61.89779352	185.6160083	21.82678497
2011.041288	74.86862624	63.51637156	193.0262014	22.28337409
2011.116599	76.5205029	65.88518976	192.3508014	24.03847511
2011.191909	77.8526111	67.24974012	197.7262581	24.64205309
2011.267219	79.88214393	69.19066648	199.8216735	25.56325338
2011.34253	82.05870357	70.75019282	206.6385454	26.41051868
2011.41784	83.97478665	71.952181	211.4259778	28.32612543
2011.49315	86.05705537	73.9430205	217.6233623	28.46076964
2011.56846	88.45934683	76.58902806	221.7187568	30.00237232
2011.643771	91.40328274	78.30075579	234.4629005	30.7761378
2011.719081	95.0738196	81.81330414	234.3969408	31.73681475
2011.794391	97.85330826	84.19011285	243.6733289	32.99469456
2011.869702	100.6980507	86.98333921	247.1771465	34.77846458
2011.945012	103.8510318	89.49543001	258.2183067	35.41143161
2012.020322	107.6241866	92.93861349	265.0200833	37.17013774
2012.095633	112.6864482	97.35212977	282.5828471	38.53435829
2012.170943	117.5883582	101.3967195	288.1495375	41.48558353
2012.246253	122.9805119	107.4766472	292.5421422	43.27807384
2012.321564	128.3588113	112.2400076	307.661463	45.93334201
2012.396874	133.4222483	117.2195539	314.6334811	47.33630825
2012.472184	138.05721	121.8138725	322.9213681	51.59050433
2012.547495	140.8175071	124.2109687	325.5934806	54.1855505
2012.622805	141.2898981	125.9134472	315.4434106	57.74761494
2012.698115	136.1521148	122.4348409	297.8151374	58.15416861
2012.773426	121.2114561	110.185323	250.0918254	53.88316983
2012.848736	97.410631	89.14168511	201.4075287	45.18741035
2012.924046	71.45880798	65.73751772	142.0411468	34.33910597
2012.999356	52.50129405	48.64636716	101.7492513	25.54657418
2013.074667	36.63379587	33.68877957	74.11710654	16.6043141
2013.149977	23.7241068	21.8317532	49.7649089	9.707590449
2013.225287	18.04103529	16.54170353	37.93457122	6.823351305
2013.300598	14.64207015	13.36124664	31.00565075	5.709757208
2013.375908	12.90322814	11.76493133	26.78939077	5.358038073
2013.451218	12.51681349	11.63607122	25.0504842	5.559004279
2013.526529	12.93852834	12.07537489	25.21022082	5.798739814
2013.601839	13.93155614	12.84172614	27.86247671	6.254727008
2013.677149	15.20831517	13.90585397	30.76648171	6.961064698
2013.75246	16.35053366	14.89490783	34.54166365	7.365480606
2013.82777	17.19548053	15.52947449	37.72872604	7.422664155
2013.90308	17.98338382	16.20872332	39.76195122	7.492671389
2013.978391	18.44262157	16.46313197	42.22403179	7.311336728
2014.053701	18.26832834	16.23190542	41.01154006	6.991882536
2014.129011	18.28361364	16.16345184	42.67414288	6.786834968
2014.204321	18.25727904	16.04886528	43.6087453	6.680533061
2014.279632	18.09917698	15.71951029	44.25013403	6.400898606
2014.354942	17.90617161	15.44662691	45.13306434	5.895752934
2014.430252	17.59693411	14.92300446	45.36164566	5.43013685
2014.505563	17.2040261	14.54652507	44.81052811	5.170672117
2014.580873	16.74744369	14.10964766	43.78934426	5.01944295
2014.656183	16.32484415	13.89042631	42.90092226	4.932868034
2014.731494	15.97897571	13.51021277	42.55777257	4.778590766
2014.806804	15.65887173	13.1354853	41.70566952	4.685199796
2014.882114	15.37227521	12.94186991	40.14353102	4.533680896
2014.957425	15.50694303	13.09104864	41.54522498	4.685956787
2015.032735	15.91055518	13.36313166	43.08300763	4.829329264
2015.108045	16.41993934	13.78870191	44.46390102	5.064177461
2015.183356	17.08215474	14.3211166	46.48786778	5.174142699
2015.258666	17.71234353	14.87158342	47.8215361	5.397754835
2015.333976	18.38076274	15.51913238	49.34971542	5.719437926
2015.409287	19.00679015	15.98183307	51.70856648	5.836518912
2015.484597	19.72248015	16.64135865	53.77810859	6.016538586
2015.559907	20.28274993	16.92479415	54.50440375	6.172812881
2015.635217	20.82650043	17.51253067	55.81155432	6.298411358
2015.710528	21.1911808	17.90753589	56.43862088	6.403832526
2015.785838	21.34683559	18.02221403	56.08638404	6.491779128
2015.861148	21.33111279	17.8925624	57.16320159	6.527745776
2015.936459	20.86054746	17.11470874	57.36170617	6.074474888
2016.011769	19.52341205	15.59656486	56.44620682	5.257464747
2016.087079	18.34442723	14.26227381	56.53976015	4.275607183
2016.16239	18.2737404	13.97873934	59.80098363	3.922908618
2016.2377	18.20230295	13.29636451	64.46412437	3.22393484
