dates	Mean	Median	Upper	Lower
2008.362301	24.26920188	16.49201971	92.19713587	2.293706744
2008.431678	25.06393794	17.00244308	92.96428475	2.389864129
2008.501054	25.98045093	17.82705911	95.35784817	2.512510616
2008.570431	26.86166886	18.67424475	100.5095069	2.542741831
2008.639807	27.86112612	19.40831734	102.6908534	2.556995382
2008.709184	28.85744445	20.20826862	106.1461326	2.551954748
2008.77856	29.98610285	21.22748978	107.1703484	2.737679451
2008.847937	31.0477339	22.18914454	110.0840492	2.794655555
2008.917314	32.16204237	23.32482975	114.260031	2.950300653
2008.98669	33.30126727	24.14697658	117.0671166	3.103021838
2009.056067	34.42590125	24.99892082	118.6490412	3.239194893
2009.125443	35.59591013	26.16008538	122.175752	3.405105145
2009.19482	36.8572018	27.2856248	127.0535508	3.660900369
2009.264196	38.14621088	28.73600301	129.7533498	3.880856307
2009.333573	39.51509008	29.80649232	134.6847685	4.233323192
2009.402949	40.88296232	31.02719008	138.6728147	4.509365389
2009.472326	42.25380174	31.97189067	144.322443	4.780884109
2009.541702	43.59761027	33.44094954	150.1521678	5.150336416
2009.611079	44.93810498	34.49059049	152.0647162	5.396038359
2009.680455	46.11067262	35.45371239	152.5047416	5.75338689
2009.749832	47.25314362	36.32985611	154.0936206	5.912524597
2009.819208	48.48201061	37.68269649	157.8608227	6.105243628
2009.888585	49.55157863	38.49534938	157.3689977	6.820529057
2009.957961	50.7468004	39.58593689	159.8197864	7.018343154
2010.027338	51.55717033	40.49169395	163.1774445	7.820521237
2010.096714	52.26122569	41.56924912	160.1920161	8.325698584
2010.166091	52.98813014	42.02035271	162.7918061	9.01582536
2010.235467	53.52022426	42.72164507	164.0922792	9.71264089
2010.304844	53.75938101	42.99208832	160.9424532	10.08349347
2010.37422	53.90971343	43.34690319	160.4551982	10.56025079
2010.443597	53.50868933	43.18499598	156.2004848	10.85530656
2010.512973	53.10906211	42.82272754	153.0195943	11.28006552
2010.58235	52.58294404	42.4335737	151.3288819	11.63359097
2010.651726	51.8394758	42.28186725	149.4788345	12.11251452
2010.721103	50.74881098	41.75503646	144.3992785	12.51428965
2010.790479	49.61984568	41.04432104	139.7174428	12.82078015
2010.859856	48.34679913	40.44196356	131.944526	13.37281719
2010.929232	46.91103059	39.77828361	128.2758517	13.5309715
2010.998609	45.59820058	38.96257301	120.3397762	13.49912573
2011.067986	44.50987479	38.30415672	113.6409989	14.22088344
2011.137362	43.60087762	37.55779473	111.1621046	14.34840019
2011.206739	42.94448241	36.93703038	110.2066904	14.05537607
2011.276115	42.58865267	36.37232104	108.9551161	14.27624195
2011.345492	42.47345489	36.31580462	109.6498203	14.57347329
2011.414868	42.39880721	36.15760312	107.8401026	14.46460594
2011.484245	41.96781722	35.97016777	105.2701292	15.08595455
2011.553621	41.09342985	35.69011767	100.9567146	15.17910877
2011.622998	39.82635046	34.75702022	95.24779568	15.53995224
2011.692374	38.21284077	33.48734921	87.04757664	15.56288914
2011.761751	35.99918115	31.86727941	82.11409023	15.00729294
2011.831127	32.89491859	29.39212939	72.06962232	14.34628042
2011.900504	29.30413308	26.59169957	62.43975556	12.96054398
2011.96988	25.00209878	22.91992471	50.82749296	11.02904458
2012.039257	21.06753128	19.53657718	42.57845314	8.965642718
2012.108633	18.86026512	17.4706403	38.12806303	7.858754491
2012.17801	18.00856079	16.50372704	37.65061682	7.177131515
2012.247386	18.69505782	17.05989678	38.81730064	7.181185349
2012.316763	20.53997061	18.83313214	42.19629402	8.248353935
2012.386139	23.45255197	21.63634452	47.77515321	9.989846981
2012.455516	27.13141198	25.20424438	55.10763362	11.85108608
2012.524892	31.34327311	28.92488205	62.99029959	14.22892662
2012.594269	35.81445544	33.01389271	71.23196181	16.41294401
2012.663645	39.18262856	36.04882631	76.19470666	18.73213717
2012.733022	40.77420474	37.98257836	79.38277101	20.1770568
2012.802398	42.17060704	38.95040287	83.74232957	20.45895952
2012.871775	40.54435708	37.02868631	81.40324997	19.26271149
2012.941151	36.95548743	33.51035965	76.54129324	16.66798349
2013.010528	32.28478614	28.8065672	72.3832868	12.48266984
2013.079905	30.09337664	26.94146947	68.38955717	11.07271879
2013.149281	28.70592954	25.68244695	65.13686882	10.57330428
2013.218658	27.35171327	24.50696873	61.91823863	10.0523727
2013.288034	25.95455966	23.21921723	58.7918048	9.054950348
2013.357411	24.48312855	21.84737471	56.31693446	8.070117933
2013.426787	22.89731621	20.45042976	54.01162031	6.792868028
2013.496164	21.22372516	18.84590181	51.08822271	5.456868974
2013.56554	19.40791358	17.13957485	48.12530347	4.408209836
2013.634917	17.53473958	15.30598179	45.42555894	3.414336116
2013.704293	15.6973306	13.48264544	42.972123	2.838384718
2013.77367	13.94092163	11.54460564	39.94904891	2.458875411
2013.843046	12.22643976	9.907862669	35.31610594	2.104560781
2013.912423	10.74004797	8.564002457	31.54101424	1.78183708
2013.981799	9.494596128	7.487112264	28.93918222	1.626301019
2014.051176	8.527428677	6.799190067	25.85717235	1.579581375
2014.120552	7.823027239	6.283227957	23.18296231	1.568240849
2014.189929	7.415684153	5.984200618	21.66066259	1.529256187
2014.259305	7.231766706	5.870128628	20.59075174	1.570151927
2014.328682	7.251506972	5.904330164	20.54595242	1.639590599
2014.398058	7.517739203	6.075738537	21.47059499	1.684166849
2014.467435	7.924460598	6.368242344	22.81681088	1.888880767
2014.536811	8.451440176	6.804618665	24.61809468	1.9947247
2014.606188	9.087407461	7.338521527	25.86337035	2.165837547
2014.675564	9.814064822	7.86965588	28.13810886	2.357032398
2014.744941	10.60862821	8.461005878	30.69968595	2.632564338
2014.814317	11.40251095	9.07728027	32.61731649	2.964927686
2014.883694	12.22063645	9.607711815	34.99054843	3.218656533
2014.95307	13.04558324	10.14590841	38.53502653	3.403461973
2015.022447	13.87151136	10.56764805	41.5983638	3.584478567
2015.091823	14.68502522	10.98881838	45.83432322	3.602195299
2015.1612	15.49453971	11.40238629	50.04570491	3.39243569
