,HHS_region,mean_tmp
0,region6,3.302
1,region6,10.354000000000001
2,region6,9.714
3,region6,4.876
4,region6,3.72
5,region6,3.679
6,region6,5.645
7,region6,1.395
8,region6,3.0780000000000003
9,region6,5.471
10,region6,2.633
11,region6,2.113
12,region6,3.333
13,region6,1.1520000000000001
14,region6,4.494
15,region6,0.8590000000000001
16,region6,0.978
17,region6,3.7119999999999997
18,region6,4.633
19,region6,1.568
20,region6,3.6919999999999997
21,region6,6.315
22,region6,0.977
23,region6,2.44
24,region6,2.251
25,region6,4.346
26,region6,3.943
27,region6,3.359
28,region6,1.8319999999999999
29,region6,2.5789999999999997
30,region6,3.85
31,region6,3.5980000000000003
32,region6,2.25
33,region6,1.028
34,region6,6.282
35,region6,1.008
36,region6,1.385
37,region6,2.741
38,region6,0.39299999999999996
39,region6,2.338
40,region6,2.434
41,region6,3.77
42,region6,5.989
43,region6,4.415
44,region6,2.175
45,region6,4.87
46,region6,4.788
47,region6,4.586
48,region6,2.9189999999999996
49,region6,2.213
50,region6,6.091
51,region6,5.648
52,region6,2.468
53,region6,2.9560000000000004
54,region6,3.733
55,region6,0.726
56,region6,2.892
57,region6,5.321000000000001
58,region6,4.119
59,region6,6.721
60,region6,1.506
61,region6,2.6860000000000004
62,region6,3.7560000000000002
63,region6,1.266
64,region6,2.938
65,region6,5.624
66,region6,1.982
67,region6,3.417
68,region6,1.651
69,region6,2.592
70,region6,2.505
71,region6,4.28
72,region6,5.72
73,region8,1.703
74,region8,2.094
75,region8,1.325
76,region8,1.33
77,region8,1.925
78,region8,0.765
79,region8,0.727
80,region8,0.738
81,region8,2.0
82,region8,2.608
83,region8,0.88
84,region8,0.87
85,region8,1.339
86,region8,0.265
87,region8,1.105
88,region8,1.214
89,region8,0.544
90,region8,1.208
91,region8,0.573
92,region8,0.8140000000000001
93,region8,0.526
94,region8,1.631
95,region8,0.56
96,region8,0.767
97,region8,0.631
98,region8,0.718
99,region8,1.959
100,region8,1.3769999999999998
101,region8,0.517
102,region8,0.6459999999999999
103,region8,1.426
104,region8,2.144
105,region8,2.299
106,region8,0.319
107,region8,1.35
108,region8,0.588
109,region8,0.634
110,region8,0.9620000000000001
111,region8,0.317
112,region8,1.337
113,region8,1.486
114,region8,1.172
115,region8,1.012
116,region8,0.745
117,region8,0.622
118,region8,1.652
119,region8,0.722
120,region8,1.037
121,region8,1.5819999999999999
122,region8,1.8219999999999998
123,region8,0.7190000000000001
124,region8,1.0
125,region8,1.148
126,region8,1.196
127,region8,0.647
128,region8,0.426
129,region8,1.035
130,region8,2.281
131,region8,0.9740000000000001
132,region8,1.124
133,region8,1.804
134,region8,0.893
135,region8,1.08
136,region8,0.612
137,region8,0.657
138,region8,0.9740000000000001
139,region8,0.995
140,region8,0.693
141,region8,1.051
142,region8,2.498
143,region8,0.738
