Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-OK,-0.08900000000000001,0.787,0.951,-0.285,-0.16899999999999998,0.879,1.2429999999999999,1.5619999999999998,-0.027999999999999997,-0.5489999999999999,-0.498,-0.899
1949-OK,1.972,2.124,1.9609999999999999,1.538,2.125,2.4219999999999997,2.095,1.659,1.567,1.673,-0.518,-0.49200000000000005
1950-OK,-0.341,-0.36200000000000004,-1.075,-1.463,-0.297,-0.562,2.299,3.563,3.049,-0.141,-0.633,-1.189
1951-OK,-0.983,-0.469,-0.867,-1.024,-0.23800000000000002,1.485,1.879,0.996,0.457,0.54,0.55,-0.792
1952-OK,-1.0979999999999999,-1.2990000000000002,-0.887,-0.306,-0.851,-1.847,-2.344,-2.7039999999999997,-3.325,-3.753,-3.2239999999999998,-3.0639999999999996
1953-OK,-3.193,-3.262,-2.575,-1.993,-2.569,-3.366,-2.43,-2.404,-2.8689999999999998,-2.185,-2.053,-1.923
1954-OK,-1.8719999999999999,-2.399,-2.792,-2.738,-2.017,-2.552,-3.4410000000000003,-3.83,-4.427,-4.015,-4.338,-4.0
1955-OK,-3.843,-3.47,-3.405,-3.696,-2.544,-2.369,-2.496,-2.37,-2.0709999999999997,-1.8559999999999999,-2.427,-2.842
1956-OK,-3.0,-2.9139999999999997,-3.343,-3.696,-4.0360000000000005,-4.656000000000001,-4.863,-5.273,-5.874,-5.647,-4.908,-3.923
1957-OK,-3.04,-2.95,0.6759999999999999,2.275,3.64,4.343999999999999,3.563,2.7539999999999996,3.054,2.844,3.0439999999999996,2.44
1958-OK,2.326,1.89,2.533,2.34,1.746,1.985,2.7539999999999996,2.904,0.28,-0.408,-0.602,-1.176
1959-OK,-1.5030000000000001,-1.7819999999999998,-1.621,-1.515,-1.052,-0.532,1.216,1.3659999999999999,1.716,2.725,2.388,2.946
1960-OK,3.0,3.077,2.37,1.6780000000000002,1.875,1.492,2.487,2.8139999999999996,1.499,1.9469999999999998,1.258,1.7690000000000001
1961-OK,0.9670000000000001,0.8959999999999999,1.251,0.5479999999999999,0.8009999999999999,1.27,2.129,2.548,3.032,2.78,3.248,3.0869999999999997
1962-OK,1.432,-0.005,-0.23800000000000002,-0.20600000000000002,-1.181,0.589,1.006,0.665,1.5619999999999998,0.391,-0.019,-0.142
1963-OK,-0.6559999999999999,-1.167,-1.349,-1.7380000000000002,-2.427,-2.759,-2.7310000000000003,-3.1039999999999996,-3.21,-3.798,-3.747,-3.725
1964-OK,-3.803,-3.373,-3.1439999999999997,-3.175,-2.9930000000000003,-2.6839999999999997,-3.284,-1.78,-1.591,-1.909,0.113,0.065
1965-OK,0.08199999999999999,0.11,-0.015,-0.35700000000000004,-0.49700000000000005,-0.073,-0.121,0.057,0.6559999999999999,0.19399999999999998,-1.4280000000000002,-1.335
1966-OK,-1.425,-1.12,-1.781,-1.391,-2.129,-2.627,-2.825,-1.63,-1.53,-1.9669999999999999,-2.512,-2.654
1967-OK,-2.946,-3.392,-3.887,-1.557,-1.607,-0.8109999999999999,-0.564,-0.629,0.04,0.127,-0.34,-0.27699999999999997
1968-OK,0.46,0.254,0.40299999999999997,0.34600000000000003,1.103,1.013,1.239,1.5759999999999998,1.374,1.367,2.063,2.002
1969-OK,1.8230000000000002,2.0269999999999997,2.244,1.396,1.425,1.216,0.392,0.41100000000000003,0.45399999999999996,0.402,-0.715,-0.624
1970-OK,-0.996,-1.235,-0.731,-0.252,-1.251,-1.574,-2.01,-2.338,-0.574,-0.131,-1.0959999999999999,-1.382
1971-OK,-1.252,-0.978,-1.834,-2.166,-2.541,-2.351,-1.545,-0.988,-0.166,0.308,0.259,1.158
1972-OK,-0.6409999999999999,-1.03,-1.7080000000000002,-1.787,-1.781,-2.086,-1.6159999999999999,-1.505,-1.588,0.77,1.619,1.506
1973-OK,2.145,1.899,3.5,3.8680000000000003,3.2769999999999997,3.367,3.617,3.089,4.0169999999999995,3.3680000000000003,2.878,2.807
1974-OK,2.339,1.942,1.756,1.7530000000000001,1.044,0.958,0.247,2.01,2.799,3.1260000000000003,3.247,3.1639999999999997
1975-OK,3.185,3.42,3.429,2.779,3.0180000000000002,3.063,3.0989999999999998,2.7880000000000003,0.778,-0.935,-0.42100000000000004,-0.615
1976-OK,-1.145,-1.824,-1.324,0.10400000000000001,0.22899999999999998,-0.369,-0.4,-0.7609999999999999,-0.657,-0.425,-0.9209999999999999,-1.246
1977-OK,-1.314,-1.444,-1.25,-0.925,-0.326,-0.882,-1.097,-0.255,-0.9109999999999999,-1.505,-1.555,-1.964
1978-OK,-2.0380000000000003,-1.4980000000000002,-1.4909999999999999,-1.8319999999999999,-0.985,-0.887,-1.474,-1.9480000000000002,-2.27,-2.81,-1.27,-1.44
1979-OK,-0.23800000000000002,-0.401,0.605,0.5379999999999999,0.907,1.208,2.031,2.239,0.61,0.39899999999999997,0.544,0.31
1980-OK,0.387,0.17600000000000002,0.209,0.265,0.795,-0.51,-1.601,-2.431,-2.492,-2.533,-2.695,-2.549
1981-OK,-2.867,-2.9130000000000003,-2.43,-2.783,-1.2429999999999999,-0.792,-0.565,0.12300000000000001,-0.355,1.4180000000000001,1.649,0.9229999999999999
1982-OK,1.3259999999999998,0.9059999999999999,0.5529999999999999,0.21899999999999997,2.036,2.43,2.641,0.679,-0.036000000000000004,-0.47100000000000003,0.462,0.805
1983-OK,0.521,0.9279999999999999,1.089,1.0959999999999999,1.524,1.482,0.289,-0.585,-1.057,0.7559999999999999,0.7659999999999999,0.6509999999999999
1984-OK,0.431,0.574,1.224,0.665,-0.54,-0.777,-1.2570000000000001,-1.7280000000000002,-1.771,0.581,1.057,2.2769999999999997
1985-OK,2.325,3.062,3.4989999999999997,3.622,2.7,2.989,2.72,2.404,2.531,3.094,3.3569999999999998,2.0669999999999997
1986-OK,1.13,0.903,0.299,0.461,0.496,1.088,0.523,1.041,1.87,2.76,3.24,2.958
