Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-AR,3.302,5.765,5.14,3.125,5.062,5.4239999999999995,3.833,3.8539999999999996,0.871,2.532,5.245,4.206
1949-AR,10.354000000000001,3.9939999999999998,5.4079999999999995,2.235,4.763,5.329,4.908,2.7889999999999997,2.9389999999999996,8.491,0.358,4.859
1950-AR,9.714,6.022,3.8689999999999998,3.055,7.957000000000001,4.029,6.196000000000001,6.593,5.192,1.911,2.299,0.929
1951-AR,4.876,5.252000000000001,2.209,4.473,2.093,7.102,5.765,2.641,4.8260000000000005,4.428,5.684,3.233
1952-AR,3.72,3.5180000000000002,5.642,6.0489999999999995,4.215,0.511,2.676,3.565,1.768,0.8290000000000001,7.834,3.5869999999999997
1953-AR,3.679,2.605,7.236000000000001,6.681,6.957999999999999,0.64,4.4430000000000005,1.557,0.897,1.4409999999999998,2.0580000000000003,2.742
1954-AR,5.645,2.309,2.1590000000000003,3.362,5.6770000000000005,1.574,1.501,1.7069999999999999,2.65,5.221,1.234,4.922
1955-AR,1.395,4.096,5.438,4.4830000000000005,6.648,4.5089999999999995,4.101,2.707,3.353,2.387,1.778,0.905
1956-AR,3.0780000000000003,8.145,1.96,4.382,4.092,4.321000000000001,3.355,2.385,0.8140000000000001,2.636,3.542,2.66
1957-AR,5.471,5.004,3.81,12.194,8.993,5.685,4.073,4.928,4.499,4.121,8.251,2.9
1958-AR,2.633,1.811,5.965,5.72,6.825,5.896,5.904,3.484,5.943,1.443,6.364,0.9940000000000001
1959-AR,2.113,3.991,3.8680000000000003,3.3680000000000003,3.488,5.086,5.072,3.03,4.732,3.948,3.013,5.818
1960-AR,3.333,2.9960000000000004,2.786,2.128,6.52,5.436,4.007,2.589,3.27,3.235,2.682,5.075
1961-AR,1.1520000000000001,4.019,8.07,3.05,8.665,3.157,5.795,3.822,2.728,1.6219999999999999,5.942,5.36
1962-AR,4.494,5.159,4.0280000000000005,3.0610000000000004,1.963,5.104,3.438,3.063,6.046,4.706,1.919,1.636
1963-AR,0.8590000000000001,1.1179999999999999,4.563,2.984,4.221,3.426,4.4,1.74,1.74,0.182,4.328,2.461
1964-AR,0.978,2.8930000000000002,7.479,7.317,3.082,2.01,2.764,6.234,5.2379999999999995,0.782,3.9589999999999996,2.697
1965-AR,3.7119999999999997,4.723,4.238,3.1310000000000002,5.471,4.1819999999999995,3.3680000000000003,3.012,7.5120000000000005,0.46299999999999997,1.683,2.249
1966-AR,4.633,5.237,1.173,8.633,3.84,0.9840000000000001,3.555,6.145,2.352,2.528,2.207,4.002
1967-AR,1.568,1.7619999999999998,2.539,5.372000000000001,7.186,4.444,4.58,2.8369999999999997,4.37,5.562,1.784,6.3389999999999995
1968-AR,3.6919999999999997,1.744,6.395,4.869,9.554,4.111000000000001,3.273,2.8360000000000003,6.102,2.641,6.287000000000001,6.097
1969-AR,6.315,3.057,3.64,4.176,3.0869999999999997,3.925,3.168,1.9909999999999999,1.739,4.9110000000000005,2.946,5.659
1970-AR,0.977,2.971,5.065,7.045,3.11,5.012,2.784,5.145,5.97,6.834,2.5669999999999997,3.065
1971-AR,2.44,3.615,2.206,2.369,4.273,2.504,5.36,3.6710000000000003,1.834,2.093,2.7689999999999997,8.19
1972-AR,2.251,1.133,2.4930000000000003,3.9360000000000004,3.1639999999999997,3.003,3.991,2.407,6.189,5.956,7.421,4.981
1973-AR,4.346,3.093,9.85,10.309000000000001,5.542999999999999,4.895,3.807,1.8769999999999998,6.414,5.856,8.36,5.312
1974-AR,3.943,2.623,2.9189999999999996,5.242000000000001,5.862,7.558,2.305,4.977,6.237,3.2460000000000004,7.184,2.8139999999999996
1975-AR,3.359,4.97,8.732000000000001,3.199,5.511,4.658,3.219,4.341,4.288,1.328,3.6710000000000003,4.047
1976-AR,1.8319999999999999,2.682,5.311,2.6910000000000003,5.397,6.402,2.9419999999999997,1.662,2.761,4.507,1.436,2.024
1977-AR,2.5789999999999997,2.451,7.603,3.5869999999999997,2.074,3.9819999999999998,4.185,4.13,7.233,1.208,5.997999999999999,2.681
1978-AR,3.85,1.95,4.75,2.945,6.4270000000000005,3.583,3.048,4.042,2.8819999999999997,1.4809999999999999,7.394,5.7620000000000005
1979-AR,3.5980000000000003,4.81,6.085,7.138999999999999,9.161,4.24,5.121,3.522,3.451,3.193,3.6489999999999996,3.697
1980-AR,2.25,1.49,4.905,3.945,5.261,2.918,1.199,0.7290000000000001,5.952999999999999,3.3560000000000003,3.3139999999999996,1.743
1981-AR,1.028,3.278,3.705,2.5869999999999997,7.462000000000001,5.332000000000001,4.285,4.217,1.294,5.577999999999999,2.114,0.898
1982-AR,6.282,2.447,2.137,5.008,4.658,6.5089999999999995,2.616,3.58,1.1420000000000001,3.681,6.972,12.61
1983-AR,1.008,2.5660000000000003,2.97,5.957999999999999,7.22,4.331,2.738,1.599,1.514,3.194,6.122000000000001,5.327999999999999
1984-AR,1.385,4.152,5.324,3.8739999999999997,6.931,1.6980000000000002,3.372,3.82,4.777,12.343,6.473,5.417000000000001
1985-AR,2.741,4.07,5.945,5.737,3.6710000000000003,3.3539999999999996,2.6639999999999997,3.185,3.715,4.851,6.852,2.92
1986-AR,0.39299999999999996,2.8680000000000003,2.617,6.9,4.68,5.1739999999999995,1.4140000000000001,4.3469999999999995,3.429,4.7410000000000005,4.552,2.78
1987-AR,2.338,6.002000000000001,3.8960000000000004,1.178,5.015,3.448,3.2910000000000004,3.009,3.3939999999999997,3.03,7.875,10.372
1988-AR,2.434,2.7939999999999996,5.434,3.623,2.093,1.55,5.37,3.082,3.752,3.675,9.495,3.1310000000000002
1989-AR,3.77,8.586,5.785,1.8259999999999998,6.535,5.803,5.934,1.891,3.4339999999999997,1.193,1.194,1.331
1990-AR,5.989,6.399,8.329,5.904,9.867,2.668,2.487,2.491,4.328,6.617999999999999,3.6239999999999997,7.101
1991-AR,4.415,2.504,3.5469999999999997,10.797,5.404,3.071,3.225,3.468,3.741,7.433,5.572,5.752999999999999
1992-AR,2.175,2.8989999999999996,4.698,2.787,3.489,6.872999999999999,5.455,2.7760000000000002,5.043,1.3630000000000002,5.93,5.062
