HHS_region,season,mean_tmp
region1,1949,25.014777777777777
region1,1950,32.839277777777774
region1,1951,29.219722222222224
region1,1952,31.94472222222222
region1,1953,31.37338888888889
region1,1954,32.58016666666666
region1,1955,30.229111111111113
region1,1956,29.493555555555556
region1,1957,29.298722222222224
region1,1958,28.405055555555556
region1,1959,28.3505
region1,1960,27.316444444444446
region1,1961,31.138333333333335
region1,1962,26.110888888888887
region1,1963,27.00127777777778
region1,1964,26.2975
region1,1965,28.607833333333335
region1,1966,26.090444444444444
region1,1967,27.912999999999997
region1,1968,27.816555555555556
region1,1969,26.41127777777778
region1,1970,29.279555555555557
region1,1971,25.815166666666666
region1,1972,25.806055555555556
region1,1973,26.769166666666667
region1,1974,29.993055555555557
region1,1975,29.334777777777774
region1,1976,28.728333333333335
region1,1977,29.728388888888887
region1,1978,26.56127777777778
region1,1979,25.199555555555555
region1,1980,26.50277777777778
region1,1981,28.89116666666667
region1,1982,29.608555555555554
region1,1983,25.03011111111111
region1,1984,30.5975
region1,1985,30.695055555555555
region1,1986,28.379888888888885
region1,1987,30.01027777777778
region1,1988,28.8985
region1,1989,28.42538888888889
region1,1990,29.241388888888892
region1,1991,33.05166666666667
region1,1992,31.729833333333332
region1,1993,29.034166666666668
region1,1994,27.928888888888892
region1,1995,24.959333333333333
region1,1996,29.71916666666667
region1,1997,28.741722222222222
region1,1998,30.160222222222224
region1,1999,34.25994444444444
region1,2000,31.263333333333335
region1,2001,29.619333333333334
region1,2002,29.518555555555558
region1,2003,34.35766666666667
region1,2004,25.142444444444447
region1,2005,27.082444444444448
region1,2006,29.97522222222222
region1,2007,33.49022222222222
region1,2008,28.240277777777777
region1,2009,32.18811111111111
region1,2010,29.044999999999998
region1,2011,33.19938888888888
region1,2012,28.916000000000004
region1,2013,34.00116666666666
region1,2014,30.85788888888889
region1,2015,28.032
region1,2016,23.957
region1,2017,31.858833333333337
region1,2018,35.07177777777778
region1,2019,30.535833333333333
region1,2020,30.128944444444446
region1,2021,32.48705555555556
region1,1948,44.36770833333333
region1,1949,43.106875
region1,1950,43.09916666666667
region1,1951,41.90983333333333
region1,1952,42.84766666666667
region1,1953,45.471000000000004
region1,1954,43.109166666666674
region1,1955,40.025708333333334
region1,1956,42.34495833333333
region1,1957,44.719125
region1,1958,39.750125000000004
region1,1959,43.85479166666667
region1,1960,41.34075
region1,1961,44.98779166666666
region1,1962,39.860708333333335
region1,1963,41.49783333333333
region1,1964,41.472500000000004
region1,1965,41.787083333333335
region1,1966,42.371833333333335
region1,1967,41.67791666666667
region1,1968,42.19416666666667
region1,1969,42.250625
region1,1970,42.30083333333334
region1,1971,44.074000000000005
region1,1972,40.75483333333333
region1,1973,43.53308333333334
region1,1974,41.72620833333333
region1,1975,43.03420833333333
region1,1976,38.398375
region1,1977,42.2275
region1,1978,40.89970833333333
region1,1979,44.192791666666665
region1,1980,39.51945833333333
region1,1981,41.54183333333334
region1,1982,44.73220833333334
region1,1983,43.09733333333333
region1,1984,43.73583333333334
region1,1985,42.291625
region1,1986,41.54083333333333
region1,1987,42.405125000000005
region1,1988,41.02829166666667
region1,1989,38.94641666666667
region1,1990,45.29904166666666
region1,1991,43.13720833333333
region1,1992,41.652208333333334
region1,1993,41.976083333333335
region1,1994,44.50354166666667
region1,1995,41.34341666666666
region1,1996,43.33675
region1,1997,41.936416666666666
region1,1998,45.139916666666664
region1,1999,45.39095833333334
region1,2000,41.620625
region1,2001,46.30104166666666
region1,2002,42.621541666666666
region1,2003,43.92525
region1,2004,43.205875
region1,2005,44.576208333333334
region1,2006,45.968583333333335
region1,2007,44.10945833333333
region1,2008,43.24604166666666
region1,2009,43.26416666666666
region1,2010,43.8005
region1,2011,47.235875
region1,2012,44.826208333333334
region1,2013,42.75058333333333
region1,2014,44.917875
region1,2015,48.24991666666667
region1,2016,45.26733333333333
region1,2017,44.842999999999996
region1,2018,43.24658333333334
region1,2019,42.970708333333334
region1,2020,45.65058333333334
region10,1949,34.26455555555556
region10,1950,30.231333333333332
region10,1951,31.287333333333336
region10,1952,35.742333333333335
region10,1953,33.92744444444444
region10,1954,38.394222222222226
region10,1955,36.74266666666667
region10,1956,31.955000000000002
region10,1957,34.13644444444444
region10,1958,32.659666666666666
region10,1959,38.19777777777778
region10,1960,36.927
region10,1961,34.159888888888894
region10,1962,38.03755555555555
region10,1963,35.38133333333334
region10,1964,35.78244444444445
region10,1965,34.013222222222225
region10,1966,37.12566666666666
region10,1967,36.17788888888889
region10,1968,36.52055555555555
region10,1969,36.522
region10,1970,33.63766666666666
region10,1971,36.39266666666666
region10,1972,35.815000000000005
region10,1973,33.873999999999995
region10,1974,35.446444444444445
region10,1975,35.053444444444445
region10,1976,33.20677777777777
region10,1977,35.63666666666667
region10,1978,36.73733333333333
region10,1979,37.763888888888886
region10,1980,32.26877777777778
region10,1981,36.74777777777778
region10,1982,38.507555555555555
region10,1983,33.275666666666666
region10,1984,38.268
region10,1985,35.08888888888889
region10,1986,33.544000000000004
region10,1987,37.556555555555555
region10,1988,38.12811111111111
region10,1989,37.17722222222223
region10,1990,34.20366666666667
region10,1991,37.723555555555556
region10,1992,37.504777777777775
region10,1993,40.54922222222222
region10,1994,32.95744444444445
region10,1995,38.101777777777784
region10,1996,38.52466666666666
region10,1997,36.641444444444446
region10,1998,36.14077777777778
region10,1999,38.14111111111111
region10,2000,36.366888888888894
region10,2001,38.36966666666667
region10,2002,35.32611111111111
region10,2003,36.120666666666665
region10,2004,38.22377777777778
region10,2005,37.45322222222222
region10,2006,37.641333333333336
region10,2007,37.31211111111111
region10,2008,36.65822222222222
region10,2009,34.071444444444445
region10,2010,36.279666666666664
region10,2011,38.45322222222222
region10,2012,34.24311111111111
region10,2013,37.60788888888889
region10,2014,35.64688888888889
region10,2015,37.67155555555556
