Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-FL,49.25,58.602,64.336,70.634,75.712,79.844,79.988,79.52199999999999,76.68,66.258,66.14,59.849
1949-FL,60.413999999999994,62.913999999999994,60.614,67.635,74.844,78.7,80.612,79.888,77.469,74.001,56.945,57.87
1950-FL,64.47800000000001,59.813,59.381,62.945,75.678,80.979,79.09,80.078,76.479,71.18,55.591,50.058
1951-FL,53.769,54.635,61.567,65.245,72.85600000000001,79.46600000000001,80.877,82.177,78.89,71.935,57.071000000000005,58.559
1952-FL,58.034,56.59,61.581,64.82300000000001,74.41199999999999,82.488,81.777,80.266,76.71300000000001,66.84899999999999,59.159,52.401
1953-FL,55.068999999999996,57.437,64.457,66.247,77.545,79.943,80.97800000000001,79.788,76.867,68.5,59.115,55.338
1954-FL,55.659,57.891000000000005,59.257,71.056,71.469,80.344,81.565,82.999,79.71,68.334,57.224,51.169
1955-FL,51.924,56.724,63.4,69.5,75.822,77.29,80.244,81.344,79.212,68.30199999999999,59.136,53.924
1956-FL,48.801,61.001999999999995,60.357,65.835,75.4,77.99,80.212,81.134,75.345,69.423,58.202,59.513000000000005
1957-FL,58.758,62.467,59.647,68.423,74.834,79.21,81.055,79.899,78.047,65.958,63.25899999999999,52.535
1958-FL,46.501999999999995,46.336000000000006,58.49100000000001,67.667,73.14399999999999,79.566,80.712,80.678,79.167,67.735,63.736999999999995,52.515
1959-FL,51.504,60.494,58.623999999999995,67.002,75.845,78.878,80.322,80.64399999999999,78.167,73.337,60.015,53.136
1960-FL,52.893,53.059,54.647,68.157,72.013,77.743,81.155,80.178,77.956,71.402,62.715,48.891000000000005
1961-FL,48.549,58.49100000000001,64.548,63.266999999999996,72.791,77.32300000000001,80.467,79.623,77.767,67.691,63.126000000000005,55.803999999999995
1962-FL,51.836999999999996,61.613,57.601000000000006,65.09100000000001,76.96600000000001,78.766,81.91,80.61,77.39,69.945,56.769,50.945
1963-FL,50.916000000000004,49.968999999999994,63.023999999999994,68.833,74.766,79.066,80.278,81.266,76.678,68.567,58.78,47.303999999999995
1964-FL,51.227,50.815,61.504,68.70100000000001,73.344,80.167,79.322,79.96600000000001,76.866,65.892,63.07,57.67100000000001
1965-FL,53.43600000000001,55.761,60.581,69.812,74.156,76.377,79.233,79.956,78.056,68.347,62.135,53.848
1966-FL,49.872,53.27,58.591,66.378,73.4,75.888,80.933,79.53399999999999,76.834,69.714,59.257,52.38
1967-FL,54.961000000000006,53.148,63.602,70.733,73.757,77.899,78.878,78.812,73.969,66.748,59.137,59.093
1968-FL,51.836999999999996,47.87,57.023999999999994,69.813,73.267,79.343,80.166,80.488,77.067,69.291,56.826,51.371
1969-FL,52.114,51.578,54.147,68.135,72.578,80.52199999999999,81.278,79.29,76.59100000000001,71.236,57.27,51.38
1970-FL,46.949,51.413999999999994,61.059,69.867,73.744,77.956,80.622,80.322,79.812,71.50399999999999,55.581,56.158
1971-FL,52.602,55.371,56.93600000000001,65.524,71.735,79.166,79.9,79.97800000000001,78.334,72.447,60.693000000000005,63.07
1972-FL,59.849,53.891999999999996,61.358000000000004,67.745,72.334,77.133,80.012,80.343,78.27600000000001,70.414,60.827,58.271
1973-FL,53.626999999999995,51.492,64.72399999999999,65.057,72.813,79.156,81.288,79.7,79.012,70.579,64.61399999999999,52.681000000000004
1974-FL,65.958,55.348,64.157,66.357,74.634,77.344,79.28699999999999,79.612,78.21300000000001,66.192,59.75899999999999,54.036
1975-FL,57.571999999999996,60.381,61.20399999999999,66.98100000000001,76.056,79.156,78.888,80.234,76.77,70.97,61.292,53.137
1976-FL,49.137,58.068999999999996,64.82600000000001,66.9,71.613,76.822,80.85600000000001,79.488,76.345,64.359,54.248999999999995,51.316
1977-FL,43.793,50.88,64.681,67.734,73.71,81.134,81.52199999999999,80.334,79.523,65.958,62.31399999999999,52.67
1978-FL,46.896,46.981,58.604,67.913,74.445,79.666,80.888,80.5,78.755,68.76899999999999,65.291,56.427
1979-FL,48.84,51.492,60.169,69.067,72.834,77.9,81.579,80.122,77.991,68.77,61.727,53.771
1980-FL,53.879,50.77,62.137,66.38,73.878,78.96600000000001,82.399,81.934,79.899,67.514,59.226000000000006,51.135
1981-FL,45.135,54.88,58.245,69.556,71.969,82.2,82.46600000000001,79.8,75.90100000000001,69.148,59.056000000000004,52.004
1982-FL,52.637,60.162,63.836000000000006,67.191,73.133,79.788,80.456,80.4,76.20100000000001,69.413,64.449,59.75899999999999
1983-FL,49.458999999999996,53.636,58.126000000000005,63.291000000000004,72.845,77.41199999999999,81.92200000000001,81.778,75.635,70.63600000000001,59.31399999999999,52.461000000000006
1984-FL,50.037,55.381,60.08,65.979,73.334,77.866,79.122,80.267,76.3,72.47800000000001,58.558,61.501000000000005
1985-FL,47.515,55.792,64.101,67.03399999999999,74.723,80.245,80.134,80.156,76.979,74.87,68.65899999999999,51.493
1986-FL,51.604,58.848,60.468999999999994,65.979,73.956,80.555,82.38799999999999,80.467,79.212,70.97,68.459,57.228
1987-FL,51.403999999999996,55.026,60.813,63.256,74.255,79.645,81.8,82.37799999999999,77.71300000000001,64.00399999999999,62.803999999999995,57.324
1988-FL,48.558,52.492,59.802,67.53399999999999,71.178,77.91,80.512,80.97800000000001,78.779,66.458,63.836000000000006,54.114
1989-FL,60.013999999999996,57.748000000000005,64.37,66.78,73.40100000000001,79.467,81.067,80.744,77.735,69.204,61.47,47.036
1990-FL,57.971000000000004,62.371,64.236,66.335,75.22399999999999,80.01,81.678,81.743,78.434,71.426,62.43600000000001,59.226000000000006
1991-FL,56.261,57.958,63.047,71.101,77.469,78.8,81.244,80.69,78.056,69.524,57.983000000000004,57.559
1992-FL,51.681000000000004,57.48,60.713,65.167,71.322,79.223,82.09,79.657,77.801,67.169,62.672,56.001999999999995
1993-FL,59.093,53.713,59.114,62.946999999999996,72.245,79.6,82.35600000000001,81.944,78.801,69.72399999999999,60.816,51.08
1994-FL,50.95,59.471000000000004,62.97,69.358,73.757,79.49,79.801,79.234,76.39,70.18,66.081,57.049
1995-FL,52.391999999999996,55.147,63.902,67.602,76.391,78.112,81.944,81.788,78.112,71.893,57.926,52.548
1996-FL,51.971000000000004,55.57,56.913000000000004,64.914,75.867,78.556,81.556,79.46600000000001,77.101,68.98100000000001,60.548,55.501999999999995
1997-FL,55.248000000000005,59.606,67.92399999999999,65.336,72.624,76.979,81.3,80.29,78.8,69.402,58.971000000000004,53.983000000000004
1998-FL,56.327,56.181000000000004,58.992,67.324,76.922,83.87799999999999,83.478,81.678,79.067,72.67,66.737,60.504
