Date-state,Mean-Temp-F,Mean-Precip-Inches,Mean-Palmer-Drought-Index,Mean-Tmax,Mean-Tmin,Mean-HDD,Mean-CDD
1949-AL,56.8515854,50.3516045,1.80566931,68.3382721,45.3606949,293.826477,46.9475365
1950-AL,57.6930542,29.0430851,-0.828921199,69.4254532,45.9521217,284.85376,64.579834
1951-AL,54.7337379,33.6217575,-0.253363013,66.7018051,42.775074,359.340729,48.8636932
1952-AL,56.8471298,36.9743996,-0.864069819,68.8505478,44.848587,309.434082,63.4774017
1953-AL,55.0291519,38.2076035,-0.703422785,67.5102844,42.5396385,341.090729,39.6838455
1954-AL,56.6514053,32.3549805,-0.918664932,69.6166916,43.6661339,315.990356,62.5892715
1955-AL,56.741684,31.196434,-4.0766902,69.5690765,43.8964806,327.117249,76.9579163
1956-AL,55.6431427,32.2040634,-2.22926235,67.9778442,43.2899818,342.692261,57.8819504
1957-AL,57.7900124,35.7992859,-1.64091659,69.6200867,45.9694977,276.546021,57.3320847
1958-AL,53.2324867,40.8930817,0.572905302,64.1899261,42.2736664,399.781677,45.6270485
1959-AL,55.0075569,31.153265,-0.619198501,67.1794281,42.8198738,355.558136,52.1168098
1960-AL,54.4520798,37.8475266,-1.73E-03,65.5166016,43.3806839,376.797394,58.2368774
1961-AL,54.9512711,43.8365059,0.27178064,67.012001,42.8829727,359.794922,54.3729515
1962-AL,55.6762848,44.0023346,1.51858115,67.7278137,43.6222076,334.477753,49.9419594
1963-AL,54.5524597,34.4378242,-1.24468875,67.0761871,42.03339,376.469452,62.0212631
1964-AL,53.7637787,44.0467148,0.161907956,66.2193756,41.2838707,392.661743,53.572937
1965-AL,55.8650894,36.170208,0.567251623,68.0217209,43.7221222,331.315948,55.0498199
1966-AL,55.0739441,35.7267914,-0.329794854,66.8311462,43.29599,353.146149,52.7882996
1967-AL,55.979599,29.7234516,-0.419169664,68.2043228,43.7544594,328.074005,56.599556
1968-AL,53.1967964,36.3404503,1.29073453,65.7502747,40.6455536,385.799011,30.9666367
1969-AL,53.380867,33.8815002,-0.861554027,65.4402618,41.3143578,395.834076,44.1335983
1970-AL,53.5113144,33.8447571,-0.465492457,65.6200485,41.3800888,394.893402,47.509491
1971-AL,55.0080261,40.0343285,0.608341813,67.384201,42.6174393,363.257843,61.89925
1972-AL,57.7115517,37.3962936,0.720088124,69.379097,46.0590477,288.074158,69.9741592
1973-AL,55.7141533,47.2133255,1.02470374,66.7567978,44.6448593,341.388184,62.4609375
1974-AL,58.6396141,39.0173912,1.26128304,70.6824417,46.5886078,268.128387,77.4808578
1975-AL,55.2871475,45.261982,2.20438313,67.4127579,43.1444168,330.781097,36.4023514
1976-AL,55.7785645,41.7905846,3.59034872,68.136116,43.3993073,325.098816,44.887558
1977-AL,51.9781876,39.3274879,1.82795668,64.2310104,39.7101364,435.683014,41.3434486
1978-AL,52.9755402,37.5365295,0.3321549,64.3172455,41.6261253,415.207062,52.7110519
1979-AL,55.3838463,43.8906097,0.143192515,67.5621948,43.1839523,354.761322,64.3475189
1980-AL,54.2054825,47.235714,2.6280055,65.9686661,42.4228516,367.000916,42.047821
1981-AL,54.7420845,30.2858124,-1.90951204,67.53228,41.9413071,377.470978,66.1758881
1982-AL,54.7246857,38.4244385,-0.709061861,66.692627,42.7469597,352.534515,41.5780296
1983-AL,54.992775,48.2989426,1.11939573,66.0775986,43.8840141,345.123383,42.9983063
1984-AL,53.9617043,43.9101219,1.55570483,65.9506683,41.9647865,376.662537,41.807373
1985-AL,56.4039116,27.2775402,-0.879051447,68.4965515,44.298378,323.059937,65.0486755
1986-AL,56.6963577,24.7831287,-0.91414988,69.0126648,44.3783913,313.383392,61.143013
1987-AL,56.2740479,39.8097,-0.900585711,66.9773026,45.5640106,325.935455,62.057354
1988-AL,54.8212051,27.950882,-2.14032769,67.5145721,42.1139336,352.340759,44.7506218
1989-AL,56.4818726,40.1194839,0.631343544,67.9371567,45.0038567,308.718689,51.7395134
1990-AL,56.1674156,49.0623055,3.09895635,67.9302063,44.413784,319.449158,50.4614563
1991-AL,58.0251617,37.6200218,-1.06884646,69.9483871,46.1083527,281.826263,70.9837799
