Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-MO,0.0,0.0,1.7590000000000001,36.029,81.752,252.787,376.952,339.436,172.78799999999998,10.729000000000001,0.0,0.0
1949-MO,0.0,0.0,1.368,5.999,139.437,302.585,421.41900000000004,307.613,65.209,29.375,0.0,0.0
1950-MO,1.368,0.0,0.0,1.368,112.20100000000001,245.41,254.37900000000002,208.635,106.699,64.704,0.0,0.0
1951-MO,0.0,0.0,1.368,1.173,103.42299999999999,205.446,362.871,345.94199999999995,99.79299999999999,22.934,0.0,0.0
1952-MO,0.0,0.0,1.368,3.5460000000000003,97.288,466.767,449.167,335.801,134.267,3.2119999999999997,0.0,0.0
1953-MO,0.0,0.0,9.135,1.368,109.186,456.595,428.52,380.515,211.81400000000002,37.436,0.0,0.0
1954-MO,0.0,2.958,1.368,50.885,42.336999999999996,353.131,574.751,467.08099999999996,258.42400000000004,22.671,0.0,0.0
1955-MO,0.0,0.0,4.475,43.746,129.129,153.834,482.87,391.80300000000005,215.282,18.121,0.0,0.0
1956-MO,0.0,0.0,5.292999999999999,5.356,153.606,272.897,387.23199999999997,409.639,172.195,65.954,0.0,0.0
1957-MO,0.0,0.0,1.368,13.385,105.786,260.67,419.965,354.16900000000004,115.154,8.06,0.0,0.0
1958-MO,0.0,0.0,0.0,7.61,105.26899999999999,218.31900000000002,343.685,345.57,148.334,19.27,0.0,0.0
1959-MO,0.0,0.0,5.324,10.727,159.43,260.087,320.172,412.469,176.649,13.475,0.0,0.0
1960-MO,0.0,0.0,0.0,18.284000000000002,65.98,237.666,324.513,375.241,226.248,27.635,0.0,0.0
1961-MO,0.0,0.0,8.295,0.977,45.332,195.261,345.20099999999996,292.231,151.864,24.039,0.0,0.0
1962-MO,0.0,0.0,0.0,2.24,250.613,245.782,380.63599999999997,366.61199999999997,106.105,37.399,0.0,0.0
1963-MO,0.0,0.0,14.161,25.09,99.492,309.48400000000004,388.305,346.459,166.44099999999997,120.75299999999999,0.0,0.0
1964-MO,0.0,0.0,1.5630000000000002,25.043000000000003,153.937,262.02099999999996,419.043,312.339,151.16899999999998,10.287,0.0,0.0
1965-MO,0.0,0.0,0.0,26.503,177.791,251.483,348.765,313.078,152.762,15.127,0.977,0.0
1966-MO,0.0,0.0,9.777000000000001,2.15,66.376,222.893,496.85699999999997,254.428,95.315,7.745,0.0,0.0
1967-MO,0.0,0.0,14.927,28.444000000000003,55.483000000000004,238.87599999999998,280.215,215.085,91.573,16.15,0.0,0.0
1968-MO,0.0,0.0,7.553,10.755999999999998,54.611000000000004,292.226,358.564,345.26199999999994,117.945,16.828,0.0,0.0
