Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-UT,1195.781,1053.064,1071.644,577.342,318.576,127.829,20.858,32.683,125.853,484.518,988.591,1242.824
1949-UT,1648.65,1276.316,879.166,472.939,324.257,149.768,22.106,34.139,132.743,592.165,696.516,1227.14
1950-UT,1321.401,963.641,873.006,559.746,421.987,152.347,36.36,47.797,188.036,351.054,770.406,986.73
1951-UT,1198.764,920.944,931.021,557.434,331.91,174.544,16.271,43.137,162.965,538.902,955.155,1281.746
1952-UT,1318.4,1117.772,1096.4,561.035,293.311,128.192,24.834,26.939,121.389,368.142,998.727,1154.37
1953-UT,965.448,947.146,799.941,648.716,492.633,123.068,10.061,37.839,121.726,480.644,752.507,1202.042
1954-UT,1070.373,816.519,915.847,465.232,249.819,143.026,8.646,42.562,150.071,458.429,741.437,1203.706
1955-UT,1393.397,1246.303,990.992,671.272,357.306,151.004,20.919,21.108,149.597,444.723,934.791,994.752
1956-UT,967.854,1117.531,838.026,575.648,277.535,84.916,19.905,55.3,123.115,483.037,994.966,1200.503
1957-UT,1280.419,870.83,806.512,632.358,407.691,125.848,21.159,29.923,189.431,515.743,997.447,1055.744
1958-UT,1160.578,787.262,951.787,671.66,224.943,90.392,29.299,14.654,151.09,432.132,864.962,960.645
1959-UT,1079.93,946.157,853.099,529.715,385.367,72.544,14.462,33.475,220.643,498.449,851.589,1118.559
1960-UT,1317.23,1112.565,799.018,547.482,331.172,85.871,9.432,35.77,110.269,496.786,813.669,1153.625
1961-UT,1148.255,853.997,855.115,598.063,316.299,58.409,11.004,20.41,289.455,549.359,960.499,1230.324
1962-UT,1339.315,940.794,1011.822,471.823,367.317,130.385,28.177,38.012,144.1,420.155,737.754,1113.098
1963-UT,1364.171,759.891,892.135,683.894,245.184,169.056,14.699,23.356,112.53,332.282,807.758,1222.718
1964-UT,1280.966,1114.455,1076.582,652.585,368.206,169.806,11.004,41.66,198.834,410.642,972.169,1132.653
1965-UT,1094.526,983.872,978.165,593.647,431.172,184.008,27.235,54.978,325.776,412.787,708.037,1133.807
1966-UT,1225.766,1081.659,828.277,577.863,251.651,118.708,12.014,31.602,140.891,530.244,751.595,1245.797
1967-UT,1212.233,941.574,766.89,707.126,395.724,199.638,15.014,20.361,149.228,454.571,756.15,1357.173
1968-UT,1327.762,867.221,784.586,711.299,379.839,118.723,18.481,92.896,230.037,501.06,878.957,1249.355
1969-UT,1055.712,1024.432,1022.464,556.98,214.823,174.147,16.704,13.284,119.91,669.295,870.734,1066.998
