Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-NJ,31.553,38.484,52.523,60.131,69.915,79.023,84.738,82.677,77.76100000000001,63.277,58.169,43.507
1949-NJ,45.361000000000004,46.461000000000006,51.6,62.06100000000001,72.869,83.346,87.838,85.177,73.78399999999999,69.169,52.738,45.453
1950-NJ,49.73,38.53,45.715,57.615,68.33800000000001,79.654,83.26100000000001,81.215,70.961,67.423,54.977,39.084
1951-NJ,42.692,43.553000000000004,48.977,61.646,72.73100000000001,78.715,84.538,82.869,77.115,66.615,50.053000000000004,45.176
1952-NJ,42.684,42.676,46.746,62.346000000000004,70.0,82.76100000000001,88.184,82.061,77.32300000000001,63.631,53.184,43.361000000000004
1953-NJ,43.361000000000004,45.93,50.453,59.9,72.83,81.854,86.346,83.87700000000001,78.75399999999999,68.884,55.23,46.723
1954-NJ,38.246,48.553000000000004,50.068999999999996,64.607,68.461,81.646,86.661,81.792,75.669,68.992,51.138000000000005,41.56100000000001
1955-NJ,36.5,41.876000000000005,50.607,63.06100000000001,75.75399999999999,78.138,90.09200000000001,85.561,75.369,67.469,51.007,36.146
1956-NJ,36.8,43.223,45.284,57.538000000000004,69.923,81.438,80.93,81.954,73.28399999999999,65.608,53.661,48.153
1957-NJ,35.146,43.369,48.8,63.246,73.531,84.0,86.75399999999999,82.23100000000001,77.654,63.261,54.5,45.1
1958-NJ,36.760999999999996,33.260999999999996,44.891999999999996,62.083999999999996,68.615,76.569,84.7,81.73100000000001,76.069,63.353,54.438,35.715
1959-NJ,38.692,40.861,49.6,63.184,75.75399999999999,81.33800000000001,84.023,84.238,79.808,67.35300000000001,52.823,44.06100000000001
1960-NJ,39.553000000000004,42.83,39.869,66.615,71.015,80.32300000000001,82.615,82.531,74.915,65.123,56.146,36.869
1961-NJ,32.969,42.253,49.707,56.753,68.415,80.23100000000001,84.484,82.23,81.408,67.608,54.3,39.83
1962-NJ,38.853,37.384,48.638000000000005,61.808,74.115,80.715,82.25399999999999,81.123,72.1,65.477,49.192,37.369
1963-NJ,35.853,35.669000000000004,51.492,62.777,71.292,80.915,85.477,81.384,72.26899999999999,71.415,56.338,34.853
1964-NJ,41.146,38.353,52.1,58.008,75.431,81.23,84.346,81.438,77.485,63.669,57.507,42.653
1965-NJ,35.523,41.138000000000005,46.038000000000004,57.646,77.123,80.192,83.69200000000001,82.78399999999999,77.223,63.4,52.4,44.746
1966-NJ,35.938,39.246,51.076,56.131,68.76899999999999,82.523,88.3,84.75399999999999,73.1,64.26100000000001,55.238,41.938
1967-NJ,43.23,37.476,45.93,61.215,64.28399999999999,82.515,82.63799999999999,80.208,74.461,64.592,48.461000000000006,43.7
1968-NJ,34.23,37.23,52.261,64.6,68.361,79.23,85.554,84.73,79.031,66.992,51.915,39.584
1969-NJ,36.061,37.2,46.677,64.184,73.208,81.361,81.623,83.969,76.26100000000001,65.223,51.38399999999999,38.346
1970-NJ,31.546,41.083999999999996,44.707,59.769,72.854,79.092,83.946,84.977,79.876,66.377,53.861000000000004,41.099
1971-NJ,34.515,41.115,47.23,60.269,68.415,81.161,84.469,82.60799999999999,76.33,68.777,51.661,47.607
1972-NJ,41.638000000000005,38.669000000000004,47.38399999999999,58.3,71.238,75.061,84.238,82.984,76.461,60.692,49.707,44.483999999999995
1973-NJ,41.846000000000004,40.369,54.33,61.115,67.384,81.161,85.208,84.723,78.17699999999999,68.461,55.391999999999996,45.638000000000005
1974-NJ,42.507,39.823,51.376000000000005,64.569,70.484,76.877,85.115,83.208,74.78399999999999,62.761,55.015,45.199
1975-NJ,43.453,42.0,47.792,56.153999999999996,74.446,79.084,83.7,83.60700000000001,72.03,67.76899999999999,59.306999999999995,43.13
1976-NJ,35.223,49.361000000000004,54.515,65.392,70.78399999999999,82.454,82.59200000000001,82.515,75.507,59.391999999999996,48.146,37.623000000000005
1977-NJ,28.638,41.684,55.961000000000006,65.17699999999999,75.892,78.315,86.315,83.346,76.023,62.792,53.223,40.599000000000004
1978-NJ,34.891999999999996,32.508,45.876999999999995,60.315,68.015,80.308,81.954,82.969,74.753,64.93,54.715,45.269
1979-NJ,38.760999999999996,29.807,54.784,59.461000000000006,71.67699999999999,76.885,83.054,82.054,75.423,62.777,57.784,45.306999999999995
1980-NJ,38.669000000000004,37.584,47.246,62.308,74.4,79.646,86.831,86.569,80.092,63.131,50.476000000000006,40.084
1981-NJ,32.638000000000005,46.869,48.23,64.661,72.715,80.961,85.584,81.73100000000001,74.24600000000001,61.891999999999996,52.73,40.207
1982-NJ,31.784000000000002,41.107,49.33,59.983999999999995,73.26100000000001,75.961,85.1,80.73,74.884,65.584,56.88399999999999,48.523
1983-NJ,39.846,42.223,50.53,59.346000000000004,69.792,81.569,88.12299999999999,86.10799999999999,79.461,64.492,54.815,40.284
1984-NJ,34.323,46.853,43.492,58.738,69.854,82.984,82.184,83.415,74.6,68.892,53.754,49.723
1985-NJ,33.806999999999995,42.492,54.192,65.138,74.561,77.307,84.454,82.015,77.969,67.484,56.468999999999994,39.584
1986-NJ,40.638000000000005,36.853,53.63,61.485,76.031,81.95299999999999,84.65299999999999,80.538,74.684,66.25399999999999,52.369,44.068999999999996
1987-NJ,37.215,39.784,53.754,60.461999999999996,72.615,82.23,86.7,82.046,75.184,62.468999999999994,55.907,45.06100000000001
1988-NJ,35.223,41.923,52.661,58.8,70.908,82.008,87.861,86.046,74.892,60.338,55.846000000000004,42.838
1989-NJ,43.669,41.068999999999996,49.923,60.131,70.061,80.877,82.93799999999999,81.054,76.354,67.25399999999999,52.876999999999995,31.307
1990-NJ,46.891999999999996,49.323,54.6,61.568999999999996,68.82300000000001,80.554,84.054,81.977,74.715,70.031,57.838,49.107
1991-NJ,41.192,47.838,53.0,63.338,79.015,83.4,85.331,85.038,76.715,66.8,54.246,47.023
1992-NJ,42.068999999999996,43.93,47.376999999999995,59.376999999999995,69.569,78.038,82.57700000000001,80.084,74.554,62.407,52.146,42.983999999999995
1993-NJ,43.146,38.169000000000004,45.323,61.438,74.292,81.238,87.57700000000001,84.569,75.053,63.54600000000001,54.891999999999996,42.315
1994-NJ,32.760999999999996,38.623000000000005,48.138000000000005,66.28399999999999,70.74600000000001,83.89200000000001,86.815,80.608,75.131,65.277,59.515,48.93
1995-NJ,43.407,38.615,54.292,61.907,70.26899999999999,79.946,86.492,86.485,76.6,69.78399999999999,49.8,37.338
1996-NJ,38.007,41.038000000000004,46.8,61.354,69.331,80.892,81.223,82.446,75.946,64.961,49.053999999999995,46.038000000000004
1997-NJ,39.192,47.891999999999996,51.376000000000005,60.068999999999996,68.954,80.069,86.084,82.2,75.407,65.76899999999999,50.592,44.515
1998-NJ,47.03,47.577,52.692,64.115,73.885,78.26899999999999,85.446,85.361,80.092,65.669,55.891999999999996,49.73
1999-NJ,43.391999999999996,45.315,50.415,63.077,72.469,82.331,90.169,84.76899999999999,76.561,64.738,58.723,46.576
2000-NJ,39.515,45.099,57.1,60.115,73.115,80.846,80.82300000000001,80.092,74.861,66.877,52.615,38.153
2001-NJ,39.084,44.53,47.03,63.254,73.308,81.954,82.40799999999999,86.1,76.33800000000001,67.78399999999999,60.861000000000004,50.784
2002-NJ,45.88399999999999,49.715,53.661,65.907,71.26100000000001,81.723,87.57700000000001,87.1,79.25399999999999,63.292,52.284,41.707
2003-NJ,34.207,36.869,52.746,59.03,66.33800000000001,77.169,84.708,84.546,75.807,63.738,58.169,44.23
2004-NJ,32.446,42.907,52.33,62.854,77.423,79.531,82.76899999999999,81.777,77.592,63.192,56.131,45.023
2005-NJ,38.423,43.876999999999995,46.453,65.138,68.392,82.869,85.87700000000001,86.569,82.715,64.907,58.653,41.376000000000005
2006-NJ,48.607,43.677,52.292,66.184,73.454,79.861,86.92299999999999,85.09200000000001,73.977,64.569,58.507,51.723
2007-NJ,45.492,35.123000000000005,53.053000000000004,58.977,76.26100000000001,81.861,84.4,83.915,79.83,72.4,52.976000000000006,43.199
2008-NJ,43.438,45.33,52.592,64.615,69.8,84.838,87.12299999999999,83.184,77.623,65.077,51.938,46.115
2009-NJ,35.260999999999996,45.54600000000001,51.261,63.777,72.015,76.723,82.677,84.538,74.154,63.023,57.583999999999996,42.815
2010-NJ,39.553000000000004,38.077,56.5,68.408,75.638,85.523,89.446,85.43799999999999,80.78399999999999,66.538,55.083999999999996,38.469
2011-NJ,35.684,45.306999999999995,51.361000000000004,64.26899999999999,74.438,82.93799999999999,89.538,83.584,77.184,65.869,59.891999999999996,50.415
2012-NJ,45.068999999999996,48.515,60.784,64.7,75.184,81.26899999999999,88.75399999999999,84.90799999999999,77.5,65.953,50.53,48.699
2013-NJ,42.107,41.023,47.369,63.123000000000005,72.1,81.75399999999999,86.74600000000001,80.977,76.054,67.615,52.953,44.938
2014-NJ,36.376,39.13,45.998999999999995,62.483999999999995,72.908,81.75399999999999,84.60799999999999,81.76100000000001,77.531,66.884,51.292,46.146
2015-NJ,36.661,32.73,46.223,63.3,78.631,80.207,85.131,86.008,81.8,65.584,59.876999999999995,56.391999999999996
2016-NJ,41.146,45.753,58.461000000000006,63.215,70.17699999999999,82.477,87.677,87.59200000000001,80.569,67.438,57.815,45.053000000000004
2017-NJ,43.576,50.998999999999995,49.099,67.238,69.83800000000001,81.707,85.307,81.623,78.331,71.208,55.068999999999996,41.56100000000001
2018-NJ,39.299,49.015,46.923,59.315,76.361,80.76100000000001,86.93799999999999,86.20700000000001,77.9,65.476,51.092,46.153
2019-NJ,40.953,43.576,49.83,66.069,73.1,81.453,88.631,84.523,80.484,67.723,51.468999999999994,44.946000000000005
2020-NJ,46.215,48.13,56.461000000000006,58.838,69.792,83.015,89.015,85.0,76.75399999999999,66.707,60.592,45.806999999999995
1948-MD,36.497,46.156000000000006,57.658,64.226,73.215,82.14299999999999,85.766,84.787,78.98,64.63,61.756,49.129
1949-MD,51.907,52.597,55.913000000000004,63.952,75.039,83.431,88.92299999999999,85.764,76.995,71.752,57.751000000000005,50.968999999999994
1950-MD,57.173,46.36600000000001,51.711999999999996,61.858000000000004,72.039,82.637,84.76899999999999,83.46799999999999,75.08,70.178,58.217,43.523
1951-MD,48.751000000000005,49.12,53.257,64.93,74.345,81.867,87.26799999999999,84.645,79.685,70.267,54.417,50.687
1952-MD,48.82899999999999,47.773,53.032,66.101,73.321,85.85799999999999,89.64399999999999,84.475,79.577,66.006,56.928999999999995,47.016000000000005
1953-MD,49.662,50.673,55.18,64.65100000000001,77.935,82.65799999999999,88.495,85.051,79.999,71.015,58.725,50.646
1954-MD,44.919,53.136,55.111999999999995,68.642,72.093,83.845,87.95700000000001,84.715,81.455,72.376,54.656000000000006,46.038999999999994
1955-MD,41.81,48.038000000000004,57.558,67.512,76.038,79.061,89.39,85.822,77.779,70.09100000000001,56.245,41.588
1956-MD,40.326,49.558,52.302,62.226000000000006,73.557,82.47399999999999,84.714,84.26100000000001,76.64,68.031,57.272,54.924
1957-MD,40.83,48.7,52.372,69.325,76.59899999999999,84.839,88.399,84.2,79.40100000000001,64.363,57.653999999999996,50.078
1958-MD,40.552,38.923,47.521,64.028,73.005,79.459,87.383,83.721,78.453,66.935,59.61600000000001,39.866
1959-MD,44.098,47.913000000000004,55.75899999999999,66.818,77.952,84.71600000000001,85.538,86.541,80.86,70.485,56.925,50.023999999999994
1960-MD,45.236999999999995,46.376000000000005,42.195,71.158,72.792,82.545,84.444,85.336,78.26899999999999,67.516,59.369,42.153999999999996
1961-MD,39.591,47.898999999999994,56.512,60.483000000000004,70.77600000000001,81.421,86.823,84.538,82.921,69.905,58.299,44.885
1962-MD,44.153999999999996,43.202,51.468,64.383,77.922,81.568,83.10600000000001,84.899,76.069,69.105,53.253,40.797
1963-MD,41.382,40.89,58.94,66.042,73.92,82.575,87.029,84.835,75.051,71.604,59.347,39.876
1964-MD,46.946000000000005,43.673,56.496,62.382,76.736,83.859,85.215,83.03,78.67699999999999,64.863,61.475,49.577
1965-MD,43.411,46.989,50.398,60.727,79.27,80.415,84.493,84.19,80.092,66.351,57.798,50.228
1966-MD,39.158,43.336999999999996,56.033,59.998000000000005,72.836,82.464,88.389,85.975,76.617,67.461,58.653999999999996,45.562
1967-MD,48.696999999999996,42.912,52.825,66.003,68.797,82.28299999999999,83.76799999999999,81.858,75.999,67.87,52.769,48.5
1968-MD,39.667,41.626999999999995,57.717,65.69,71.923,82.619,86.32799999999999,87.476,80.086,69.632,57.916000000000004,44.721000000000004
1969-MD,40.52,40.959,49.71,66.643,74.442,83.90899999999999,85.598,83.96700000000001,78.146,68.047,55.056000000000004,43.211000000000006
1970-MD,37.28,45.62,48.896,63.351000000000006,76.025,82.072,84.719,86.221,83.152,70.517,57.875,46.99100000000001
1971-MD,39.43,47.445,51.937,64.24,71.47399999999999,82.406,85.40899999999999,83.999,79.255,71.411,57.077,55.331
1972-MD,46.675,44.406000000000006,52.548,62.284,71.342,77.59899999999999,84.516,83.74700000000001,77.85300000000001,64.407,54.347,51.81
1973-MD,44.903999999999996,44.058,57.175,63.369,71.327,83.022,86.083,85.6,80.646,71.131,59.428000000000004,49.597
1974-MD,49.668,46.218999999999994,57.003,67.719,72.99,78.469,86.402,83.539,77.68,67.192,58.285,50.11600000000001
1975-MD,48.361999999999995,47.668,52.305,59.097,75.024,81.653,84.307,87.30799999999999,76.036,70.583,62.823,48.526
1976-MD,41.787,56.177,58.994,68.984,72.725,83.601,85.446,83.63,78.038,62.738,51.538000000000004,44.044
1977-MD,32.484,47.24100000000001,59.247,68.891,76.247,80.244,88.685,87.36,80.767,65.616,57.43600000000001,46.328
1978-MD,39.28,35.189,50.305,64.221,70.49600000000001,82.13,84.06700000000001,86.891,79.812,68.61399999999999,58.908,50.965
1979-MD,43.31100000000001,34.152,57.833,62.753,74.03,78.689,83.406,84.245,77.616,67.20100000000001,61.631,49.891000000000005
1980-MD,42.385,39.904,50.687,65.584,75.722,81.56,88.229,87.93299999999999,82.655,66.21300000000001,54.3,46.42100000000001
1981-MD,37.342,50.225,52.163000000000004,68.146,72.097,84.473,86.36200000000001,82.62799999999999,77.436,66.222,56.488,44.364
1982-MD,37.986,45.38399999999999,53.659,62.727,76.33800000000001,79.068,86.094,82.73899999999999,77.7,67.809,60.516000000000005,52.777
1983-MD,43.876999999999995,44.865,55.196000000000005,61.475,72.289,81.96799999999999,89.179,87.40100000000001,80.544,68.515,59.11,45.6
1984-MD,38.713,50.846000000000004,49.181999999999995,61.681999999999995,73.10600000000001,83.859,83.285,84.977,77.374,72.32,56.431999999999995,55.706
1985-MD,37.955999999999996,45.516999999999996,57.788000000000004,70.98899999999999,76.06,80.35,86.15899999999999,84.199,80.215,71.165,63.285,45.211999999999996
1986-MD,44.313,42.49100000000001,57.28,64.764,77.87899999999999,85.354,89.209,83.06299999999999,78.608,70.439,56.736000000000004,48.085
1987-MD,41.556000000000004,42.761,55.67100000000001,61.695,75.904,84.93,89.882,87.008,80.271,65.709,60.735,49.707
1988-MD,39.329,47.045,56.201,62.141000000000005,73.827,84.20200000000001,88.96700000000001,87.38,77.277,63.775,59.055,47.506
1989-MD,48.276,46.316,53.824,63.211999999999996,72.492,84.262,85.478,82.83,79.048,70.4,57.145,36.129
1990-MD,52.351000000000006,55.04,58.548,65.55199999999999,72.476,83.307,87.76299999999999,84.14200000000001,77.38600000000001,72.81,61.395,54.005
1991-MD,46.86,52.673,56.997,66.916,80.808,84.07799999999999,87.98299999999999,86.273,79.236,70.14,57.93600000000001,52.215
1992-MD,47.276,48.857,52.395,64.468,70.477,78.878,86.06299999999999,82.11200000000001,77.548,65.51,57.286,47.457
1993-MD,46.993,42.912,50.477,63.211999999999996,75.429,82.961,90.354,86.336,79.245,67.709,58.538000000000004,45.031000000000006
1994-MD,38.859,44.897,54.75,70.564,71.473,85.15,88.116,82.883,77.885,67.63,62.42100000000001,52.661
1995-MD,46.878,44.191,58.051,67.373,73.628,81.462,88.931,87.75299999999999,79.249,72.811,53.833999999999996,42.544
1996-MD,42.211000000000006,45.098,50.228,64.462,71.46,83.036,84.139,83.694,78.51100000000001,68.64,51.948,50.887
1997-MD,45.336000000000006,50.952,57.349,62.474,72.17399999999999,80.354,87.516,84.76100000000001,78.78399999999999,68.86399999999999,54.424,48.771
1998-MD,50.693999999999996,50.376999999999995,55.666000000000004,67.589,75.26,81.755,87.20100000000001,87.02,83.794,69.622,59.573,53.006
1999-MD,50.195,49.034,53.336000000000006,66.819,75.42,82.02600000000001,89.96799999999999,86.488,77.986,68.203,62.92,51.193000000000005
2000-MD,44.35,51.416000000000004,61.141000000000005,63.635,76.41199999999999,83.24600000000001,82.941,83.294,77.256,70.723,55.445,41.272
2001-MD,43.88399999999999,49.836000000000006,52.482,66.811,74.362,84.057,83.956,86.338,77.749,70.732,64.39,54.871
2002-MD,50.167,53.659,58.076,69.55199999999999,75.539,85.07600000000001,89.89299999999999,89.21600000000001,81.217,68.156,56.261,46.28
2003-MD,38.999,42.255,57.629,63.896,69.316,80.71,86.37100000000001,86.022,79.196,68.194,63.068999999999996,48.17100000000001
2004-MD,39.735,46.846000000000004,56.857,65.669,80.733,81.887,86.197,83.494,79.396,66.90100000000001,59.29,50.093999999999994
2005-MD,44.568000000000005,47.619,50.243,66.593,70.23899999999999,82.637,88.26299999999999,88.134,84.009,69.018,62.016000000000005,45.617
2006-MD,52.246,48.11600000000001,56.72,69.13,75.236,82.162,87.992,88.16799999999999,76.35,67.487,60.51,55.263000000000005
2007-MD,50.178999999999995,39.816,58.35,63.522,76.25399999999999,83.77600000000001,87.537,88.21600000000001,81.93799999999999,75.985,57.477,49.403999999999996
2008-MD,47.245,51.441,58.628,67.109,73.345,86.74700000000001,87.85600000000001,85.24,80.32600000000001,68.624,54.92100000000001,51.971000000000004
2009-MD,40.7,50.229,54.563,67.592,74.54899999999999,81.315,85.54799999999999,87.223,76.73,68.096,59.855,46.756
2010-MD,42.489,40.152,58.398999999999994,70.616,78.48899999999999,88.43,91.615,87.84,82.82799999999999,70.154,58.49100000000001,39.959
2011-MD,39.821,51.799,55.157,68.415,77.11,86.109,91.171,86.537,79.188,68.655,61.92100000000001,54.763999999999996
2012-MD,50.963,52.544,64.78699999999999,67.786,78.46300000000001,84.68799999999999,92.195,86.36200000000001,79.947,70.125,53.928999999999995,54.17100000000001
