Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-IL,12.126,19.244,30.052,44.717,48.18,59.43,64.242,61.622,56.158,39.927,34.459,24.272
1949-IL,21.070999999999998,21.77,30.035,38.577,51.979,63.236000000000004,67.863,62.17100000000001,48.251999999999995,46.528999999999996,32.171,25.169
1950-IL,22.461,21.324,27.048000000000002,35.545,52.178000000000004,59.431000000000004,60.869,58.163999999999994,54.611000000000004,46.894,25.215999999999998,13.030999999999999
1951-IL,18.375999999999998,21.018,27.463,38.104,51.31100000000001,58.9,63.576,60.88399999999999,51.726000000000006,44.5,24.833000000000002,19.208
1952-IL,20.587,26.296,28.118000000000002,40.001,50.351000000000006,65.247,65.678,60.773999999999994,51.28,34.437,31.721,26.055999999999997
1953-IL,23.418000000000003,24.480999999999998,31.680999999999997,37.513000000000005,51.617,64.191,64.719,61.06100000000001,52.565,43.788999999999994,31.682,22.468000000000004
1954-IL,19.156,28.74,27.069000000000003,44.625,46.077,63.778999999999996,65.911,63.78,56.328,44.778,32.075,24.954
1955-IL,18.483,21.092,28.776999999999997,46.45399999999999,52.58,56.843,68.918,64.063,54.946000000000005,43.18,26.125,18.295
1956-IL,17.06,23.467,28.865,37.235,52.302,61.21,63.181999999999995,62.703,51.446999999999996,46.188,29.976,26.819000000000003
1957-IL,12.275,27.298000000000002,29.645,43.007,51.461000000000006,61.544,65.783,62.371,52.576,39.759,31.244,26.818
1958-IL,19.282,11.937000000000001,28.721,40.942,49.88399999999999,56.56399999999999,63.891999999999996,62.678999999999995,54.758,42.881,33.421,15.110999999999999
1959-IL,11.732999999999999,20.077,29.455,40.471,55.763000000000005,60.995,62.81100000000001,66.664,56.224,42.933,24.754,28.88
1960-IL,21.541,19.393,16.182000000000002,42.93899999999999,48.81,59.012,61.961000000000006,63.293,58.263000000000005,42.996,31.89,17.234
1961-IL,14.425,24.357,33.626999999999995,36.266999999999996,45.852,57.531000000000006,63.372,61.538999999999994,56.423,44.323,32.474000000000004,19.324
1962-IL,11.135,21.366999999999997,27.381,39.016999999999996,58.131,60.228,62.528999999999996,60.782,51.788000000000004,46.576,31.669,16.639
1963-IL,7.553,11.356,33.396,42.442,48.983999999999995,59.827,63.075,59.573,52.818999999999996,49.31,34.256,9.209
1964-IL,20.35,20.179000000000002,28.671999999999997,43.181000000000004,54.621,61.417,64.542,59.85,54.11,37.561,33.769,20.434
1965-IL,17.491,18.585,22.41,42.348,55.648,59.799,62.438,60.503,56.123000000000005,42.265,33.768,29.162
1966-IL,12.589,20.268,31.320999999999998,39.221,46.318000000000005,58.559,66.086,58.869,52.153,39.111999999999995,33.542,23.096
1967-IL,20.6,15.5,32.925,43.558,46.868,61.428999999999995,60.553000000000004,56.828,51.025,42.966,29.381999999999998,24.164
1968-IL,15.22,15.675,31.3,40.99100000000001,48.458999999999996,61.415,63.396,63.521,53.48,42.73,33.143,21.160999999999998
1969-IL,15.139000000000001,24.011999999999997,23.531,41.933,50.778999999999996,57.645,66.419,61.367,54.395,41.81399999999999,28.846999999999998,20.549
1970-IL,8.992,18.125,27.897,42.568000000000005,54.138999999999996,60.07,63.433,62.896,57.317,44.53,31.607,24.494
1971-IL,12.782,20.971999999999998,27.541999999999998,38.934,46.968999999999994,63.951,61.126000000000005,59.532,58.0,49.823,32.242,29.471999999999998
1972-IL,14.640999999999998,18.115,29.147,39.775,51.798,56.288000000000004,63.458,62.511,57.882,41.995,32.077,19.934
1973-IL,20.892,22.358,38.861,41.846000000000004,48.49100000000001,61.626999999999995,65.142,63.723,58.227,48.278999999999996,34.768,20.297
1974-IL,18.526,22.745,33.289,43.083999999999996,51.611000000000004,57.052,65.2,61.382,49.839,41.706,33.448,25.221
1975-IL,21.775,21.999000000000002,26.845,37.935,53.869,61.843,62.68899999999999,64.80199999999999,51.338,43.687,36.67,25.358
1976-IL,13.636,27.618000000000002,34.724000000000004,41.805,46.902,59.227,63.43600000000001,58.309,50.687,37.001999999999995,22.412,13.035
1977-IL,0.893,19.172,35.861999999999995,45.483999999999995,56.635,59.251000000000005,66.38600000000001,62.01,57.208999999999996,41.395,34.239000000000004,17.895
1978-IL,7.405,7.934,25.313000000000002,41.823,50.586000000000006,60.56100000000001,64.744,61.888000000000005,57.532,40.591,34.515,21.708000000000002
1979-IL,4.51,8.34,31.111,39.779,49.287,60.086999999999996,63.082,62.659,52.455,42.498000000000005,31.076,25.296999999999997
1980-IL,19.088,14.504000000000001,27.467,39.263000000000005,51.494,58.715,67.329,66.166,56.173,38.961,31.67,22.976999999999997
1981-IL,15.873,20.89,29.838,46.077,47.623999999999995,62.766000000000005,65.35,61.934,53.33,41.57,34.711999999999996,19.2
1982-IL,7.382999999999999,16.092,30.203000000000003,36.018,56.153999999999996,56.108000000000004,65.604,60.32899999999999,53.956,42.946000000000005,33.907,30.947
1983-IL,22.677,26.035,32.853,37.955,48.622,60.678000000000004,67.301,66.434,54.108999999999995,44.964,35.884,10.103
1984-IL,13.796,27.266,26.236,41.335,48.203,63.793,61.673,62.44,53.011,48.449,31.372,27.037
1985-IL,9.513,15.965,34.876999999999995,45.713,52.661,58.458,62.942,60.286,55.495,45.848,34.204,11.8
1986-IL,18.524,20.354,32.854,43.135,53.358000000000004,62.004,67.458,57.667,58.379,45.265,30.118000000000002,25.396
1987-IL,19.194000000000003,26.333000000000002,33.839,40.395,55.623999999999995,62.82,66.673,63.321000000000005,53.963,36.239000000000004,36.522,27.775
1988-IL,14.944,16.54,30.408,38.96,50.328,58.922,64.743,65.945,54.655,37.056999999999995,32.941,21.017
1989-IL,26.391,14.363,30.535,40.277,48.278999999999996,59.638000000000005,65.187,61.653,51.963,43.175,30.043000000000003,8.304
1990-IL,27.396,26.794,35.497,39.617,49.297,61.478,64.03399999999999,61.765,56.714,40.144,36.122,21.634
1991-IL,16.754,25.938000000000002,34.033,45.358999999999995,58.655,64.001,64.822,62.986999999999995,54.663999999999994,44.46,29.184,25.831999999999997
1992-IL,24.049,29.372,33.116,40.191,48.941,56.978,64.009,57.193000000000005,53.001999999999995,41.21,34.846,23.383000000000003
1993-IL,20.732,18.754,28.898000000000003,39.404,52.294,60.18,67.627,64.85600000000001,51.997,40.165,31.561999999999998,25.198
1994-IL,12.796,18.441,30.554000000000002,41.312,48.103,62.456,63.095,59.193999999999996,53.372,45.077,37.044000000000004,28.425
1995-IL,19.12,20.422,32.883,38.821,50.265,61.15,65.649,68.655,51.005,42.645,26.018,19.823
1996-IL,15.709000000000001,20.86,24.199,36.486,51.958,61.506,61.544,62.486000000000004,52.656000000000006,42.851000000000006,27.51,23.048000000000002
1997-IL,12.035,27.135,32.479,36.116,46.255,60.57,63.943999999999996,60.871,54.535,43.288999999999994,31.432,26.44
1998-IL,25.4,33.169000000000004,32.957,42.428000000000004,57.081,62.223,65.786,64.64399999999999,59.035,45.287,36.286,25.816999999999997
1999-IL,16.912,29.043000000000003,27.923000000000002,44.425,52.873000000000005,62.118,67.71,60.056999999999995,50.555,41.198,36.139,24.197
2000-IL,18.611,28.671999999999997,34.884,39.458,54.358999999999995,60.248999999999995,63.413000000000004,64.032,53.931000000000004,46.251999999999995,30.662,9.452
2001-IL,18.061,22.638,27.374000000000002,45.542,53.674,59.2,65.191,63.468,52.379,43.199,38.608000000000004,27.783
2002-IL,24.559,25.638,28.090999999999998,42.715,48.442,63.302,67.264,64.566,56.406000000000006,42.077,30.826,23.448
2003-IL,14.328,18.079,30.496,41.87,50.521,56.821999999999996,64.25399999999999,63.898,52.225,42.106,35.699,26.33
2004-IL,16.784000000000002,21.298000000000002,35.701,42.166000000000004,55.644,59.653999999999996,63.148,57.42100000000001,54.438,44.79,37.611,22.569000000000003
2005-IL,22.025,28.409000000000002,28.959,43.39,48.464,63.4,65.036,64.706,58.449,44.243,34.37,19.160999999999998
2006-IL,30.76,20.723000000000003,32.446,44.44,52.216,60.285,66.707,64.71600000000001,52.917,40.381,35.122,27.061
