Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948-AR,3.302,5.765,5.140,3.125,5.062,5.424,3.833,3.854,0.871,2.532,5.245,4.206
1949-AR,10.354,3.994,5.408,2.235,4.763,5.329,4.908,2.789,2.939,8.491,0.358,4.859
1950-AR,9.714,6.022,3.869,3.055,7.957,4.029,6.196,6.593,5.192,1.911,2.299,0.929
1951-AR,4.876,5.252,2.209,4.473,2.093,7.102,5.765,2.641,4.826,4.428,5.684,3.233
1952-AR,3.720,3.518,5.642,6.049,4.215,0.511,2.676,3.565,1.768,0.829,7.834,3.587
1953-AR,3.679,2.605,7.236,6.681,6.958,0.640,4.443,1.557,0.897,1.441,2.058,2.742
1954-AR,5.645,2.309,2.159,3.362,5.677,1.574,1.501,1.707,2.650,5.221,1.234,4.922
1955-AR,1.395,4.096,5.438,4.483,6.648,4.509,4.101,2.707,3.353,2.387,1.778,0.905
1956-AR,3.078,8.145,1.960,4.382,4.092,4.321,3.355,2.385,0.814,2.636,3.542,2.660
1957-AR,5.471,5.004,3.810,12.194,8.993,5.685,4.073,4.928,4.499,4.121,8.251,2.900
1958-AR,2.633,1.811,5.965,5.720,6.825,5.896,5.904,3.484,5.943,1.443,6.364,0.994
1959-AR,2.113,3.991,3.868,3.368,3.488,5.086,5.072,3.030,4.732,3.948,3.013,5.818
1960-AR,3.333,2.996,2.786,2.128,6.520,5.436,4.007,2.589,3.270,3.235,2.682,5.075
1961-AR,1.152,4.019,8.070,3.050,8.665,3.157,5.795,3.822,2.728,1.622,5.942,5.360
1962-AR,4.494,5.159,4.028,3.061,1.963,5.104,3.438,3.063,6.046,4.706,1.919,1.636
1963-AR,0.859,1.118,4.563,2.984,4.221,3.426,4.400,1.740,1.740,0.182,4.328,2.461
1964-AR,0.978,2.893,7.479,7.317,3.082,2.010,2.764,6.234,5.238,0.782,3.959,2.697
1965-AR,3.712,4.723,4.238,3.131,5.471,4.182,3.368,3.012,7.512,0.463,1.683,2.249
1966-AR,4.633,5.237,1.173,8.633,3.840,0.984,3.555,6.145,2.352,2.528,2.207,4.002
1967-AR,1.568,1.762,2.539,5.372,7.186,4.444,4.580,2.837,4.370,5.562,1.784,6.339
1968-AR,3.692,1.744,6.395,4.869,9.554,4.111,3.273,2.836,6.102,2.641,6.287,6.097
1969-AR,6.315,3.057,3.640,4.176,3.087,3.925,3.168,1.991,1.739,4.911,2.946,5.659
1970-AR,0.977,2.971,5.065,7.045,3.110,5.012,2.784,5.145,5.970,6.834,2.567,3.065
1971-AR,2.440,3.615,2.206,2.369,4.273,2.504,5.360,3.671,1.834,2.093,2.769,8.190
1972-AR,2.251,1.133,2.493,3.936,3.164,3.003,3.991,2.407,6.189,5.956,7.421,4.981
1973-AR,4.346,3.093,9.850,10.309,5.543,4.895,3.807,1.877,6.414,5.856,8.360,5.312
1974-AR,3.943,2.623,2.919,5.242,5.862,7.558,2.305,4.977,6.237,3.246,7.184,2.814
1975-AR,3.359,4.970,8.732,3.199,5.511,4.658,3.219,4.341,4.288,1.328,3.671,4.047
1976-AR,1.832,2.682,5.311,2.691,5.397,6.402,2.942,1.662,2.761,4.507,1.436,2.024
