HHS_region,season
region1,1948.0
region1,1949.0
region1,1950.0
region1,1951.0
region1,1952.0
region1,1953.0
region1,1954.0
region1,1955.0
region1,1956.0
region1,1957.0
region1,1958.0
region1,1959.0
region1,1960.0
region1,1961.0
region1,1962.0
region1,1963.0
region1,1964.0
region1,1965.0
region1,1966.0
region1,1967.0
region1,1968.0
region1,1969.0
region1,1970.0
region1,1971.0
region1,1972.0
region1,1973.0
region1,1974.0
region1,1975.0
region1,1976.0
region1,1977.0
region1,1978.0
region1,1979.0
region1,1980.0
region1,1981.0
region1,1982.0
region1,1983.0
region1,1984.0
region1,1985.0
region1,1986.0
region1,1987.0
region1,1988.0
region1,1989.0
region1,1990.0
region1,1991.0
region1,1992.0
region1,1993.0
region1,1994.0
region1,1995.0
region1,1996.0
region1,1997.0
region1,1998.0
region1,1999.0
region1,2000.0
region1,2001.0
region1,2002.0
region1,2003.0
region1,2004.0
region1,2005.0
region1,2006.0
region1,2007.0
region1,2008.0
region1,2009.0
region1,2010.0
region1,2011.0
region1,2012.0
region1,2013.0
region1,2014.0
region1,2015.0
region1,2016.0
region1,2017.0
region1,2018.0
region1,2019.0
region1,2020.0
region1,2021.0
region10,1948.0
region10,1949.0
region10,1950.0
region10,1951.0
region10,1952.0
region10,1953.0
region10,1954.0
region10,1955.0
region10,1956.0
region10,1957.0
region10,1958.0
region10,1959.0
region10,1960.0
region10,1961.0
region10,1962.0
region10,1963.0
region10,1964.0
region10,1965.0
region10,1966.0
region10,1967.0
region10,1968.0
region10,1969.0
region10,1970.0
region10,1971.0
region10,1972.0
region10,1973.0
region10,1974.0
region10,1975.0
region10,1976.0
region10,1977.0
region10,1978.0
region10,1979.0
region10,1980.0
region10,1981.0
region10,1982.0
region10,1983.0
region10,1984.0
region10,1985.0
region10,1986.0
region10,1987.0
region10,1988.0
region10,1989.0
region10,1990.0
region10,1991.0
region10,1992.0
region10,1993.0
region10,1994.0
region10,1995.0
region10,1996.0
region10,1997.0
region10,1998.0
region10,1999.0
region10,2000.0
region10,2001.0
region10,2002.0
region10,2003.0
region10,2004.0
region10,2005.0
region10,2006.0
region10,2007.0
region10,2008.0
region10,2009.0
region10,2010.0
region10,2011.0
region10,2012.0
region10,2013.0
region10,2014.0
region10,2015.0
region10,2016.0
region10,2017.0
region10,2018.0
region10,2019.0
region10,2020.0
region10,2021.0
region2,1948.0
region2,1949.0
region2,1950.0
region2,1951.0
region2,1952.0
region2,1953.0
region2,1954.0
region2,1955.0
region2,1956.0
region2,1957.0
region2,1958.0
region2,1959.0
region2,1960.0
region2,1961.0
region2,1962.0
region2,1963.0
region2,1964.0
region2,1965.0
region2,1966.0
region2,1967.0
region2,1968.0
region2,1969.0
region2,1970.0
region2,1971.0
region2,1972.0
region2,1973.0
region2,1974.0
region2,1975.0
region2,1976.0
region2,1977.0
region2,1978.0
region2,1979.0
region2,1980.0
region2,1981.0
region2,1982.0
region2,1983.0
region2,1984.0
region2,1985.0
region2,1986.0
region2,1987.0
region2,1988.0
region2,1989.0
region2,1990.0
region2,1991.0
region2,1992.0
region2,1993.0
region2,1994.0
region2,1995.0
region2,1996.0
region2,1997.0
region2,1998.0
region2,1999.0
region2,2000.0
region2,2001.0
region2,2002.0
region2,2003.0
region2,2004.0
region2,2005.0
region2,2006.0
region2,2007.0
region2,2008.0
region2,2009.0
region2,2010.0
region2,2011.0
region2,2012.0
region2,2013.0
region2,2014.0
region2,2015.0
region2,2016.0
region2,2017.0
region2,2018.0
region2,2019.0
region2,2020.0
region2,2021.0
region3,1948.0
region3,1949.0
region3,1950.0
region3,1951.0
region3,1952.0
region3,1953.0
region3,1954.0
region3,1955.0
region3,1956.0
region3,1957.0
region3,1958.0
region3,1959.0
region3,1960.0
region3,1961.0
region3,1962.0
region3,1963.0
region3,1964.0
region3,1965.0
region3,1966.0
region3,1967.0
region3,1968.0
region3,1969.0
region3,1970.0
region3,1971.0
region3,1972.0
region3,1973.0
region3,1974.0
region3,1975.0
region3,1976.0
region3,1977.0
region3,1978.0
region3,1979.0
region3,1980.0
region3,1981.0
region3,1982.0
region3,1983.0
region3,1984.0
region3,1985.0
region3,1986.0
region3,1987.0
region3,1988.0
region3,1989.0
region3,1990.0
region3,1991.0
region3,1992.0
region3,1993.0
region3,1994.0
region3,1995.0
region3,1996.0
region3,1997.0
region3,1998.0
region3,1999.0
region3,2000.0
region3,2001.0
region3,2002.0
region3,2003.0
region3,2004.0
region3,2005.0
region3,2006.0
region3,2007.0
region3,2008.0
region3,2009.0
region3,2010.0
region3,2011.0
region3,2012.0
region3,2013.0
region3,2014.0
region3,2015.0
region3,2016.0
region3,2017.0
region3,2018.0
region3,2019.0
region3,2020.0
region3,2021.0
region4,1948.0
region4,1949.0
region4,1950.0
region4,1951.0
region4,1952.0
region4,1953.0
region4,1954.0
region4,1955.0
region4,1956.0
region4,1957.0
region4,1958.0
region4,1959.0
region4,1960.0
region4,1961.0
region4,1962.0
region4,1963.0
region4,1964.0
region4,1965.0
region4,1966.0
region4,1967.0
region4,1968.0
region4,1969.0
region4,1970.0
region4,1971.0
region4,1972.0
region4,1973.0
region4,1974.0
region4,1975.0
region4,1976.0
region4,1977.0
region4,1978.0
region4,1979.0
region4,1980.0
region4,1981.0
region4,1982.0
region4,1983.0
region4,1984.0
region4,1985.0
region4,1986.0
region4,1987.0
region4,1988.0
region4,1989.0
region4,1990.0
region4,1991.0
region4,1992.0
region4,1993.0
region4,1994.0
region4,1995.0
region4,1996.0
region4,1997.0
region4,1998.0
region4,1999.0
region4,2000.0
region4,2001.0
region4,2002.0
region4,2003.0
region4,2004.0
region4,2005.0
region4,2006.0
region4,2007.0
region4,2008.0
region4,2009.0
region4,2010.0
region4,2011.0
region4,2012.0
region4,2013.0
region4,2014.0
region4,2015.0
region4,2016.0
region4,2017.0
region4,2018.0
region4,2019.0
region4,2020.0
region4,2021.0
region5,1948.0
region5,1949.0
region5,1950.0
region5,1951.0
region5,1952.0
region5,1953.0
region5,1954.0
region5,1955.0
region5,1956.0
region5,1957.0
region5,1958.0
region5,1959.0
region5,1960.0
region5,1961.0
region5,1962.0
region5,1963.0
region5,1964.0
region5,1965.0
region5,1966.0
region5,1967.0
region5,1968.0
region5,1969.0
region5,1970.0
region5,1971.0
region5,1972.0
