"date","time","RSVpos","fluApos","fluBpos","HHS_REGION"
2013.5095890411,2.50958904109598,0,1,0,"1"
2013.5095890411,2.50958904109598,2,28,0,"2"
2013.5095890411,2.50958904109598,1,0,0,"3"
2013.5095890411,2.50958904109598,3,22,4,"4"
2013.5095890411,2.50958904109598,0,10,2,"5"
2013.5095890411,2.50958904109598,3,1,0,"6"
2013.5095890411,2.50958904109598,1,0,0,"7"
2013.5095890411,2.50958904109598,1,1,0,"8"
2013.5095890411,2.50958904109598,5,5,22,"9"
2013.5095890411,2.50958904109598,0,1,0,"10"
2013.52876712329,2.52876712328771,0,2,0,"1"
2013.52876712329,2.52876712328771,1,8,2,"2"
2013.52876712329,2.52876712328771,2,1,0,"3"
2013.52876712329,2.52876712328771,8,23,4,"4"
2013.52876712329,2.52876712328771,3,7,0,"5"
2013.52876712329,2.52876712328771,5,3,0,"6"
2013.52876712329,2.52876712328771,0,0,0,"7"
2013.52876712329,2.52876712328771,0,4,0,"8"
2013.52876712329,2.52876712328771,1,7,19,"9"
2013.52876712329,2.52876712328771,0,4,0,"10"
2013.54794520548,2.54794520547944,0,2,0,"1"
2013.54794520548,2.54794520547944,5,12,0,"2"
2013.54794520548,2.54794520547944,1,0,0,"3"
2013.54794520548,2.54794520547944,4,31,2,"4"
2013.54794520548,2.54794520547944,3,1,0,"5"
2013.54794520548,2.54794520547944,5,1,1,"6"
2013.54794520548,2.54794520547944,1,1,0,"7"
2013.54794520548,2.54794520547944,1,3,0,"8"
2013.54794520548,2.54794520547944,4,26,10,"9"
2013.54794520548,2.54794520547944,1,9,1,"10"
2013.56712328767,2.56712328767117,0,0,0,"1"
2013.56712328767,2.56712328767117,2,12,0,"2"
2013.56712328767,2.56712328767117,2,8,0,"3"
2013.56712328767,2.56712328767117,3,26,6,"4"
2013.56712328767,2.56712328767117,2,2,1,"5"
2013.56712328767,2.56712328767117,6,0,2,"6"
2013.56712328767,2.56712328767117,0,0,0,"7"
2013.56712328767,2.56712328767117,0,2,0,"8"
2013.56712328767,2.56712328767117,1,5,5,"9"
2013.56712328767,2.56712328767117,0,5,0,"10"
2013.58630136986,2.58630136986312,0,1,0,"1"
2013.58630136986,2.58630136986312,7,5,1,"2"
2013.58630136986,2.58630136986312,0,5,0,"3"
2013.58630136986,2.58630136986312,8,31,2,"4"
2013.58630136986,2.58630136986312,2,2,0,"5"
2013.58630136986,2.58630136986312,6,3,0,"6"
2013.58630136986,2.58630136986312,0,0,0,"7"
2013.58630136986,2.58630136986312,0,2,0,"8"
2013.58630136986,2.58630136986312,1,2,7,"9"
2013.58630136986,2.58630136986312,0,7,0,"10"
2013.60547945205,2.60547945205485,0,0,0,"1"
2013.60547945205,2.60547945205485,6,12,0,"2"
2013.60547945205,2.60547945205485,0,1,0,"3"
2013.60547945205,2.60547945205485,9,30,5,"4"
2013.60547945205,2.60547945205485,5,3,0,"5"
2013.60547945205,2.60547945205485,4,13,2,"6"
2013.60547945205,2.60547945205485,0,0,0,"7"
2013.60547945205,2.60547945205485,0,0,0,"8"
2013.60547945205,2.60547945205485,1,4,13,"9"
2013.60547945205,2.60547945205485,0,6,0,"10"
2013.62465753425,2.62465753424658,0,5,0,"1"
2013.62465753425,2.62465753424658,3,11,0,"2"
2013.62465753425,2.62465753424658,0,0,0,"3"
2013.62465753425,2.62465753424658,12,28,2,"4"
2013.62465753425,2.62465753424658,1,2,0,"5"
2013.62465753425,2.62465753424658,4,7,0,"6"
2013.62465753425,2.62465753424658,0,0,0,"7"
2013.62465753425,2.62465753424658,0,5,1,"8"
2013.62465753425,2.62465753424658,2,5,9,"9"
2013.62465753425,2.62465753424658,0,3,0,"10"
2013.64383561644,2.64383561643831,0,0,0,"1"
2013.64383561644,2.64383561643831,4,3,0,"2"
2013.64383561644,2.64383561643831,1,0,0,"3"
2013.64383561644,2.64383561643831,9,35,5,"4"
2013.64383561644,2.64383561643831,3,2,0,"5"
2013.64383561644,2.64383561643831,5,5,1,"6"
2013.64383561644,2.64383561643831,0,2,0,"7"
2013.64383561644,2.64383561643831,30,0,0,"8"
2013.64383561644,2.64383561643831,1,3,6,"9"
2013.64383561644,2.64383561643831,0,2,0,"10"
2013.66301369863,2.66301369863004,0,1,0,"1"
2013.66301369863,2.66301369863004,2,3,0,"2"
2013.66301369863,2.66301369863004,2,1,0,"3"
2013.66301369863,2.66301369863004,22,43,1,"4"
2013.66301369863,2.66301369863004,2,3,0,"5"
2013.66301369863,2.66301369863004,9,2,0,"6"
2013.66301369863,2.66301369863004,0,1,0,"7"
2013.66301369863,2.66301369863004,0,1,0,"8"
2013.66301369863,2.66301369863004,2,1,2,"9"
2013.66301369863,2.66301369863004,1,1,0,"10"
2013.68219178082,2.682191780822,0,0,0,"1"
2013.68219178082,2.682191780822,1,11,0,"2"
2013.68219178082,2.682191780822,2,2,0,"3"
2013.68219178082,2.682191780822,12,78,4,"4"
2013.68219178082,2.682191780822,4,2,0,"5"
2013.68219178082,2.682191780822,7,17,2,"6"
2013.68219178082,2.682191780822,0,1,2,"7"
2013.68219178082,2.682191780822,1,0,0,"8"
2013.68219178082,2.682191780822,6,1,2,"9"
2013.68219178082,2.682191780822,0,1,0,"10"
2013.70136986301,2.70136986301372,1,0,0,"1"
2013.70136986301,2.70136986301372,0,10,0,"2"
2013.70136986301,2.70136986301372,1,0,1,"3"
2013.70136986301,2.70136986301372,7,71,10,"4"
2013.70136986301,2.70136986301372,3,5,0,"5"
2013.70136986301,2.70136986301372,7,8,0,"6"
2013.70136986301,2.70136986301372,0,0,0,"7"
2013.70136986301,2.70136986301372,0,2,0,"8"
2013.70136986301,2.70136986301372,4,2,1,"9"
2013.70136986301,2.70136986301372,0,4,1,"10"
2013.72054794521,2.72054794520545,0,0,0,"1"
2013.72054794521,2.72054794520545,0,27,0,"2"
2013.72054794521,2.72054794520545,1,0,0,"3"
2013.72054794521,2.72054794520545,7,68,4,"4"
2013.72054794521,2.72054794520545,2,1,0,"5"
2013.72054794521,2.72054794520545,12,6,2,"6"
2013.72054794521,2.72054794520545,0,1,0,"7"
2013.72054794521,2.72054794520545,1,4,0,"8"
2013.72054794521,2.72054794520545,6,3,1,"9"
2013.72054794521,2.72054794520545,4,5,0,"10"
2013.7397260274,2.73972602739718,0,3,0,"1"
2013.7397260274,2.73972602739718,0,20,0,"2"
2013.7397260274,2.73972602739718,4,0,0,"3"
2013.7397260274,2.73972602739718,5,66,14,"4"
2013.7397260274,2.73972602739718,10,1,0,"5"
2013.7397260274,2.73972602739718,22,2,3,"6"
2013.7397260274,2.73972602739718,0,1,0,"7"
2013.7397260274,2.73972602739718,0,3,2,"8"
2013.7397260274,2.73972602739718,4,3,2,"9"
2013.7397260274,2.73972602739718,1,3,1,"10"
2013.75890410959,2.75890410958914,0,0,0,"1"
2013.75890410959,2.75890410958914,0,31,1,"2"
2013.75890410959,2.75890410958914,3,1,0,"3"
2013.75890410959,2.75890410958914,9,116,14,"4"
2013.75890410959,2.75890410958914,1,2,0,"5"
2013.75890410959,2.75890410958914,29,1,3,"6"
2013.75890410959,2.75890410958914,1,1,0,"7"
2013.75890410959,2.75890410958914,1,6,1,"8"
2013.75890410959,2.75890410958914,5,7,1,"9"
2013.75890410959,2.75890410958914,3,3,0,"10"
2013.77808219178,2.77808219178087,0,0,0,"1"
2013.77808219178,2.77808219178087,0,9,3,"2"
2013.77808219178,2.77808219178087,1,4,0,"3"
2013.77808219178,2.77808219178087,25,123,17,"4"
2013.77808219178,2.77808219178087,8,5,1,"5"
2013.77808219178,2.77808219178087,25,7,0,"6"
2013.77808219178,2.77808219178087,1,4,1,"7"
2013.77808219178,2.77808219178087,0,5,4,"8"
2013.77808219178,2.77808219178087,10,8,1,"9"
2013.77808219178,2.77808219178087,1,1,1,"10"
2013.79726027397,2.7972602739726,1,1,0,"1"
2013.79726027397,2.7972602739726,0,6,0,"2"
2013.79726027397,2.7972602739726,1,2,0,"3"
2013.79726027397,2.7972602739726,62,144,26,"4"
2013.79726027397,2.7972602739726,8,5,0,"5"
2013.79726027397,2.7972602739726,45,11,2,"6"
2013.79726027397,2.7972602739726,1,0,1,"7"
2013.79726027397,2.7972602739726,0,4,1,"8"
2013.79726027397,2.7972602739726,3,17,1,"9"
2013.79726027397,2.7972602739726,2,7,1,"10"
2013.81643835616,2.81643835616433,1,0,0,"1"
2013.81643835616,2.81643835616433,0,7,0,"2"
2013.81643835616,2.81643835616433,3,1,1,"3"
2013.81643835616,2.81643835616433,97,99,14,"4"
2013.81643835616,2.81643835616433,8,8,0,"5"
2013.81643835616,2.81643835616433,56,8,3,"6"
2013.81643835616,2.81643835616433,4,0,4,"7"
2013.81643835616,2.81643835616433,1,9,4,"8"
2013.81643835616,2.81643835616433,6,19,0,"9"
2013.81643835616,2.81643835616433,0,8,0,"10"
2013.83561643836,2.83561643835606,2,3,0,"1"
2013.83561643836,2.83561643835606,25,4,0,"2"
2013.83561643836,2.83561643835606,6,13,0,"3"
2013.83561643836,2.83561643835606,118,121,11,"4"
2013.83561643836,2.83561643835606,18,7,0,"5"
2013.83561643836,2.83561643835606,60,20,3,"6"
2013.83561643836,2.83561643835606,8,2,0,"7"
2013.83561643836,2.83561643835606,0,7,0,"8"
2013.83561643836,2.83561643835606,7,11,0,"9"
2013.83561643836,2.83561643835606,0,6,0,"10"
2013.85479452055,2.85479452054801,4,4,0,"1"
2013.85479452055,2.85479452054801,60,6,0,"2"
2013.85479452055,2.85479452054801,9,1,1,"3"
2013.85479452055,2.85479452054801,129,148,23,"4"
2013.85479452055,2.85479452054801,36,11,5,"5"
2013.85479452055,2.85479452054801,69,17,3,"6"
2013.85479452055,2.85479452054801,14,2,3,"7"
2013.85479452055,2.85479452054801,3,35,2,"8"
2013.85479452055,2.85479452054801,15,17,4,"9"
2013.85479452055,2.85479452054801,2,9,2,"10"
2013.87397260274,2.87397260273974,9,3,0,"1"
2013.87397260274,2.87397260273974,71,11,2,"2"
2013.87397260274,2.87397260273974,12,4,1,"3"
2013.87397260274,2.87397260273974,138,183,17,"4"
2013.87397260274,2.87397260273974,25,19,3,"5"
2013.87397260274,2.87397260273974,111,60,6,"6"
2013.87397260274,2.87397260273974,13,8,1,"7"
2013.87397260274,2.87397260273974,6,39,7,"8"
2013.87397260274,2.87397260273974,7,20,4,"9"
2013.87397260274,2.87397260273974,13,10,2,"10"
2013.89315068493,2.89315068493147,3,7,0,"1"
2013.89315068493,2.89315068493147,79,17,4,"2"
2013.89315068493,2.89315068493147,17,12,2,"3"
2013.89315068493,2.89315068493147,192,172,21,"4"
2013.89315068493,2.89315068493147,60,34,0,"5"
2013.89315068493,2.89315068493147,127,94,6,"6"
2013.89315068493,2.89315068493147,26,14,0,"7"
2013.89315068493,2.89315068493147,2,93,2,"8"
2013.89315068493,2.89315068493147,21,28,2,"9"
2013.89315068493,2.89315068493147,3,10,0,"10"
2013.91232876712,2.9123287671232,8,6,1,"1"
2013.91232876712,2.9123287671232,157,22,2,"2"
2013.91232876712,2.9123287671232,34,26,4,"3"
2013.91232876712,2.9123287671232,145,214,44,"4"
2013.91232876712,2.9123287671232,72,59,2,"5"
2013.91232876712,2.9123287671232,128,105,4,"6"
2013.91232876712,2.9123287671232,23,22,0,"7"
2013.91232876712,2.9123287671232,4,149,0,"8"
2013.91232876712,2.9123287671232,12,30,0,"9"
2013.91232876712,2.9123287671232,11,27,0,"10"
2013.93150684932,2.93150684931516,9,11,0,"1"
2013.93150684932,2.93150684931516,152,25,2,"2"
2013.93150684932,2.93150684931516,42,32,1,"3"
2013.93150684932,2.93150684931516,155,248,28,"4"
2013.93150684932,2.93150684931516,119,66,2,"5"
2013.93150684932,2.93150684931516,169,138,5,"6"
2013.93150684932,2.93150684931516,33,35,1,"7"
2013.93150684932,2.93150684931516,6,223,1,"8"
2013.93150684932,2.93150684931516,22,48,2,"9"
2013.93150684932,2.93150684931516,13,30,0,"10"
2013.95068493151,2.95068493150688,23,29,4,"1"
2013.95068493151,2.95068493150688,140,39,10,"2"
2013.95068493151,2.95068493150688,64,74,2,"3"
2013.95068493151,2.95068493150688,144,483,37,"4"
2013.95068493151,2.95068493150688,142,150,2,"5"
2013.95068493151,2.95068493150688,164,356,6,"6"
2013.95068493151,2.95068493150688,45,45,0,"7"
2013.95068493151,2.95068493150688,13,333,3,"8"
2013.95068493151,2.95068493150688,26,61,5,"9"
2013.95068493151,2.95068493150688,13,80,0,"10"
