"time","total_a","total_b"
2.5,NA,NA
2.50410958904104,1,2
2.52328767123277,1,1
2.54246575342472,3,0
2.56164383561645,1,0
2.58082191780818,0,0
2.59999999999991,0,0
2.61917808219187,0,0
2.63835616438359,0,0
2.65753424657532,1,0
2.67671232876705,2,1
2.69589041095901,0,0
2.71506849315074,0,1
2.73424657534247,4,0
2.7534246575342,6,3
2.77260273972593,5,0
2.79178082191788,5,0
2.81095890410961,4,0
2.83013698630134,11,3
2.84931506849307,8,1
2.86849315068503,7,1
2.88767123287676,24,0
2.90684931506848,40,3
2.92602739726021,58,5
2.94520547945194,83,1
2.9643835616439,81,3
2.98356164383563,97,1
3.02185792349724,127,2
3.04098360655735,104,2
3.06010928961746,89,2
3.07923497267757,72,15
3.09836065573768,48,9
3.11748633879779,55,12
3.1366120218579,40,23
3.15573770491801,42,74
3.17486338797812,54,53
3.19398907103823,46,106
3.21311475409834,50,80
3.23224043715845,32,81
3.25136612021856,29,70
3.27049180327867,15,47
3.28961748633878,7,71
3.30874316939889,6,86
3.32786885245901,6,67
3.34699453551912,4,42
3.36612021857923,2,33
3.38524590163934,5,17
3.40437158469945,2,8
3.42349726775956,4,13
3.44262295081967,2,1
3.46174863387978,1,0
3.48087431693989,3,2
3.5,2,0
3.51912568306011,1,0
3.53825136612022,1,0
3.55737704918033,0,0
3.57650273224044,1,0
3.59562841530055,3,0
3.61475409836066,1,1
3.63387978142077,1,0
3.65300546448088,1,0
3.67213114754099,1,0
3.69125683060111,0,0
3.71038251366122,4,0
3.72950819672133,0,0
3.74863387978144,6,0
3.76775956284155,3,0
3.78688524590166,7,1
3.80601092896177,6,0
3.82513661202188,17,0
3.84426229508199,7,1
3.8633879781421,19,2
3.88251366120221,30,1
3.90163934426232,41,4
3.92076502732243,57,5
3.93989071038254,68,4
3.95901639344265,88,7
3.97814207650276,92,7
3.99726775956287,114,16
4.01643835616437,116,27
4.0356164383561,73,17
4.05479452054806,71,24
4.07397260273979,54,37
4.09315068493152,68,49
4.11232876712324,46,50
4.13150684931497,50,67
4.15068493150693,27,115
4.16986301369866,36,108
4.18904109589039,18,102
4.20821917808212,13,109
4.22739726027407,19,140
4.2465753424658,8,143
4.26575342465753,10,84
4.28493150684926,7,52
4.30410958904099,2,53
4.32328767123295,4,17
4.34246575342468,0,15
4.36164383561641,3,5
4.38082191780813,1,3
4.40000000000009,1,1
4.41917808219182,1,0
4.43835616438355,1,1
4.45753424657528,0,1
4.47671232876723,0,0
4.49589041095896,0,0
4.51506849315069,0,0
4.53424657534242,0,0
4.55342465753415,0,0
4.57260273972611,1,0
4.59178082191784,1,0
4.61095890410957,0,0
4.6301369863013,0,0
4.64931506849325,0,0
4.66849315068498,0,0
4.68767123287671,0,0
4.70684931506844,0,1
4.72602739726017,1,0
4.74520547945212,6,0
4.76438356164385,2,1
4.78356164383558,4,1
4.80273972602731,5,0
4.82191780821927,16,0
4.841095890411,27,2
4.86027397260273,16,0
4.87945205479446,25,3
4.89863013698641,36,5
4.91780821917814,44,10
4.93698630136987,55,19
4.9561643835616,52,28
4.97534246575333,55,32
4.99452054794529,75,55
5.03287671232874,33,73
5.05205479452047,39,71
5.07123287671243,40,74
5.09041095890416,48,117
5.10958904109589,55,136
5.12876712328762,36,208
5.14794520547935,36,226
5.1671232876713,26,222
5.18630136986303,21,119
5.20547945205476,13,109
5.22465753424649,15,115
5.24383561643845,15,94
5.26301369863017,17,115
5.2821917808219,10,72
5.30136986301363,6,63
5.32054794520559,4,59
5.33972602739732,3,39
5.35890410958905,2,20
5.37808219178078,0,13
5.39726027397251,1,7
5.41643835616446,4,2
5.43561643835619,0,0
5.45479452054792,1,0
5.47397260273965,0,0
5.49315068493161,1,0
