"","RepWeekDate.x","date","HHS_REGION","TestType","RSVtest","RSVpos","percent_positive","YEAR","WEEK","flutest","flupos","fluApos","fluBpos","H1pos","H3pos","flupos_percent","fluApos_percent","fluBpos_percent","RepWeekDate.y"
"1","1/10/15",2015.02465753425,"1","1",742,119,0.160377358490566,2015,1,2230,471,466,6,2,251,0.211659,0.208968609865471,0.00269058295964126,2015-01-10
"2","1/10/15",2015.02465753425,"2","1",771,98,0.127107652399481,2015,1,4264,966,952,14,2,351,0.226548,0.223264540337711,0.00328330206378987,2015-01-10
"3","1/10/15",2015.02465753425,"3","1",640,136,0.2125,2015,1,4905,1310,1279,32,0,692,0.267278,0.260754332313965,0.00652395514780836,2015-01-10
"4","1/10/15",2015.02465753425,"4","1",1544,233,0.150906735751295,2015,1,7093,1073,976,97,1,307,0.151276,0.13760045114902,0.0136754546736219,2015-01-10
"5","1/10/15",2015.02465753425,"5","1",1054,241,0.22865275142315,2015,1,5619,1200,1174,27,0,705,0.213739,0.208933974016729,0.00480512546716498,2015-01-10
"6","1/10/15",2015.02465753425,"6","1",1351,403,0.298297557364915,2015,1,4163,988,904,84,0,441,0.237329,0.217151092961806,0.0201777564256546,2015-01-10
"7","1/10/15",2015.02465753425,"7","1",277,43,0.155234657039711,2015,1,2006,378,365,13,2,148,0.188435,0.181954137587238,0.00648055832502493,2015-01-10
"8","1/10/15",2015.02465753425,"8","1",205,29,0.141463414634146,2015,1,2881,890,863,27,2,553,0.308921,0.299548767788962,0.00937174592155502,2015-01-10
"9","1/10/15",2015.02465753425,"9","1",513,114,0.222222222222222,2015,1,3448,1402,1353,49,2,1029,0.406613,0.392401392111369,0.0142111368909513,2015-01-10
"10","1/10/15",2015.02465753425,"10","1",423,100,0.236406619385343,2015,1,1899,564,542,23,0,431,0.297525,0.285413375460769,0.0121116377040548,2015-01-10
"11","1/11/14",2014.02739726027,"1","1",732,110,0.150273224043716,2014,1,500,161,158,3,132,9,0.322,0.316,0.006,2014-01-11
