HHS_region,pathogen2,chi,loglik
1,fluA,0,-4943.9
1,fluA,0.1,-4222.37
1,fluA,0.2,-4185.73
1,fluA,0.3,-4163.61
1,fluA,0.4,-3527.72
1,fluA,0.408806192,-3518.300924
1,fluA,0.438806192,-3494.708519
1,fluA,0.468806192,-3479.180852
1,fluA,0.498806192,-3469.049638
1,fluA,0.5,-3468.75
1,fluA,0.528806192,-3464.029222
1,fluA,0.5407,-3463.3388
1,fluA,0.545,-3463.339
1,fluA,0.5450749,-3463.34
1,fluA,0.558806192,-3463.823877
1,fluA,0.588806192,-3468.154016
1,fluA,0.6,-3470.88
1,fluA,0.618806192,-3476.77656
1,fluA,0.648806192,-3489.499033
1,fluA,0.678806192,-3506.189968
1,fluA,0.7,-3520.34
1,fluA,0.8,-3613.88
1,fluA,0.9,-3757.51
1,fluA,1,-3966.74
2,fluA,0,-8298.968443
2,fluA,0.1,-8294.377045
2,fluA,0.3,-8271.932546
2,fluA,0.4,-8247.748621
2,fluA,0.5,-8218.278582
2,fluA,0.514514325,-8213.678877
2,fluA,0.544514325,-8203.961616
2,fluA,0.574514325,-8193.999765
2,fluA,0.6,-8185.394485
2,fluA,0.604514325,-8183.862084
2,fluA,0.634514325,-8173.711555
2,fluA,0.664514325,-7351.279629
2,fluA,0.694514325,-7392.948613
2,fluA,0.7,-7401.158289
2,fluA,0.724514325,-8174.914359
2,fluA,0.754514325,-8191.231812
2,fluA,0.784514325,-8202.218803
2,fluA,0.8,-8206.306861
2,fluA,0.814514325,-8209.321787
2,fluA,0.844514325,-8213.580407
2,fluA,0.9,-8219.480986
2,fluA,1,-8231.886964
3,fluA,0,-7467.853869
3,fluA,0.1,-7294.76505
3,fluA,0.2,-7144.499644
3,fluA,0.3,-7041.226232
3,fluA,0.4,-6931.741607
3,fluA,0.439161231,-6938.612104
3,fluA,0.469161231,-6963.546266
3,fluA,0.499161231,-6714.138206
3,fluA,0.529161231,-6680.10701
3,fluA,0.559161231,-6667.979991
3,fluA,0.5855,-6665.5266
3,fluA,0.589161231,-6665.569747
3,fluA,0.6,-6666.202106
3,fluA,0.619161231,-6669.100001
3,fluA,0.649161231,-6678.010117
3,fluA,0.679161231,-6692.080567
3,fluA,0.7,-6704.852117
3,fluA,0.709161231,-6711.248394
3,fluA,0.8,-6802.478979
3,fluA,0.9,-6978.694614
3,fluA,1,-8302.747338
4,fluA,0,-12702.03224
4,fluA,0.2,-12702.01033
4,fluA,0.279062472,-12701.60277
4,fluA,0.3,-12701.47731
4,fluA,0.309062472,-12701.42267
4,fluA,0.339062472,-11584.61563
4,fluA,0.369062472,-11585.28648
4,fluA,0.399062472,-11587.04746
4,fluA,0.4,-11587.13756
4,fluA,0.429062472,-11590.63993
4,fluA,0.459062472,-11595.55743
4,fluA,0.5666,-11585.241
4,fluA,0.8,-11681.17658
4,fluA,0.9,-12588.83517
4,fluA,1,-12621.91375
5,fluA,0,-17561.67406
5,fluA,0.1,-17554.22564
5,fluA,0.2,-17559.83428
5,fluA,0.3,-17538.32256
5,fluA,0.4,-17529.53182
5,fluA,0.5,-17519.71535
5,fluA,0.5835996,-17510.11769
5,fluA,0.6,-14853.04397
5,fluA,0.6135996,-14802.61461
5,fluA,0.6435996,-14711.20501
5,fluA,0.6735996,-14633.9067
5,fluA,0.7,-14585.62494
5,fluA,0.7035996,-14580.19608
5,fluA,0.7335996,-14545.33507
5,fluA,0.7635996,-14528.38096
5,fluA,0.7781,-14526.386
5,fluA,0.7935996,-14528.63906
5,fluA,0.8,-14530.88415
5,fluA,0.8235996,-14545.81196
5,fluA,0.8535996,-14580.16756
5,fluA,0.8835996,-14632.71756
5,fluA,0.9,-14669.79478
5,fluA,0.9135996,-14705.42056
5,fluA,0.9435996,-14801.45007
5,fluA,1,-15063.16016
6,fluA,0,-14179.66142
6,fluA,0.1,-14161.32804
6,fluA,0.2,-14144.16798
6,fluA,0.3,-14128.03892
6,fluA,0.4,-14112.67771
6,fluA,0.5,-14097.54515
6,fluA,0.579979314,-14084.75785
6,fluA,0.6,-13955.47994
