HHS_region,pathogen2,psi,loglik
1,fluA,0,-3463.336892
1,fluA,1.00E-05,-3463.338772
1,fluA,0.01,-3466.847771
1,fluA,0.04,-3470.881113
1,fluA,0.1,-3482.345618
1,fluA,0.13,-3490.204245
1,fluA,0.16,-3493.985621
1,fluA,0.19,-3499.870065
1,fluA,0.2,-3501.840976
1,fluA,0.22,-3505.796822
1,fluA,0.25,-3511.765298
1,fluA,0.28,-3517.774973
1,fluA,0.3,-3521.804051
1,fluA,0.4,-3542.215186
1,fluA,0.5,-3563.055655
1,fluA,0.6,-3584.307672
1,fluA,0.7,-3605.954315
1,fluA,0.8,-3627.979579
1,fluA,0.9,-3650.36878
1,fluA,1,-3673.108545
3,fluA,0,-6665.524903
3,fluA,0,-6665.524903
3,fluA,0.03,-6670.500132
3,fluA,0.06,-6675.528795
3,fluA,0.09,-6680.6105
3,fluA,0.1,-6682.316109
3,fluA,0.12,-6685.744763
3,fluA,0.15,-6690.930816
3,fluA,0.18,-6696.168248
3,fluA,0.2,-6699.688162
3,fluA,0.21,-6701.456525
3,fluA,0.24,-6706.795054
3,fluA,0.27,-6712.183258
3,fluA,0.3,-6717.620457
3,fluA,0.3,-6717.620457
3,fluA,0.4,-6736.092659
3,fluA,0.5,-6755.08599
3,fluA,0.6,-7022.8307
3,fluA,0.7,-6794.569343
3,fluA,0.8,-7062.20705
3,fluA,0.9,-7083.604943
3,fluA,1,-6857.344179
4,fluA,0,-11597.89959
4,fluA,0.1,-11593.97474
4,fluA,0.2,-11590.69426
4,fluA,0.3,-11588.10972
4,fluA,0.4,-11586.34951
4,fluA,0.481631211,-11585.52663
4,fluA,0.5,-11585.41604
4,fluA,0.511631211,-11585.36006
4,fluA,0.541631211,-11585.26545
4,fluA,0.571631211,-11585.24204
4,fluA,0.6,-11584.54534
4,fluA,0.601631211,-11585.28901
4,fluA,0.631631211,-11585.40565
4,fluA,0.661631211,-11585.59107
4,fluA,0.691631211,-11585.84451
4,fluA,0.7,-11584.8199
4,fluA,0.8,-11585.82422
4,fluA,0.9,-11587.54817
4,fluA,1,-11592.17439
5,fluA,0,-14526.3836
5,fluA,0.03,-14534.07035
5,fluA,0.06,-14541.85055
5,fluA,0.09,-14549.7272
5,fluA,0.1,-14552.37396
5,fluA,0.12,-14557.7001
5,fluA,0.15,-14565.77084
5,fluA,0.18,-14573.9397
5,fluA,0.2,-14579.44034
5,fluA,0.21,-14582.20744
5,fluA,0.24,-14590.57553
5,fluA,0.27,-14599.0428
5,fluA,0.3,-14607.61104
5,fluA,0.3,-14607.61114
5,fluA,0.4,-14636.90792
5,fluA,0.5,-14667.3548
5,fluA,0.6,-14698.9764
5,fluA,0.7,-14731.79626
5,fluA,0.9,-14801.12527
5,fluA,1,-17517.36783
6,fluA,0,-13869.37795
6,fluA,0,-13869.37795
6,fluA,0.03,-13874.05976
6,fluA,0.06,-13878.77094
6,fluA,0.09,-13883.50929
6,fluA,0.1,-14040.92249
6,fluA,0.12,-14042.11664
6,fluA,0.15,-14043.9028
6,fluA,0.18,-14045.6832
6,fluA,0.2,-14046.86683
6,fluA,0.21,-14047.45765
6,fluA,0.24,-14049.22608
6,fluA,0.27,-14050.98828
6,fluA,0.3,-14052.74427
6,fluA,0.3,-14052.74427
6,fluA,0.4,-14058.55138
6,fluA,0.5,-14064.2836
6,fluA,0.6,-14069.93091
6,fluA,0.7,-14075.40891
6,fluA,0.8,-14080.44818
6,fluA,0.9,-14085.10239
6,fluA,1,-14089.45827
7,fluA,0,-4097.4722
7,fluA,0.03,-4097.4722
7,fluA,0.06,-4097.721313
7,fluA,0.09,-4097.969033
7,fluA,0.1,-4098.051301
7,fluA,0.2,-4098.865326
7,fluA,0.3,-4099.664047
7,fluA,0.4,-4100.447694
7,fluA,0.5,-4101.216425
7,fluA,0.6,-4101.9704
7,fluA,0.7,-4102.709829
7,fluA,0.8,-4103.434915
7,fluA,0.9,-4104.145823
7,fluA,1,-4104.842719
