HHS_region,pathogen2,chi,loglik
1,fluB,0,-1484.437885
1,fluB,0.1,-1482.958923
1,fluB,0.2,-1481.589058
1,fluB,0.3,-1390.819474
1,fluB,0.5,-1373.886159
1,fluB,0.508138823,-1364.623332
1,fluB,0.568138823,-1364.723584
1,fluB,0.598138823,-1360.474181
1,fluB,0.6,-1361.661904
1,fluB,0.628138823,-1355.766569
1,fluB,0.6375,-1353.9941
1,fluB,0.658138823,-1362.701578
1,fluB,0.688138823,-1392.561383
1,fluB,0.7,-1412.044069
1,fluB,0.718138823,-1413.990875
1,fluB,0.748138823,-1418.530735
1,fluB,0.778138823,-1425.070609
1,fluB,0.8,-1431.389121
1,fluB,0.9,-1480.827499
1,fluB,1,-1504.849982
2,fluB,0,-3345.301681
2,fluB,0.1,-3327.726643
2,fluB,0.2,-3309.547691
2,fluB,0.3,-3290.957206
2,fluB,0.4,-3272.19073
2,fluB,0.5,-3253.530942
2,fluB,0.649430664,-3226.72137
2,fluB,0.709430664,-3218.160432
2,fluB,0.7157,-3217.9092
2,fluB,0.739430664,-3364.477515
2,fluB,0.745907552,-3364.630391
2,fluB,0.769430664,-3365.198818
2,fluB,0.799430664,-3365.954116
2,fluB,0.8,-3365.968757
2,fluB,0.829430664,-3366.741082
2,fluB,0.859430664,-3367.556063
2,fluB,0.889430664,-3368.39541
2,fluB,0.9,-3368.696314
2,fluB,0.919430664,-3369.25584
2,fluB,1,-3371.650365
3,fluB,0,-2425.192417
3,fluB,0.1,-2429.72119
3,fluB,0.2,-2440.578167
3,fluB,0.3,-2429.602518
3,fluB,0.4,-2432.698125
3,fluB,0.5,-2384.931145
3,fluB,0.559430664,-2389.584915
3,fluB,0.589430664,-2369.087251
3,fluB,0.6,-2356.359315
3,fluB,0.619430664,-2250.907271
3,fluB,0.649430664,-2240.442471
3,fluB,0.679430664,-2232.839115
3,fluB,0.7,-2224.450424
3,fluB,0.709430664,-2226.541904
3,fluB,0.739430664,-2225.937358
3,fluB,0.769430664,-2235.553954
3,fluB,0.799430664,-2255.48246
3,fluB,0.8,-2255.964204
3,fluB,0.829430664,-2287.919586
3,fluB,0.859430664,-2335.654645
3,fluB,0.889430664,-2402.45706
3,fluB,0.9,-2407.801671
3,fluB,1,-2434.755144
4,fluB,0,-4714.194291
4,fluB,0.1,-4707.358062
4,fluB,0.2,-4652.082609
4,fluB,0.3,-4636.264443
