HHS_region,pathogen2,psi,loglik
1,fluB,,
3,fluB,0,-2224.296163
3,fluB,0.01,-2224.283338
3,fluB,0.04,-2224.270513
3,fluB,0.07,-2224.257687
3,fluB,0.1,-2224.244862
3,fluB,0.1,-2224.232037
3,fluB,0.13,-2224.296163
3,fluB,0.16,-2224.283338
3,fluB,0.19,-2224.321814
3,fluB,0.2,-2224.347464
3,fluB,0.22,-2224.373115
3,fluB,0.25,-2224.398765
3,fluB,0.28,-2224.237176
3,fluB,0.3,-2293.915575
3,fluB,0.4,-2294.600338
3,fluB,0.5,-2292.601731
3,fluB,0.6,-2296.049016
3,fluB,0.7,-2296.81146
3,fluB,0.8,-2297.598028
3,fluB,0.9,-2298.407477
3,fluB,1,-2299.238491
4,fluB,0,-4587.583894
4,fluB,0.01,-4588.013275
4,fluB,0.04,-4589.301607
4,fluB,0.07,-4590.586807
4,fluB,0.1,-4591.868012
4,fluB,0.1,-4591.868012
4,fluB,0.13,-4593.144395
4,fluB,0.16,-4594.414912
4,fluB,0.19,-4595.678391
4,fluB,0.2,-4596.097743
4,fluB,0.22,-4596.933427
4,fluB,0.25,-4598.17854
4,fluB,0.28,-4599.411922
4,fluB,0.3,-4600.226731
4,fluB,0.4,-4604.183873
4,fluB,0.5,-4607.869672
4,fluB,0.8,-4617.268693
4,fluB,0.9,-4620.092048
4,fluB,1,-4664.591398
7,fluB,0,-2259.092639
7,fluB,0.1,-2259.092639
7,fluB,0.2,-2258.113141
7,fluB,0.3,-2258.113141
7,fluB,0.4,-2258.113141
7,fluB,0.5,-2258.113141
7,fluB,0.6,-2258.113141
7,fluB,0.7,-2258.113141
7,fluB,0.7,-2256.447812
7,fluB,0.73,-2256.447812
7,fluB,0.76,-2256.447812
7,fluB,0.79,-2255.693635
7,fluB,0.8,-2256.164521
7,fluB,0.82,-2255.850972
7,fluB,0.85,-2255.850972
7,fluB,0.88,-2255.850972
7,fluB,0.9,-2255.158983
7,fluB,0.91,-2255.158983
7,fluB,0.94,-2255.158983
7,fluB,0.97,-2254.693226
7,fluB,1,-2255.59101
9,fluB,0,-6472.387262
9,fluB,0,-6471.085058
9,fluB,0.03,-6468.264415
9,fluB,0.06,-6483.595777
9,fluB,0.09,-6478.084811
9,fluB,0.1,-6484.49549
9,fluB,0.12,-6472.421423
9,fluB,0.15,-6481.166267
9,fluB,0.18,-6490.749666
9,fluB,0.2,-6476.598406
9,fluB,0.21,-6483.903105
9,fluB,0.24,-6475.865952
9,fluB,0.27,-6485.806527
9,fluB,0.3,-6469.20947
9,fluB,0.3,-6481.06946
9,fluB,0.5,-6488.167594
9,fluB,0.6,-6480.078399
9,fluB,0.7,-6486.427294
9,fluB,0.8,-6493.515697
9,fluB,0.9,-6483.760065
9,fluB,1,-6498.64412
