"Pathogen2","HHSregion","variable","neutral","psi","chi","co_infect"
"fluB",1,"R2",0.884669962860671,0.886954808794738,0.891936276466193,0.894551210007215
"fluB",1,"RMSE",12.2572949016369,12.2340796596474,10.7383042007971,11.4188316790875
"fluB",2,"R2",0.785353531942059,0.786265900159637,0.784368174772858,0.78436867891234
"fluB",2,"RMSE",31.7091302941324,31.7211196634533,28.9011424148346,28.9012072431412
"fluB",3,"R2",0.862476261527019,0.865192553796814,0.873232491365864,0.874430804580276
"fluB",3,"RMSE",23.1145948827046,23.1002887515693,22.6787091380378,22.6496796152426
"fluB",4,"R2",0.651515103214356,0.652455993926648,0.644257973161655,0.63706852538717
"fluB",4,"RMSE",34.5301811704769,34.6713651509802,34.8428526638109,34.0263434115715
"fluB",5,"R2",0.85849727281723,0.86109698832083,0.893263248419987,0.900966967772622
"fluB",5,"RMSE",55.2457243174551,56.1269969886874,51.0448081867225,55.1337362023044
"fluB",6,"R2",0.817244050679295,0.815660288596287,0.837079148478328,0.829934384863285
"fluB",6,"RMSE",51.6706067476235,51.685741489328,49.9685820655616,50.4908680621962
"fluB",7,"R2",0.758145648662228,0.753348453403707,0.755877398870165,0.758127987605056
"fluB",7,"RMSE",17.3770965594857,17.6674750498563,17.3244544192302,15.5957631516032
"fluB",8,"R2",0.845325540102618,0.845346173755108,0.84528469552012,0.817265354685156
"fluB",8,"RMSE",26.6775557088354,26.6764793499432,26.6764429896878,32.1062750013857
"fluB",9,"R2",0.513447307700099,0.728680564345032,0.766305313369769,0.763286120477776
"fluB",9,"RMSE",159.814841131996,91.6672300805721,84.3314080604562,84.3333707459456
"fluB",10,"R2",0.835725018715899,0.83548680236616,0.839528515820731,0.84095665268845
"fluB",10,"RMSE",29.9055122436993,29.9094013870609,23.428395171639,23.5119344427348
"fluB",1,"deltaAIC",299.711740157123,274.329202929646,0,47.1378969103703
"fluB",2,"deltaAIC",305.482349494247,305.892800500152,0,2.00001079793765
"fluB",3,"deltaAIC",311.411491132503,283.463222760681,12.4296492767571,0
"fluB",4,"deltaAIC",62.9122521928657,22.1473287998579,152.014187828054,0
"fluB",5,"deltaAIC",1948.3631947867,1886.56914361779,0,396.314459527152
"fluB",6,"deltaAIC",1492.0499972116,1486.85167409482,0,848.685051049037
"fluB",7,"deltaAIC",231.776215487938,333.272597070963,229.322539463405,0
"fluB",8,"deltaAIC",0,2.00319355002011,2.0024137973096,1261.17303028177
"fluB",9,"deltaAIC",3113.01353928164,2813.92967780602,6.36522637726011,0
"fluB",10,"deltaAIC",1017.12068426473,1017.17521539196,0,6.21244969167765
