"Pathogen2","HHSregion","Hypothesis","R01","R02","amplitude1","amplitude2","tpeak1","tpeak2","rho1","rho2","psi","chi","loglik","AIC","R2","RMSE"
"fluA",1,"neutral",1.08403207557437,1.41023675975412,0.413925856471639,0.107742904883695,0.91160451289984,0.101539045059234,0.00061520001421076,0.000659357076183135,1,1,-4894.52256634303,9805.04513268606,0.236618649793069,155.968058311731
"fluA",2,"neutral",1.59801307659937,1.64014150112882,0.213566622510622,0.0830422083737928,0.832864281418217,0.221359454903389,0.000283719914466043,0.000343019539220642,1,1,-8204.4226634481,16424.8453268962,0.314368429034164,141.853593394463
"fluA",3,"neutral",1.59766047199697,1.25250554094526,0.215856363492956,0.107060022676521,0.860688157511313,0.97959003718622,0.000219004467792954,0.000724610017130905,1,1,-8520.34796974601,17056.695939492,0.301238968970443,144.044692094852
"fluA",4,"neutral",1.50545409640599,1.45738496639973,0.163926321222071,0.0314197090773734,0.767590018748651,0.0853084773835808,0.000160564210395145,0.000349188085959005,1,1,-12677.8244032182,25371.6488064364,0.28619561926372,146.357961792239
"fluA",5,"neutral",1.62063158052105,1.35086199306834,0.210013752689962,0.05389286566418,0.874572277723093,0.952622520706093,0.000378394098011129,0.000474032384892752,1,1,-17653.4941591907,35322.9883183814,0.337391296043323,160.755985721629
"fluA",6,"neutral",1.57867009268679,1.47616334256937,0.195054113842099,0.0666449589854041,0.833826906121505,0.0361641871927514,0.000442129077777964,0.00042452700986836,1,1,-14173.5931746632,28363.1863493264,0.325412718528758,151.990204183237
"fluA",7,"neutral",1.49756873863729,1.46208068441751,0.21031970131123,0.100474610856285,0.88520961020574,0.0651779201994959,0.000367958033861326,0.00037876768590814,1,1,-4484.86464985024,8985.72929970047,0.352076802785056,156.742126635751
"fluA",8,"neutral",1.60085059074325,1.54319811734885,0.299542652976948,0.113627856588721,0.942709015481416,0.0995225514602089,0.000940760025298615,0.0010877083920323,1,1,-9416.84614801982,18849.6922960396,0.319375251342027,143.107979532801
"fluA",9,"neutral",1.73937538644162,1.74490718202075,0.222693267766329,0.106723910967374,0.877857708616692,0.241129632728278,0.000240480753801378,0.00039480779526965,1,1,-13622.6538679591,27261.3077359183,0.316796208683673,172.052372892991
"fluA",10,"neutral",1.4825366509334,1.68065690069733,0.31642128307321,0.102002708244635,0.894165579432811,0.188083883151807,0.000557291073064062,0.000546622977813329,1,1,-5361.00937739532,10738.0187547906,0.343895247504252,144.49597908864
"fluA",1,"psi",1.43773839116587,1.08760668921099,0.344927103726504,0.254584678697952,0.924068174882325,0.0254530228526316,0.000275494979391309,0.00105760294224728,1.00000310514953e-05,1,-4161.07249553897,8338.14499107794,0.251882436663102,154.358056620028
"fluA",2,"psi",1.60765347599764,1.7150408912152,0.212929414851228,0.106534095673143,0.839720194558501,0.206470392284449,0.000282671234392889,0.000327435243193296,1.00000775531442e-05,1,-8150.20765815562,16316.4153163112,0.317813013602936,141.50596426082
"fluA",3,"psi",1.60747995508353,1.09521145103623,0.24416521078926,0.210419221560161,0.866646278917425,0.971317065619098,0.000216527391469807,0.00101729809282984,1.00001839713719e-05,1,-7594.45230058596,15204.9046011719,0.337187793511982,140.452890126971
"fluA",4,"psi",1.51266944367155,1.50623369503973,0.164979428401935,0.0470025481109295,0.772972828007091,0.0826878129606223,0.000159893009501653,0.000332341694393119,1.00000831805779e-05,1,-12620.724051551,25257.4481031021,0.284553889211937,146.553570766604
"fluA",5,"psi",1.63859752436775,1.11563077132074,0.220898064913857,0.146046780000626,0.875373667911581,0.913412697161395,0.000373749574566307,0.000850658687976288,1.00001122802689e-05,1,-15978.1125573637,31972.2251147273,0.366142887493339,160.794282181252
"fluA",6,"psi",1.58858171191184,1.47856706293651,0.200561238538749,0.0881403752417526,0.838785263884421,0.0355898053225941,0.000439562991035459,0.000429824035974095,1.00000215540219e-05,1,-14026.9051343972,28069.8102687945,0.324173817734558,152.37111854024
"fluA",7,"psi",1.50292476365138,1.44701754604954,0.2184656484257,0.11826637176656,0.887738724564738,0.063102622570172,0.000367089495472082,0.0003906583788513,1.00002558638291e-05,1,-4447.62225272639,8911.24450545278,0.353156742188009,156.647614480846
"fluA",8,"psi",1.70379519451268,1.46992435796101,0.275226300433495,0.128049806779904,0.951241913966353,0.0817303212514075,0.00088047901930646,0.00118915137307898,1.00128882453984e-05,1,-9368.7373468068,18753.4746936136,0.323046386616429,142.656689211245
"fluA",9,"psi",1.7705360144031,1.76760332974398,0.217413093615441,0.118088254994223,0.885700272618179,0.226037101700604,0.00023604576152503,0.000391892164968133,0.442882914811991,1,-13584.5731711232,27185.1463422464,0.318810446508519,171.640935312719
"fluA",10,"psi",1.4801526748763,1.65404517795454,0.322605453457711,0.106472122287089,0.896000373340838,0.173086563684433,0.000559475620216416,0.000562101624261519,0.42786930968672,1,-5353.98316242781,10723.9663248556,0.344947917859819,144.435438442073
"fluA",1,"chi",1.83554602398497,1.17289394575186,0.204576443369729,0.260228300330368,0.981293218298413,0.0794118716848024,0.000210644298089441,0.000963805402292198,1,1.00000000806946e-05,-3598.21511883832,7212.43023767664,0.261745551258198,153.150534360531
"fluA",2,"chi",1.80462379341426,1.13838025647327,0.160783381272639,0.192438243610089,0.887081988549855,0.0144204375019157,0.000246643874545309,0.000843369807316472,1,1.00004907771833e-05,-7502.91115227272,15021.8223045454,0.366016800744902,136.586367152186
"fluA",3,"chi",1.87151480481903,1.165564502964,0.14952930510386,0.219194054300625,0.929481380404935,0.0224706781572297,0.000184538793484547,0.000927900136103641,1,1.00000359613079e-05,-6914.2485710627,13844.4971421254,0.346387013435928,140.066165851627
"fluA",4,"chi",1.18967178881093,1.43284860659267,0.214203142408009,0.0448507752663921,0.76538623485004,0.0487711221419785,0.000370616415047258,0.000372189234176351,1,1.00011995682277e-05,-12675.4637137527,25366.9274275055,0.285978705290056,146.361540389198
"fluA",5,"chi",1.89522917299667,1.16987882064293,0.149447440013267,0.115625944031556,0.939125219412607,0.965069223001772,0.000317883656616684,0.000811093946950169,1,0.166399702141841,-15279.1521727029,30574.3043454058,0.378423363838831,160.229818540474
"fluA",6,"chi",1.84051624211646,1.18571401078797,0.145803860109841,0.141898132354076,0.901225740481324,0.948897215224876,0.000367318752617919,0.000771854951580246,1,0.167884403233618,-14000.0347974877,28016.0695949753,0.34815955352184,148.467749453131
"fluA",7,"chi",1.00000000000541,1.46207793562986,0.357094794831075,0.100475287977107,0.884795534240115,0.0651763467648336,0.0015758192503052,0.000378768743966574,1,0.999999999898071,-4433.26217848746,8882.52435697492,0.351093095062481,156.794848148357
"fluA",8,"chi",1.60083131792734,1.54318942777815,0.299559944558175,0.113629506686329,0.942708004538965,0.0995178059796119,0.000940772963589775,0.00108770305797616,1,0.999999998029474,-9416.84614945377,18849.6922989075,0.319374215252998,143.108274617079
"fluA",9,"chi",1.69890215704747,1.72177552744971,0.232456578965333,0.111883844363039,0.88172627362808,0.223318314194954,0.000250864895885229,0.000406640538049711,1,0.733027139271686,-13598.3838661012,27212.7677322025,0.317982716102204,171.789066684498
"fluA",10,"chi",1.48677315063388,1.64524709948182,0.320584736651063,0.102559027913468,0.900045590708419,0.178505030049585,0.000560388360461345,0.000566767703989879,1,0.797616673262982,-5360.54293239539,10737.0858647908,0.344134160949542,144.484261453006
"fluA",1,"co_infect",1.95807895626309,1.1372774811939,0.187495394711642,0.346844400612352,0.0134469296215534,0.08525799015184,0.000198044085981496,0.00102737592869411,1.00126116416131e-05,1.00609904916556e-05,-3418.64084037516,6857.28168075031,0.266840519274636,152.688848896785
"fluA",2,"co_infect",1.61721779157932,1.71722467002804,0.2059525736215,0.114675943165579,0.846236613917716,0.196622699178379,0.000282881038012195,0.00032946475493386,1.00002982699655e-05,0.823276406622068,-8143.98353198005,16307.9670639601,0.318776103078546,141.410259240204
"fluA",3,"co_infect",1.94918100492063,1.14152583246256,0.14216035720095,0.292922853314404,0.95527555415118,0.0280422752426217,0.000177466145361047,0.000974525026112524,1.00018225108305e-05,1.00135559353096e-05,-6737.89653698878,13495.7930739776,0.351531105008164,139.328059487296
"fluA",4,"co_infect",1.67218256710578,1.11401252447866,0.132672148181013,0.103040345364945,0.804755752978248,0.917367964343788,0.000136775827571171,0.001080607546199,0.999999999763384,1.00000145639795e-05,-11573.5536861984,23167.1073723968,0.325552556590443,142.384350601838
"fluA",5,"co_infect",1.86933941184633,1.163895222937,0.157682225337427,0.136286069646933,0.926747725354272,0.969142301961786,0.000321729644674932,0.000828017107925161,1.00011574291552e-05,0.381085050593155,-14962.2726093706,29944.5452187411,0.378088326950301,161.001748766261
"fluA",6,"co_infect",1.82628988391243,1.1751711071678,0.150709315802609,0.167483586817974,0.89480504840872,0.951895355527002,0.000369406940861557,0.000788697501963317,1.00232261208866e-05,0.367243795921188,-13874.7317513727,27769.4635027455,0.348604400326357,148.426643455286
"fluA",7,"co_infect",1.86364677429156,1.13025979393929,0.155874813406749,0.226510700197255,0.966096289480149,0.0148102776059175,0.000280837308060683,0.000743447965220954,1.00030597158744e-05,1.00011080263463e-05,-4157.35426501856,8334.70853003712,0.389029451956329,154.471891506028
"fluA",8,"co_infect",1.70380082727191,1.46990193039981,0.275224869198737,0.128049853856067,0.951242220803439,0.081720845812489,0.000880471850021074,0.00118918008209274,1.00021573209138e-05,0.999999999691104,-9368.73734685241,18757.4746937048,0.323047519112269,142.656515128807
"fluA",9,"co_infect",1.225549730778,1.79891029694499,0.228742900706586,0.134371303911965,0.905405120820764,0.232141615879917,0.000624403411744179,0.000389344029748247,0.989941385068133,0.0032674436204642,-12196.407727847,24412.8154556939,0.306075570046343,173.709340227424
"fluA",10,"co_infect",1.4801526873079,1.65404514274883,0.322604766326805,0.106471411977902,0.89599985245995,0.173087018795266,0.00055947574338634,0.000562101931742078,0.427909073130073,0.999999999077295,-5353.98316248389,10727.9663249678,0.344948122267752,144.435413692337
