Pathogen2,HHSregion,variable,neutral,psi,chi,co_infect
fluA,1,R01,1.487090572,1.458003834,1.844381157,1.891671005
fluA,1,R02,1.365386638,1.052276307,1.313794216,1.271341777
fluA,1,amplitude1,0.255887839,0.333523774,0.132551286,0.145078079
fluA,1,amplitude2,0.095915435,0.266456965,0.172670858,0.229897941
fluA,1,tpeak1,0.91437316,0.926874767,0.97526629,0.988732748
fluA,1,tpeak2,0.100030417,0.025657637,0.117311972,0.106795434
fluA,1,rho1,0.000248831,0.000245455,0.000207488,0.000197225
fluA,1,rho2,0.000648623,0.00106797,0.000893815,0.00093384
fluA,1,psi,0,0.99999,0,0.999989999
fluA,1,chi,0,0,0.534215821,0.454925078
fluA,1,loglik,-4946.370075,-3966.743653,-3673.10855,-3463.338774
fluA,1,AIC,9908.74015,7951.487305,7364.2171,6946.677549
fluA,1,R2,0.23744649,0.256699276,0.25671273,0.263573073
fluA,1,RMSE,155.9183802,153.7830046,153.5587102,152.9488694
fluA,2,R01,1.538202006,1.561240319,1.189684572,1.189678914
fluA,2,R02,1.598734114,1.678955657,1.638390014,1.638416353
fluA,2,amplitude1,0.209561113,0.205058181,0.28255369,0.2825367
fluA,2,amplitude2,0.080315472,0.10411151,0.093725477,0.093730932
fluA,2,tpeak1,0.823775974,0.832581152,0.8097983,0.809792902
fluA,2,tpeak2,0.249458448,0.231403576,0.250360992,0.250366667
fluA,2,rho1,0.000278486,0.000273311,0.000746165,0.000746164
fluA,2,rho2,0.000329341,0.000311852,0.00032958,0.000329574
fluA,2,psi,0,0.99999,0,4.10E-08
fluA,2,chi,0,0,0.313980901,0.313942252
fluA,2,loglik,-8231.886965,-8163.685148,-8161.415309,-8161.415339
fluA,2,AIC,16479.77393,16345.3703,16340.83062,16342.83068
fluA,2,R2,0.314076529,0.317625705,0.324436864,0.324439694
fluA,2,RMSE,141.8859511,141.5252214,140.8639566,140.8637186
fluA,3,R01,1.539106305,1.976819034,1.277630349,1.261649393
fluA,3,R02,1.225662582,1.267128221,1.147330934,1.146957037
fluA,3,amplitude1,0.211553304,0.111386394,0.250161724,0.251152981
fluA,3,amplitude2,0.100293246,0.130182073,0.193438753,0.204203947
fluA,3,tpeak1,0.851741334,0.949940958,0.809155637,0.815630457
fluA,3,tpeak2,0.973909431,0.010353383,0.002737854,0.002737852
fluA,3,rho1,0.000214642,0.000157666,0.000396088,0.000416845
fluA,3,rho2,0.000714606,0.000664748,0.001000927,0.000985294
fluA,3,psi,0,0.99999,0,0.999989999
fluA,3,chi,0,0,0.629889833,0.58588893
fluA,3,loglik,-8531.439465,-8302.747338,-7106.191923,-6929.514458
fluA,3,AIC,17078.87893,16623.49468,14230.38385,13879.02892
fluA,3,R2,0.300837694,0.310399356,0.344857748,0.351264668
fluA,3,RMSE,144.0778094,142.9996497,140.7236088,139.8470442
fluA,4,R01,1.449016899,1.457010667,1.173869412,1.17200998
fluA,4,R02,1.424371249,1.483769237,1.448458041,1.463756951
fluA,4,amplitude1,0.163158268,0.164202624,0.218462581,0.220391524
fluA,4,amplitude2,0.026453164,0.043435024,0.033399232,0.038539116
fluA,4,tpeak1,0.758776008,0.764399407,0.746186976,0.749224098
fluA,4,tpeak2,0.125615397,0.120297555,0.141682053,0.131208175
fluA,4,rho1,0.000159996,0.000159023,0.000394091,0.000396979
fluA,4,rho2,0.0003386,0.000316197,0.000337341,0.000331053
fluA,4,psi,0,0.99999,0,0.999989982
fluA,4,chi,0,0,0.219754877,0.194639811
fluA,4,loglik,-12684.87779,-12621.91375,-12603.05,-12591.42
fluA,4,AIC,25385.75558,25261.82749,25224.1,25202.84
fluA,4,R2,0.286863777,0.28547139,0.291848721,0.28989924
fluA,4,RMSE,146.2556154,146.4386182,145.6420879,145.8858578
fluA,5,R01,1.556442317,1.584690836,1.053367707,1.106540273
fluA,5,R02,1.309886591,1.09194342,1.309860885,1.308775962
fluA,5,amplitude1,0.207210251,0.209229787,0.370119797,0.358086708
fluA,5,amplitude2,0.048118888,0.155021847,0.048124421,0.052535141
fluA,5,tpeak1,0.864751712,0.867921772,0.847302581,0.845775386
fluA,5,tpeak2,0.936599546,0.916012566,0.936579737,0.949820932
fluA,5,rho1,0.000372125,0.000362577,0.001618059,0.001140378
fluA,5,rho2,0.000473943,0.000844727,0.000473963,0.000479579
fluA,5,psi,0,0.99999,0,0.999989999
fluA,5,chi,0,0,2.43E-09,7.72E-11
fluA,5,loglik,-17674.48741,-15063.16017,-17517.36783,-17433.687
fluA,5,AIC,35364.97483,30144.32034,35052.73566,34887.37399
fluA,5,R2,0.33722596,0.378161508,0.338322028,0.338826089
fluA,5,RMSE,160.6282985,161.7046943,160.187266,160.3212078
fluA,6,R01,1.063637744,1.527483005,1.063649658,1.113503738
fluA,6,R02,1.435048914,1.441565753,1.435053944,1.438347392
fluA,6,amplitude1,0.327604799,0.19821574,0.327600478,0.317582262
fluA,6,amplitude2,0.055110364,0.076459132,0.055110437,0.06191963
fluA,6,tpeak1,0.808596216,0.829677124,0.808595649,0.809406056
fluA,6,tpeak2,0.045824261,0.045254882,0.045829687,0.046975416
fluA,6,rho1,0.001729841,0.000433347,0.001729688,0.00125741
fluA,6,rho2,0.000413527,0.000417294,0.000413524,0.000414451
fluA,6,psi,0,0.99999,0,0.999989999
fluA,6,chi,0,0,8.46E-01,8.46E-01
fluA,6,loglik,-14089.45827,-14041.53049,-13889.45827,-13934.91473
fluA,6,AIC,28194.91655,28101.06098,27769,28089.82946
fluA,6,R2,0.328761197,0.324697201,0.348761173,0.337952345
fluA,6,RMSE,151.2793981,152.2394277,151.2794818,151.4890692
fluA,7,R01,1.458856284,1.465367325,1.219227519,1
fluA,7,R02,1.414860978,1.404082422,1.471786851,1.412388031
fluA,7,amplitude1,0.203487862,0.211499556,0.254369813,0.361478259
fluA,7,amplitude2,0.088003812,0.106248617,0.088337172,0.091797594
fluA,7,tpeak1,0.878677359,0.881656794,0.889042394,0.885726669
fluA,7,tpeak2,0.068725972,0.067217461,0.105786485,0.068327663
fluA,7,rho1,0.000356965,0.000355384,0.000672949,0.001513963
fluA,7,rho2,0.000370974,0.000382385,0.000364165,0.000373631
fluA,7,psi,0,0.99999,0,0.999989999
fluA,7,chi,0,0,0.25935698,4.12E-10
fluA,7,loglik,-4497.109507,-4456.552331,-4344.193523,-4439.739908
fluA,7,AIC,9010.219014,8931.104662,8706.387045,8899.479815
fluA,7,R2,0.352250732,0.353335004,0.359386114,0.351701188
fluA,7,RMSE,156.7817305,156.6734161,156.3474811,156.8065988
fluA,8,R01,1.308420217,1.308111783,1.308534034,1.308457898
fluA,8,R02,1.485206567,1.484692952,1.484826841,1.484451776
fluA,8,amplitude1,0.418671287,0.418743748,0.418697381,0.418699629
fluA,8,amplitude2,0.099547219,0.099518055,0.099552189,0.099457469
fluA,8,tpeak1,0.944760584,0.944726175,0.944775748,0.94476722
fluA,8,tpeak2,0.106175814,0.105876349,0.105928554,0.105794878
fluA,8,rho1,0.001115318,0.001115719,0.00111514,0.001115213
fluA,8,rho2,0.001065248,0.001065753,0.001065547,0.001066013
fluA,8,psi,0,9.68E-07,0,3.28E-01
fluA,8,chi,0,0,7.01E-01,1.55E-01
