psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-6901.899533,10,fluA,-5131.851885,-5129.931156,0.996,1
0.01,-6887.852138,10,fluA,-5131.851885,-5129.931156,0.996,1
0.02,-6873.874169,10,fluA,-5131.851885,-5129.931156,0.996,1
0.03,-6859.968372,10,fluA,-5131.851885,-5129.931156,0.996,1
0.04,-6846.134483,10,fluA,-5131.851885,-5129.931156,0.996,1
0.05,-6832.372308,10,fluA,-5131.851885,-5129.931156,0.996,1
0.06,-6818.681027,10,fluA,-5131.851885,-5129.931156,0.996,1
0.07,-6805.060238,10,fluA,-5131.851885,-5129.931156,0.996,1
0.08,-6791.509308,10,fluA,-5131.851885,-5129.931156,0.996,1
0.09,-6778.027463,10,fluA,-5131.851885,-5129.931156,0.996,1
0.1,-6764.614276,10,fluA,-5131.851885,-5129.931156,0.996,1
0.11,-6751.269148,10,fluA,-5131.851885,-5129.931156,0.996,1
0.12,-6737.991578,10,fluA,-5131.851885,-5129.931156,0.996,1
0.13,-6724.781009,10,fluA,-5131.851885,-5129.931156,0.996,1
0.14,-6711.63687,10,fluA,-5131.851885,-5129.931156,0.996,1
0.15,-6698.558587,10,fluA,-5131.851885,-5129.931156,0.996,1
0.16,-6685.545671,10,fluA,-5131.851885,-5129.931156,0.996,1
0.17,-6672.597528,10,fluA,-5131.851885,-5129.931156,0.996,1
0.18,-6659.713729,10,fluA,-5131.851885,-5129.931156,0.996,1
0.19,-6646.893672,10,fluA,-5131.851885,-5129.931156,0.996,1
0.2,-6634.136929,10,fluA,-5131.851885,-5129.931156,0.996,1
0.21,-6621.443005,10,fluA,-5131.851885,-5129.931156,0.996,1
0.22,-6608.81147,10,fluA,-5131.851885,-5129.931156,0.996,1
0.23,-6596.241874,10,fluA,-5131.851885,-5129.931156,0.996,1
0.24,-6583.733739,10,fluA,-5131.851885,-5129.931156,0.996,1
0.25,-6571.286687,10,fluA,-5131.851885,-5129.931156,0.996,1
0.26,-6558.900282,10,fluA,-5131.851885,-5129.931156,0.996,1
0.27,-6546.574126,10,fluA,-5131.851885,-5129.931156,0.996,1
0.28,-6534.307817,10,fluA,-5131.851885,-5129.931156,0.996,1
0.29,-6522.101019,10,fluA,-5131.851885,-5129.931156,0.996,1
0.3,-6509.953298,10,fluA,-5131.851885,-5129.931156,0.996,1
0.31,-6497.864322,10,fluA,-5131.851885,-5129.931156,0.996,1
0.32,-6485.833761,10,fluA,-5131.851885,-5129.931156,0.996,1
0.33,-6473.861282,10,fluA,-5131.851885,-5129.931156,0.996,1
0.34,-6461.94657,10,fluA,-5131.851885,-5129.931156,0.996,1
0.35,-6450.089311,10,fluA,-5131.851885,-5129.931156,0.996,1
0.36,-6438.289208,10,fluA,-5131.851885,-5129.931156,0.996,1
0.37,-6426.545989,10,fluA,-5131.851885,-5129.931156,0.996,1
0.38,-6414.859384,10,fluA,-5131.851885,-5129.931156,0.996,1
0.39,-6403.229125,10,fluA,-5131.851885,-5129.931156,0.996,1
0.4,-6391.654974,10,fluA,-5131.851885,-5129.931156,0.996,1
0.41,-6380.136699,10,fluA,-5131.851885,-5129.931156,0.996,1
0.42,-6368.674076,10,fluA,-5131.851885,-5129.931156,0.996,1
0.43,-6357.267026,10,fluA,-5131.851885,-5129.931156,0.996,1
0.44,-6345.915121,10,fluA,-5131.851885,-5129.931156,0.996,1
0.45,-6334.618222,10,fluA,-5131.851885,-5129.931156,0.996,1
0.46,-6323.376218,10,fluA,-5131.851885,-5129.931156,0.996,1
0.47,-6312.188941,10,fluA,-5131.851885,-5129.931156,0.996,1
0.48,-6301.056217,10,fluA,-5131.851885,-5129.931156,0.996,1
0.49,-6289.977903,10,fluA,-5131.851885,-5129.931156,0.996,1
