psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-8561.114869,10,fluB,-2798.685069,-2796.76434,0.995,1
0.01,-8547.202317,10,fluB,-2798.685069,-2796.76434,0.995,1
0.02,-8533.286079,10,fluB,-2798.685069,-2796.76434,0.995,1
0.03,-8519.367721,10,fluB,-2798.685069,-2796.76434,0.995,1
0.04,-8505.449304,10,fluB,-2798.685069,-2796.76434,0.995,1
0.05,-8491.531717,10,fluB,-2798.685069,-2796.76434,0.995,1
0.06,-8477.616064,10,fluB,-2798.685069,-2796.76434,0.995,1
0.07,-8463.702095,10,fluB,-2798.685069,-2796.76434,0.995,1
0.08,-8449.790414,10,fluB,-2798.685069,-2796.76434,0.995,1
0.09,-8435.881487,10,fluB,-2798.685069,-2796.76434,0.995,1
0.1,-8421.975278,10,fluB,-2798.685069,-2796.76434,0.995,1
0.11,-8408.07253,10,fluB,-2798.685069,-2796.76434,0.995,1
0.12,-8394.17313,10,fluB,-2798.685069,-2796.76434,0.995,1
0.13,-8380.277916,10,fluB,-2798.685069,-2796.76434,0.995,1
0.14,-8366.386992,10,fluB,-2798.685069,-2796.76434,0.995,1
0.15,-8352.50039,10,fluB,-2798.685069,-2796.76434,0.995,1
0.16,-8338.619064,10,fluB,-2798.685069,-2796.76434,0.995,1
0.17,-8324.742921,10,fluB,-2798.685069,-2796.76434,0.995,1
0.18,-8310.872564,10,fluB,-2798.685069,-2796.76434,0.995,1
0.19,-8297.00809,10,fluB,-2798.685069,-2796.76434,0.995,1
0.2,-8283.149932,10,fluB,-2798.685069,-2796.76434,0.995,1
0.21,-8269.298417,10,fluB,-2798.685069,-2796.76434,0.995,1
0.22,-8255.45382,10,fluB,-2798.685069,-2796.76434,0.995,1
0.23,-8241.61666,10,fluB,-2798.685069,-2796.76434,0.995,1
0.24,-8227.787148,10,fluB,-2798.685069,-2796.76434,0.995,1
0.25,-8213.965776,10,fluB,-2798.685069,-2796.76434,0.995,1
0.26,-8200.15238,10,fluB,-2798.685069,-2796.76434,0.995,1
0.27,-8186.347721,10,fluB,-2798.685069,-2796.76434,0.995,1
0.28,-8172.552015,10,fluB,-2798.685069,-2796.76434,0.995,1
0.29,-8158.765624,10,fluB,-2798.685069,-2796.76434,0.995,1
0.3,-8144.988687,10,fluB,-2798.685069,-2796.76434,0.995,1
0.31,-8131.221769,10,fluB,-2798.685069,-2796.76434,0.995,1
0.32,-8117.465077,10,fluB,-2798.685069,-2796.76434,0.995,1
0.33,-8103.71892,10,fluB,-2798.685069,-2796.76434,0.995,1
0.34,-8089.983585,10,fluB,-2798.685069,-2796.76434,0.995,1
0.35,-8076.25941,10,fluB,-2798.685069,-2796.76434,0.995,1
0.36,-8062.546626,10,fluB,-2798.685069,-2796.76434,0.995,1
0.37,-8048.845704,10,fluB,-2798.685069,-2796.76434,0.995,1
0.38,-8035.156963,10,fluB,-2798.685069,-2796.76434,0.995,1
0.39,-8021.480508,10,fluB,-2798.685069,-2796.76434,0.995,1
0.4,-8007.816735,10,fluB,-2798.685069,-2796.76434,0.995,1
0.41,-7994.165882,10,fluB,-2798.685069,-2796.76434,0.995,1
0.42,-7980.528345,10,fluB,-2798.685069,-2796.76434,0.995,1
0.43,-7966.90433,10,fluB,-2798.685069,-2796.76434,0.995,1
0.44,-7953.294085,10,fluB,-2798.685069,-2796.76434,0.995,1
