"chi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0,-13150.9143391113,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.01,-13076.2842655483,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.02,-13000.6401120464,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.03,-12923.7827999331,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.04,-12845.5114869249,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.05,-12765.6285425027,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.06,-12683.9380509165,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.07,-12600.2462513662,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.08,-12514.3601679243,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.09,-12426.0876821661,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.1,-12335.2363635178,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.11,-12241.6135806233,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.12,-12145.0258010995,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.13,-12045.2778403069,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.14,-11942.1727498443,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.15,-11835.510970865,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.16,-11725.0904501534,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.17,-11610.7054192144,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.18,-11492.1463962843,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.19,-11369.1999459983,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.2,-11241.6476261776,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.21,-11109.2662962494,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.22,-10971.8272736397,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.23,-10829.0966326075,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.24,-10680.8341925012,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.25,-10526.7942301701,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.26,-10366.7246182211,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.27,-10200.3676644079,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.28,-10027.4595558481,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.29,-9847.73154714312,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.3,-9660.91048709988,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.31,-9466.72066474243,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.32,-9264.88529530446,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.33,-9055.12969617906,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.34,-8837.18551638608,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.35,-8610.79677468188,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.36,-8375.72735688326,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.37,-8131.77254454992,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.38,-7878.77419579396,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.39,-7616.64121504256,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.4,-7345.37567048072,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.41,-7065.10943591204,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.42,-6776.14939436193,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.43,-6479.03902164136,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.44,-6174.63565055049,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.45,-5864.21022763544,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.46,-5549.57304322743,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.47,-5233.23661587801,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.48,-4918.61959934407,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.49,-4610.32235574747,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.5,-4314.50203814712,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.51,-4039.44128863268,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.52,-3796.50984636905,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.53,-3602.06499604104,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.54,-3481.97346485425,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.55,-3485.27769871157,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.56,-3744.82474675976,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.57,-4499.42010870087,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.58,-4897.73870063434,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.59,-4957.8049401122,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.6,-4983.32317930477,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.61,-5009.01290553032,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.62,-5037.02064257337,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.63,-5067.39549262902,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.64,-5100.08029620846,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.65,-5135.0140232681,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.66,-5172.13604761304,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.67,-5211.38652515828,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.68,-5252.70606175302,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.69,-5296.03612419481,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.7,-5341.31868793762,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.71,-5388.49653326601,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.72,-5437.51306603744,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.73,-5488.3123259968,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.74,-5540.83912530364,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.75,-5595.03886698131,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.76,-5650.85759961784,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.77,-5708.24201567727,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.78,-5767.13939630134,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.79,-5827.49759112349,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.8,-5889.26498825829,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.81,-5952.39042644253,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.82,-6016.82340405589,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.83,-6082.51364826696,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.84,-6149.4113580017,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.85,-6217.46700974548,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.86,-6286.63121667199,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.87,-6356.85496475571,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.88,-6428.08919893296,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.89,-6500.28517691984,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.9,-6573.39407800222,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.91,-6647.36681092333,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.92,-6722.15405240527,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.93,-6797.7064394051,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.94,-6873.97422353595,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.95,-6950.90695517851,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.96,-7028.4537925259,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.97,-7106.56320630369,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.98,-7185.18286947511,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
0.99,-7264.25961020928,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
1,-7343.7392400205,1,"fluA",-3483.89419426459,-3481.97346485425,0.54,0.54
