psi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-3463.336894,1,fluA,-3465.257623,-3463.336894,0,0.01
0.01,-3465.479968,1,fluA,-3465.257623,-3463.336894,0,0.01
0.02,-3468.165439,1,fluA,-3465.257623,-3463.336894,0,0.01
0.03,-3471.412135,1,fluA,-3465.257623,-3463.336894,0,0.01
0.04,-3475.239148,1,fluA,-3465.257623,-3463.336894,0,0.01
0.05,-3479.667007,1,fluA,-3465.257623,-3463.336894,0,0.01
0.06,-3484.717168,1,fluA,-3465.257623,-3463.336894,0,0.01
0.07,-3490.41258,1,fluA,-3465.257623,-3463.336894,0,0.01
0.08,-3496.777493,1,fluA,-3465.257623,-3463.336894,0,0.01
0.09,-3503.837891,1,fluA,-3465.257623,-3463.336894,0,0.01
0.1,-3511.621353,1,fluA,-3465.257623,-3463.336894,0,0.01
0.11,-3520.157462,1,fluA,-3465.257623,-3463.336894,0,0.01
0.12,-3529.477574,1,fluA,-3465.257623,-3463.336894,0,0.01
0.13,-3539.615565,1,fluA,-3465.257623,-3463.336894,0,0.01
0.14,-3550.60753,1,fluA,-3465.257623,-3463.336894,0,0.01
0.15,-3562.492568,1,fluA,-3465.257623,-3463.336894,0,0.01
0.16,-3575.312565,1,fluA,-3465.257623,-3463.336894,0,0.01
0.17,-3589.112309,1,fluA,-3465.257623,-3463.336894,0,0.01
0.18,-3603.940386,1,fluA,-3465.257623,-3463.336894,0,0.01
0.19,-3619.849196,1,fluA,-3465.257623,-3463.336894,0,0.01
0.2,-3636.894737,1,fluA,-3465.257623,-3463.336894,0,0.01
0.21,-3655.137151,1,fluA,-3465.257623,-3463.336894,0,0.01
0.22,-3674.640972,1,fluA,-3465.257623,-3463.336894,0,0.01
0.23,-3695.47544,1,fluA,-3465.257623,-3463.336894,0,0.01
0.24,-3717.713884,1,fluA,-3465.257623,-3463.336894,0,0.01
0.25,-3741.433407,1,fluA,-3465.257623,-3463.336894,0,0.01
0.26,-3766.715304,1,fluA,-3465.257623,-3463.336894,0,0.01
0.27,-3793.643232,1,fluA,-3465.257623,-3463.336894,0,0.01
0.28,-3822.302694,1,fluA,-3465.257623,-3463.336894,0,0.01
0.29,-3852.778484,1,fluA,-3465.257623,-3463.336894,0,0.01
0.3,-3885.15242,1,fluA,-3465.257623,-3463.336894,0,0.01
0.31,-3919.501595,1,fluA,-3465.257623,-3463.336894,0,0.01
0.32,-3955.891661,1,fluA,-3465.257623,-3463.336894,0,0.01
0.33,-3994.37486,1,fluA,-3465.257623,-3463.336894,0,0.01
0.34,-4034.982966,1,fluA,-3465.257623,-3463.336894,0,0.01
0.35,-4077.722411,1,fluA,-3465.257623,-3463.336894,0,0.01
0.36,-4122.565806,1,fluA,-3465.257623,-3463.336894,0,0.01
0.37,-4169.448355,1,fluA,-3465.257623,-3463.336894,0,0.01
0.38,-4218.261217,1,fluA,-3465.257623,-3463.336894,0,0.01
0.39,-4268.84784,1,fluA,-3465.257623,-3463.336894,0,0.01
0.4,-4321.002074,1,fluA,-3465.257623,-3463.336894,0,0.01
0.41,-4374.469253,1,fluA,-3465.257623,-3463.336894,0,0.01
0.42,-4428.950304,1,fluA,-3465.257623,-3463.336894,0,0.01
0.43,-4484.108981,1,fluA,-3465.257623,-3463.336894,0,0.01
0.44,-4539.581906,1,fluA,-3465.257623,-3463.336894,0,0.01
0.45,-4594.991368,1,fluA,-3465.257623,-3463.336894,0,0.01
0.46,-4649.958908,1,fluA,-3465.257623,-3463.336894,0,0.01
0.47,-4704.1195,1,fluA,-3465.257623,-3463.336894,0,0.01
0.48,-4757.134303,1,fluA,-3465.257623,-3463.336894,0,0.01
0.49,-4808.70179,1,fluA,-3465.257623,-3463.336894,0,0.01
0.5,-4858.565658,1,fluA,-3465.257623,-3463.336894,0,0.01
0.51,-4906.520473,1,fluA,-3465.257623,-3463.336894,0,0.01
0.52,-4952.413024,1,fluA,-3465.257623,-3463.336894,0,0.01
0.53,-4996.14204,1,fluA,-3465.257623,-3463.336894,0,0.01
0.54,-5037.654669,1,fluA,-3465.257623,-3463.336894,0,0.01
0.55,-5076.941815,1,fluA,-3465.257623,-3463.336894,0,0.01
0.56,-5114.032165,1,fluA,-3465.257623,-3463.336894,0,0.01
0.57,-5148.985656,1,fluA,-3465.257623,-3463.336894,0,0.01
