"chi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0,-2458.4381026818,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.01,-2418.53465435817,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.02,-2379.809767408,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.03,-2342.24283878781,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.04,-2305.81291437076,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.05,-2270.4985172369,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.06,-2236.27787684775,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.07,-2203.1290919947,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.08,-2171.03012845844,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.09,-2139.95884108394,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.1,-2109.89316271739,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.11,-2080.81108009345,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.12,-2052.69076745054,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.13,-2025.51050540798,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.14,-1999.24887075249,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.15,-1973.88466219657,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.16,-1949.39697882736,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.17,-1925.76525733711,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.18,-1902.96934560651,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.19,-1880.98948521204,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.2,-1859.80622788407,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.21,-1839.40033630162,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.22,-1819.75272764024,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.23,-1800.84486719471,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.24,-1782.65982565909,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.25,-1765.18233101668,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.26,-1748.39680535082,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.27,-1732.28368715535,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.28,-1716.81923376932,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.29,-1701.98392972843,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.3,-1687.77442070029,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.31,-1674.1998699188,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
0.32,-1661.25135898001,1,"fluB",-1489.49714541519,-1487.57641600485,0.61,0.61
