chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-13377.34803,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.01,-13216.26192,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.02,-13057.89056,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.03,-12902.24387,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.04,-12749.33068,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.05,-12599.15901,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.06,-12451.73543,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.07,-12307.06562,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.08,-12165.15409,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.09,-12026.00424,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.1,-11889.61833,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.11,-11755.9975,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.12,-11625.14172,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.13,-11497.04991,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.14,-11371.71974,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.15,-11249.14782,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.16,-11129.32951,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.17,-11012.25912,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.18,-10897.92985,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.19,-10786.33371,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.2,-10677.46167,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.21,-10571.30361,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.22,-10467.84836,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.23,-10367.08368,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.24,-10268.99635,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.25,-10173.57219,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.26,-10080.79604,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.27,-9990.651847,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.28,-9903.122689,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.29,-9818.190782,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.3,-9735.837569,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.31,-9656.043786,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.32,-9578.789361,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.33,-9504.053597,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.34,-9431.815164,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.35,-9362.052131,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.36,-9294.742,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.37,-9229.861782,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.38,-9167.388042,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.39,-9107.296858,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.4,-9049.563916,2,fluA,-8164.805402,-8162.884672,0.68,0.685
0.41,-8994.16454,2,fluA,-8164.805402,-8162.884672,0.68,0.685
