"psi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0,-17433.6860708396,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.01,-17434.6424527103,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.02,-17435.6502381242,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.03,-17436.7168432385,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.04,-17437.8420689863,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.05,-17439.0262785468,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.06,-17440.2689062123,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.07,-17441.5702921058,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.08,-17442.9291046226,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.09,-17444.3484106208,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.1,-17445.8241190685,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.11,-17447.357466159,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.12,-17448.9507775921,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.13,-17450.6009366139,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.14,-17452.3097251984,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.15,-17454.0748710331,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.16,-17455.8983811987,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.17,-17457.7780279076,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.18,-17459.7176125781,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.19,-17461.7145008745,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.2,-17463.7664049684,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.21,-17465.877680308,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.22,-17468.0432321977,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.23,-17470.2675325171,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.24,-17472.5483492397,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.25,-17474.8857156836,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.26,-17477.2789818525,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.27,-17479.7297975357,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.28,-17482.2373252492,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.29,-17484.800540992,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.3,-17487.4198872398,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.31,-17490.0956033765,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.32,-17492.8270695842,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.33,-17495.6144449749,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.34,-17498.4576731024,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.35,-17501.3560004144,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.36,-17504.3108138101,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.37,-17507.320681879,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.38,-17510.3858592845,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.39,-17513.5063381353,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.4,-17516.6819254844,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.41,-17519.9127508026,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.42,-17523.1984875973,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.43,-17526.53898407,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.44,-17529.9341588268,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.45,-17533.3845021694,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.46,-17536.8892731475,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.47,-17540.448331265,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.48,-17544.0617791089,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.49,-17547.7299511358,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.5,-17551.4521453135,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
0.51,-17555.2285783864,5,"fluA",-17435.6068002499,-17433.6860708396,0,0.01
