chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper,,#REF!
0,-21076.76001,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.01,-20955.02206,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.02,-20834.11569,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.03,-20714.03871,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.04,-20594.78934,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.05,-20476.36503,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.06,-20358.76367,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.07,-20241.98288,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.08,-20126.02033,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.09,-20010.87366,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.1,-19896.54041,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.11,-19783.01819,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.12,-19670.30413,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.13,-19558.39544,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.14,-19447.29039,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.15,-19336.9858,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.16,-19227.4786,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.17,-19118.7663,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.18,-19010.84612,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.19,-18903.71522,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.2,-18797.3706,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.21,-18691.81057,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.22,-18587.03051,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.23,-18483.02854,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
0.24,-18379.80184,6,fluA,-14036.83564,-14034.9147,0.776,0.78,,
