chi,loglik,HHS_region,Pathens2,loglik_cutoff,maxloglik,lower,upper
0,-3652.497212,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.01,-3610.233261,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.02,-3568.883537,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.03,-3528.439674,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.04,-3488.893106,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.05,-3450.235175,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.06,-3412.457153,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.07,-3375.550269,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.08,-3339.505764,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.09,-3304.314738,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.1,-3269.968317,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.11,-3236.457561,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.12,-3203.773553,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.13,-3171.907351,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.14,-3140.849997,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.15,-3110.592551,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.16,-3081.126065,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.17,-3052.441643,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.18,-3024.530362,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.19,-2997.383339,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.2,-2970.991751,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.21,-2945.346789,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.22,-2920.439701,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.23,-2896.261755,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.24,-2872.8043,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.25,-2850.058741,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.26,-2828.016534,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.27,-2806.669216,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.28,-2786.008389,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.29,-2766.025722,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.3,-2746.712981,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.31,-2728.062017,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.32,-2710.064746,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.33,-2692.713179,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.34,-2675.99945,7,fluB,-2323.453976,-2321.533247,0.53,0.534
0.35,-2659.915758,7,fluB,-2323.453976,-2321.533247,0.53,0.534
