"psi","loglik","HHS_region","Pathens2","loglik_cutoff","maxloglik","lower","upper"
0,-12695.3563171556,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.01,-12676.8206841759,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.02,-12658.3094323932,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.03,-12639.8279741311,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.04,-12621.3776031709,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.05,-12602.9598785878,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.06,-12584.5744027935,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.07,-12566.2218442414,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.08,-12547.9022782124,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.09,-12529.6161790261,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.1,-12511.3636504789,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.11,-12493.1444238537,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.12,-12474.95897498,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.13,-12456.8075393723,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.14,-12438.6901421518,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.15,-12420.6068147264,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.16,-12402.5581963771,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.17,-12384.5441035182,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.18,-12366.564781493,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.19,-12348.6202229245,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.2,-12330.7103719031,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.21,-12312.8356700276,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.22,-12294.9962258856,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.23,-12277.1920281946,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.24,-12259.4232722309,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.25,-12241.6903717135,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.26,-12223.992807111,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.27,-12206.3305552074,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.28,-12188.7041169729,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.29,-12171.1133791308,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.3,-12153.558488418,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.31,-12136.039553008,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.32,-12118.5564360192,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.33,-12101.1093574267,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.34,-12083.6982879625,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.35,-12066.3232565951,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.36,-12048.9842353243,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.37,-12031.6814376514,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.38,-12014.4146463361,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.39,-11997.1840603168,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.4,-11979.9895876924,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.41,-11962.8311723459,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.42,-11945.7089296507,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.43,-11928.6230570605,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.44,-11911.5727633835,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.45,-11894.5583991134,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.46,-11877.5800516909,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.47,-11860.6377370886,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.48,-11843.7308380994,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.49,-11826.8595586143,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.5,-11810.0241117346,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.51,-11793.2238389075,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.52,-11776.4588991687,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.53,-11759.729073858,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.54,-11743.0340691314,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.55,-11726.3736179216,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.56,-11709.7474582096,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.57,-11693.15525987,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.58,-11676.5965653137,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.59,-11660.0706135391,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.6,-11643.5770189062,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.61,-11627.1146726803,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.62,-11610.6827537639,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.63,-11594.2797237639,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.64,-11577.9040344332,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.65,-11561.5533873896,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.66,-11545.2250490365,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.67,-11528.915079299,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.68,-11512.6185780458,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.69,-11496.3285745998,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.7,-11480.0364228153,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.71,-11463.7290615106,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.72,-11447.389493714,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.73,-11430.9934032329,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.74,-11414.5065641564,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.75,-11397.8796994337,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.76,-11381.0410532839,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.77,-11363.8841930175,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.78,-11346.2488998148,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.79,-11327.8892164947,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.8,-11308.4188292165,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.81,-11287.217320011,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.82,-11263.2599137406,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.83,-11234.8027963285,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.84,-11198.7739834442,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.85,-11149.5494228408,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.86,-11076.385820715,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.87,-10957.8300966549,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.88,-10749.3117861075,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.89,-10356.8088341885,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.9,-9594.50185185574,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.91,-8199.30110070186,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.92,-6197.91787839424,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.93,-4431.88504446737,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.94,-3579.20883521245,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.95,-3338.16315483329,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.96,-3305.38383190016,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.97,-3312.66100949815,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.98,-3313.48202713411,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
0.99,-3305.96594560529,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
1,-3314.13524272342,8,"fluB",-3307.30456131051,-3305.38383190016,0.96,0.99
