HHS_region,pathogen2,chi,loglik
1,fluA,0,-4943.9
1,fluA,0.1,-4222.37
1,fluA,0.2,-4185.73
1,fluA,0.3,-4163.61
1,fluA,0.4,-3527.72
1,fluA,0.408806192,-3518.300924
1,fluA,0.438806192,-3494.708519
1,fluA,0.468806192,-3479.180852
1,fluA,0.498806192,-3469.049638
1,fluA,0.5,-3468.75
1,fluA,0.528806192,-3464.029222
1,fluA,0.5450749,-3463.34
1,fluA,0.558806192,-3463.823877
1,fluA,0.588806192,-3468.154016
1,fluA,0.6,-3470.88
1,fluA,0.618806192,-3476.77656
1,fluA,0.648806192,-3489.499033
1,fluA,0.678806192,-3506.189968
1,fluA,0.7,-3520.34
1,fluA,0.8,-3613.88
1,fluA,0.9,-3757.51
1,fluA,1,-3966.74
2,fluA,0,-8273.018
2,fluA,0.1,-8266.187
2,fluA,0.2,-8258.349
2,fluA,0.3,-8249.804
2,fluA,0.4,-8236.931
2,fluA,0.45,-8228.505428
2,fluA,0.48,-8222.921418
2,fluA,0.5,-8218.279
2,fluA,0.51,-8215.117
2,fluA,0.54,-8205.440722
2,fluA,0.57,-8195.512204
2,fluA,0.63,-8135.633088
2,fluA,0.6,-8185.394485
2,fluA,0.66,-8125.633088
2,fluA,0.6860577,-8123.128
2,fluA,0.69,-8124.866249
2,fluA,0.7,-8128.734
2,fluA,0.72,-8134.989842
2,fluA,0.75,-8142.65223
2,fluA,0.8,-8151.648
2,fluA,0.9,-8158.532
2,fluA,1,-8163.685
3,fluA,0,-7467.854
3,fluA,0.1,-7294.765
3,fluA,0.2,-7144.5
3,fluA,0.3,-7041.226
3,fluA,0.4,-6931.742
3,fluA,0.4141111,-6929.514
3,fluA,0.5,-6930.311
3,fluA,0.525,-6963.400608
3,fluA,0.555,-6968.876624
3,fluA,0.585,-6833.690678
3,fluA,0.6,-6751.952
3,fluA,0.615,-6668.281697
3,fluA,0.645,-6676.462753
3,fluA,0.675,-6689.824491
3,fluA,0.7,-6704.852
3,fluA,0.705,-6708.283572
3,fluA,0.735,-6731.908678
3,fluA,0.765,-6760.944811
3,fluA,0.795,-6797.229292
3,fluA,0.8,-6802.479
3,fluA,0.825,-6837.370688
3,fluA,0.855,-6886.608653
3,fluA,0.9,-6978.695
3,fluA,1,-8302.747
4,fluA,0,-12700.47
4,fluA,0.1,-12702.03
4,fluA,0.2,-12702.01
4,fluA,0.3,-12701.48
4,fluA,0.4,-12700.91
4,fluA,0.5,-12700.56
4,fluA,0.6,-12700.42
4,fluA,0.604020142,-12700.40534
4,fluA,0.634020142,-12700.2102
4,fluA,0.664020142,-12699.65005
4,fluA,0.694020142,-12698.64716
4,fluA,0.7,-12698.4
4,fluA,0.724020142,-12697.22662
4,fluA,0.754020142,-12695.42443
4,fluA,0.784020142,-12676.82679
4,fluA,0.8,-12651.18
4,fluA,0.8053602,-12651
4,fluA,0.814020142,-12596.82892
4,fluA,0.844020142,-12587.82892
4,fluA,0.874020142,-12587.47259
4,fluA,0.9,-12588.84
4,fluA,0.904020142,-12590.36358
4,fluA,0.934020142,-12600.99661
4,fluA,0.964020142,-12610.86367
4,fluA,0.994020142,-12620.13673
4,fluA,1,-12621.91
5,fluA,0,-17561.67
5,fluA,0.1,-17554.23
5,fluA,0.2,-17546.48
5,fluA,0.3,-17538.32
5,fluA,0.4,-17529.53
5,fluA,0.5,-17519.72
5,fluA,0.6,-17507.99
5,fluA,0.6,-17507.991
5,fluA,0.63,-16503.78179
5,fluA,0.66,-15664.76172
5,fluA,0.69,-14602.14489
5,fluA,0.7,-14595.62
5,fluA,0.72,-14586.31562
5,fluA,0.75,-14533.89959
5,fluA,0.78,-14526.41946
5,fluA,0.8,-14530.88
5,fluA,0.84,-14562.41918
5,fluA,0.87,-14606.54085
5,fluA,0.9,-14669.79
5,fluA,0.93,-14754.76619
5,fluA,0.96,-14865.43163
5,fluA,0.99,-15007.5265
5,fluA,1,-15063.16
6,fluA,0,-14179.66142
6,fluA,0.1,-14161.32804
6,fluA,0.2,-14144.16798
6,fluA,0.3,-14128.03892
6,fluA,0.4,-14112.67771
