HHS_region,pathogen2,psi,loglik
1,fluA,0,-3463.336892
1,fluA,1.00E-05,-3463.338772
1,fluA,0.01,-3466.847771
1,fluA,0.04,-3470.881113
1,fluA,0.07,-3468.629202
1,fluA,0.1,-3482.345618
1,fluA,0.13,-3490.204245
1,fluA,0.16,-3493.985621
1,fluA,0.19,-3499.870065
1,fluA,0.2,-3501.840976
1,fluA,0.22,-3505.796822
1,fluA,0.25,-3511.765298
1,fluA,0.28,-3517.774973
1,fluA,0.3,-3521.804051
1,fluA,0.4,-3542.215186
1,fluA,0.5,-3563.055655
1,fluA,0.6,-3584.307672
1,fluA,0.7,-3605.954315
1,fluA,0.8,-3627.979579
1,fluA,0.9,-3650.36878
1,fluA,1,-3673.108545
2,fluA,0,-8176.660503
2,fluA,0.1,-8176.078856
2,fluA,0.2,-8175.283853
2,fluA,0.3,-8174.277536
2,fluA,0.4,-8173.060264
2,fluA,0.5,-8171.633353
2,fluA,0.6,-8169.998036
2,fluA,0.7,-8168.155996
2,fluA,0.71,-8167.960593
2,fluA,0.74,-8167.36192
2,fluA,0.77,-8166.744876
2,fluA,0.8,-8166.109818
2,fluA,0.8,-8166.109836
2,fluA,0.83,-8165.456627
2,fluA,0.86,-8164.7851
2,fluA,0.89,-8164.095713
2,fluA,0.9,-8163.862057
2,fluA,0.92,-8163.388403
2,fluA,0.95,-8162.663134
2,fluA,0.98,-8161.920259
2,fluA,0.999999959,-8161.415317
2,fluA,1,-8161.41532
3,fluA,0,-6929.513205
3,fluA,1.00E-05,-6929.514474
3,fluA,0.01,-6930.787739
3,fluA,0.04,-6934.669954
3,fluA,0.07,-6938.632811
3,fluA,0.1,-6942.676775
3,fluA,0.1,-6942.67679
3,fluA,0.13,-6946.802871
3,fluA,0.16,-6951.011746
3,fluA,0.19,-6955.30436
3,fluA,0.2,-6956.754009
3,fluA,0.22,-6959.681725
3,fluA,0.25,-6964.144676
3,fluA,0.28,-6968.693964
3,fluA,0.3,-6971.775139
3,fluA,0.4,-6987.772482
3,fluA,0.5,-7004.779533
3,fluA,0.6,-7022.830723
3,fluA,0.7,-7041.96131
3,fluA,0.8,-7062.207055
