HHS_region,pathogen2,chi,loglik
1,fluB,0,-1480.498846
1,fluB,0.1,-1478.790036
1,fluB,0.2,-1477.204938
1,fluB,0.3,-1475.759517
1,fluB,0.4,-1474.468964
1,fluB,0.459169763,-1344.781299
1,fluB,0.489169763,-1334.391316
1,fluB,0.5,-1341.119689
1,fluB,0.519169763,-1329.898782
1,fluB,0.549169763,-1330.528745
1,fluB,0.579169763,-1330.71405
1,fluB,0.6,-1329.562658
1,fluB,0.609169763,-1329.013151
1,fluB,0.61222635,-1322.990303
1,fluB,0.639169763,-1326.2411
1,fluB,0.669169763,-1337.990104
1,fluB,0.699169763,-1369.659068
1,fluB,0.7,-1369.761387
1,fluB,0.729169763,-1374.376277
1,fluB,0.759169763,-1380.924897
1,fluB,0.8,-1392.975238
1,fluB,0.9,-1441.403602
1,fluB,1,-1491.158713
2,fluB,0,-3345.301681
2,fluB,0.1,-3327.726643
2,fluB,0.2,-3309.547691
2,fluB,0.3,-3290.957206
2,fluB,0.4,-3272.19073
2,fluB,0.45,-3262.82795
2,fluB,0.48,-3257.239102
2,fluB,0.5,-3253.530942
2,fluB,0.51,-3258.511264
2,fluB,0.54,-3246.170977
2,fluB,0.57,-3247.71465
2,fluB,0.6,-3235.33179
2,fluB,0.63,-3260.83768
2,fluB,0.66,-3221.542736
2,fluB,0.69,-3222.278864
2,fluB,0.7,-3217.529876
2,fluB,0.716597006,-3217.909196
2,fluB,0.72,-3233.038942
2,fluB,0.75,-3263.817051
2,fluB,0.8,-3365.144612
2,fluB,0.9,-3367.935196
2,fluB,1,-3370.85559
3,fluB,0,-2431.779604
3,fluB,0.1,-2429.721216
3,fluB,0.2,-2440.578327
3,fluB,0.3,-2429.602663
3,fluB,0.4,-2425.344217
3,fluB,0.5,-2396.447489
3,fluB,0.5968963,-2364.330827
3,fluB,0.6,-2363.813899
3,fluB,0.6268963,-2350.074319
3,fluB,0.6568963,-2333.356128
3,fluB,0.6868963,-2332.834343
3,fluB,0.7,-2324.450425
3,fluB,0.7168963,-2324.177006
3,fluB,0.7468963,-2327.457596
3,fluB,0.7768963,-2293.88596
3,fluB,0.795861733,-2292.56666
3,fluB,0.8,-2295.964205
3,fluB,0.8068963,-2292.175438
3,fluB,0.8368963,-2297.631228
3,fluB,0.8668963,-2349.164845
3,fluB,0.8968963,-2404.2558
3,fluB,0.9,-2407.801948
3,fluB,0.9268963,-2431.016423
3,fluB,0.9568963,-2434.506922
3,fluB,0.9868963,-2434.679868
3,fluB,1,-2434.755277
4,fluB,0,-4714.194291
4,fluB,0.1,-4707.358137
4,fluB,0.2,-4652.083024
4,fluB,0.3,-4636.264868
4,fluB,0.4,-4623.321447
4,fluB,0.5,-4612.782912
4,fluB,0.6,-4604.174226
4,fluB,0.651192401,-4600.369773
4,fluB,0.681192401,-4598.295793
4,fluB,0.7,-4607.614739
4,fluB,0.711192401,-4606.560372
4,fluB,0.741192401,-4594.424816
4,fluB,0.771192401,-4601.56829
4,fluB,0.8,-4609.519913
4,fluB,0.801192401,-4609.439455
4,fluB,0.831192401,-4607.520057
4,fluB,0.861192401,-4605.787074
4,fluB,0.868256535,-4605.403833
4,fluB,0.891192401,-4604.219808
4,fluB,0.9,-4603.788445
4,fluB,0.921192401,-4612.799982
4,fluB,0.951192401,-4611.511252
4,fluB,0.981192401,-4620.339073
4,fluB,1,-4619.65796
5,fluB,0,-5590.318257
5,fluB,0.1,-5588.455399
5,fluB,0.2,-5586.56927
5,fluB,0.3,-5584.661289
5,fluB,0.4,-3592.077416
5,fluB,0.45,-3711.228298
5,fluB,0.48,-3581.179651
5,fluB,0.5,-3516.058435
5,fluB,0.51,-3694.345929
5,fluB,0.54,-3580.007706
5,fluB,0.57,-3481.532827
5,fluB,0.6,-3474.474734
5,fluB,0.6,-3679.523765
5,fluB,0.6,-3679.523765
5,fluB,0.63,-3676.46175
5,fluB,0.66,-3486.605635
5,fluB,0.69,-3504.789077
5,fluB,0.7,-3512.983661
5,fluB,0.72,-3532.879519
5,fluB,0.75,-3573.731755
5,fluB,0.8,-3670.258795
5,fluB,0.9,-3985.421516
5,fluB,0.993189934,-4405.72793
5,fluB,1,-4417.669683
6,fluB,0,-4668.27593
6,fluB,0.1,-4667.156585
6,fluB,0.2,-4666.020699
6,fluB,0.3,-4664.868024
6,fluB,0.4,-4663.698274
6,fluB,0.45,-4663.107022
6,fluB,0.48,-4662.750205
6,fluB,0.5,-4662.511446
6,fluB,0.51,-4562.391812
6,fluB,0.54,-4524.534031
6,fluB,0.57,-4424.556399
6,fluB,0.6,-4416.452217
6,fluB,0.63,-4419.343302
6,fluB,0.66,-4463.514712
6,fluB,0.69,-4514.829919
6,fluB,0.7,-4533.64647
6,fluB,0.72,-4574.026061
6,fluB,0.75,-4641.910445
6,fluB,0.8,-4757.268677
6,fluB,0.9,-4885.25053
