HHS_region,pathogen2,psi,loglik
1,fluB,0,-1368.472313
1,fluB,0.01,-1328.434477
1,fluB,0.01612686,-1328.562759
1,fluB,0.04,-1323.648977
1,fluB,0.07,-1329.714582
1,fluB,0.1,-1330.375332
1,fluB,0.1,-1330.375332
1,fluB,0.13,-1371.952852
1,fluB,0.16,-1373.20885
1,fluB,0.19,-1332.443925
1,fluB,0.2,-1327.404296
1,fluB,0.22,-1375.743197
1,fluB,0.25,-1377.020891
1,fluB,0.28,-1378.30497
1,fluB,0.3,-1335.157985
1,fluB,0.4,-1337.815709
1,fluB,0.5,-1340.668763
1,fluB,0.6,-1392.256428
1,fluB,0.7,-1396.657116
1,fluB,0.8,-1350.553193
1,fluB,0.9,-1405.422123
1,fluB,1,-1409.7647
2,fluB,0,-3234.478138
2,fluB,0.1,-3232.724475
2,fluB,0.2,-3230.991217
2,fluB,0.3,-3229.278837
2,fluB,0.4,-3227.587584
2,fluB,0.5,-3225.918011
2,fluB,0.6,-3224.270497
2,fluB,0.7,-3222.645395
2,fluB,0.71,-3222.484154
2,fluB,0.74,-3222.001826
2,fluB,0.77,-3221.521447
2,fluB,0.8,-3221.043263
2,fluB,0.8,-3221.043265
2,fluB,0.83,-3220.567184
2,fluB,0.86,-3259.759107
2,fluB,0.89,-3219.621178
2,fluB,0.9,-3219.46435
2,fluB,0.92,-3219.15142
2,fluB,0.95,-3260.30769
2,fluB,0.98,-3260.502733
2,fluB,0.999999983,-3217.90919
2,fluB,1,-3217.90919
3,fluB,0,-2292.023605
3,fluB,1.00E-05,-2292.023664
3,fluB,0.01,-2292.082677
3,fluB,0.04,-2292.261802
3,fluB,0.07,-2292.443254
3,fluB,0.1,-2292.627162
3,fluB,0.1,-2292.627162
3,fluB,0.13,-2292.813496
3,fluB,0.16,-2293.002301
3,fluB,0.19,-2293.193525
3,fluB,0.2,-2293.257801
3,fluB,0.22,-2293.387162
3,fluB,0.25,-2293.583264
3,fluB,0.28,-2293.78183
3,fluB,0.3,-2293.915575
3,fluB,0.4,-2294.600338
3,fluB,0.5,-2295.31169
3,fluB,0.6,-2296.049017
3,fluB,0.7,-2296.811461
3,fluB,0.8,-2297.598028
3,fluB,0.9,-2295.15884
3,fluB,1,-2299.238491
4,fluB,0,-4587.583888
4,fluB,1.00E-05,-4587.584296
4,fluB,0.01,-4588.013275
4,fluB,0.04,-4589.301601
4,fluB,0.07,-4590.586807
4,fluB,0.1,-4591.868015
4,fluB,0.1,-4591.868014
4,fluB,0.13,-4593.144388
4,fluB,0.16,-4653.177231
