HHS_region,pathogen2,chi,loglik
4,fluB,0.5,-4612.782474
4,fluB,0.53,-4610.017616
4,fluB,0.56,-4607.414145
4,fluB,0.651192401,-4600.414145
4,fluB,0.681192401,-4598.295793
4,fluB,0.711192401,-4596.395826
4,fluB,0.741192401,-4598.295793
4,fluB,0.771192401,-4594.424816
4,fluB,0.801192401,-4589.439455
4,fluB,0.831192401,-4587.520057
4,fluB,0.868,-4587.584
4,fluB,0.861192401,-4589.787074
4,fluB,0.891192401,-4590.219808
4,fluB,0.921192401,-4592.799982
4,fluB,0.951192401,-4601.511252
4,fluB,0.981192401,-4600.339073
