HHS_region,pathogen2,chi,loglik
10,fluA,0.371578751,-5082.066998
10,fluA,0.401578751,-5067.150086
10,fluA,0.431578751,-5056.110316
10,fluA,0.461578751,-5048.886921
10,fluA,0.491578751,-5046.441793
10,fluA,0.521578751,-5048.139709
10,fluA,0.551578751,-5055.247411
10,fluA,0.581578751,-5066.593043
10,fluA,0.6,-5076.712176
10,fluA,0.611578751,-5085.005871
10,fluA,0.7,-5161.376195
10,fluA,0.8,-5255.913329
10,fluA,0.9,-5303.229026
10,fluA,1,-5353.229026
1,fluA,0.408806192,-3518.300924
1,fluA,0.438806192,-3494.708519
1,fluA,0.468806192,-3479.180852
1,fluA,0.498806192,-3469.049638
1,fluA,0.528806192,-3464.029222
1,fluA,0.558806192,-3463.823877
1,fluA,0.588806192,-3468.154016
1,fluA,0.618806192,-3476.77656
1,fluA,0.648806192,-3489.499033
1,fluA,0.678806192,-3506.189968
1,fluA,0.7,-3520.34
1,fluA,0.8,-3613.88
1,fluA,0.9,-3757.51
1,fluA,1,-3966.74
2,fluA,0.45,-8228.505428
2,fluA,0.48,-8222.921418
2,fluA,0.5145143,-8213.679
2,fluA,0.5445143,-8203.962
2,fluA,0.5745143,-8194
2,fluA,0.6045143,-8183.862
2,fluA,0.6345143,-8173.712
2,fluA,0.6645143,-8171.28
2,fluA,0.6945143,-8161.965
2,fluA,0.7245143,-8174.914
2,fluA,0.7545143,-8191.232
2,fluA,0.7845143,-8202.219
2,fluA,0.8145432,-8209.322
2,fluA,0.8445143,-8213.58
3,fluA,0.439161231,-6938.612095
3,fluA,0.469161231,-6863.546266
3,fluA,0.499161231,-6808.70966
3,fluA,0.529161231,-6767.137242
3,fluA,0.559161231,-6697.37362
3,fluA,0.589161231,-6665.569747
3,fluA,0.619161231,-6669.100001
3,fluA,0.649161231,-6678.010119
3,fluA,0.679161231,-6692.080568
3,fluA,0.709161231,-6711.248394
3,fluA,0.8,-6802.479
3,fluA,0.9,-6978.695
4,fluA,0.6040137,-12700.41
4,fluA,0.6340137,-12700.21
4,fluA,0.6640137,-12699.65
4,fluA,0.6940137,-12698.65
4,fluA,0.7240137,-12697.23
4,fluA,0.7540137,-12669.04
4,fluA,0.7840137,-12596.83
4,fluA,0.8140137,-12591.42
4,fluA,0.8440137,-12593.35
4,fluA,0.8740137,-12597.47
4,fluA,0.9040137,-12600.36
4,fluA,0.934020142,-12600.99661
4,fluA,0.964020142,-12610.86367
4,fluA,0.994020142,-12620.13673
5,fluA,0.66,-14664.76172
5,fluA,0.69,-14602.14489
5,fluA,0.72,-14586.31562
5,fluA,0.75,-14533.89959
5,fluA,0.78,-14526.41946
5,fluA,0.81,-14535.9293
5,fluA,0.84,-14562.41918
5,fluA,0.87,-14606.54085
5,fluA,0.9,-14669.79478
5,fluA,0.93,-14754.76619
5,fluA,0.96,-14865.43163
5,fluA,0.99,-15007.5265
5,fluA,0.8,-14530.88415
6,fluA,0.525,-14093.66714
6,fluA,0.555,-14088.88087
6,fluA,0.585,-14083.9142
6,fluA,0.615,-14015.32133
6,fluA,0.645,-14005.04137
6,fluA,0.675,-13894.40636
6,fluA,0.705,-13881.34905
6,fluA,0.735,-13873.12761
6,fluA,0.765,-13869.55377
6,fluA,0.773,-13869.38
6,fluA,0.795,-13870.58267
6,fluA,0.855,-14080.90389
6,fluA,0.825,-14073.72998
7,fluA,0.45,-4159.999884
7,fluA,0.47,-4158.168658
7,fluA,0.517,-4097.472
7,fluA,0.54,-4098.611
7,fluA,0.57,-4106.610671
7,fluA,0.6,-4111.654383
7,fluA,0.63,-4137.488616
7,fluA,0.66,-4147.76214
7,fluA,0.7,-4161.865595
7,fluA,0.72,-4175.77781
7,fluA,0.75,-4198.936578
9,"fluA",0.589719118069421,-10953.2158323431
9,"fluA",0.619719118069421,-10896.3006793112
9,"fluA",0.649719118069421,-10840.8081083496
9,"fluA",0.679719118069421,-10786.7152957718
9,"fluA",0.709719118069421,-10631.5346383295
9,"fluA",0.739719118069421,-10616.7191483605
9,"fluA",0.769719118069421,-10600.6104056016
9,"fluA",0.799719118069421,-10596.0995608863
9,"fluA",0.829719118069421,-10621.1136235352
9,"fluA",0.859719118069421,-10705.5566426007
9,"fluA",0.889719118069421,-10822.6268294737
9,"fluA",0.919719118069421,-10995.7002848949
9,"fluA",0.949719118069421,-11203.4216946469
9,"fluA",0.979719118069421,-11446.4511828994
