HHS_region,pathogen2,chi,loglik
10,fluB,0.09762374,-2316.541
10,fluB,0.132664187,-2313.09
10,fluB,0.1576237,-2311.166
10,fluB,0.1876237,-2311.632
10,fluB,0.192664188,-2310.778869
10,fluB,0.222664188,-2313.05549
10,fluB,0.252664188,-2316.296093
10,fluB,0.282664188,-2317.487391
10,fluB,0.312664188,-2321.192624
1,"fluB",0.459169762562323,-1344.78129871152
1,"fluB",0.489169762562323,-1334.39131553848
1,"fluB",0.519169762562323,-1329.89878214488
1,"fluB",0.549169762562323,-1330.52874496194
1,"fluB",0.579169762562323,-1330.71405049197
1,"fluB",0.609169762562323,-1329.013150998
1,"fluB",0.639169762562323,-1326.24109991965
1,"fluB",0.669169762562323,-1337.99010400706
1,"fluB",0.699169762562323,-1369.65906790215
1,"fluB",0.729169762562323,-1374.37627678274
1,"fluB",0.759169762562323,-1380.9248966508
2,fluB,0.45,-3262.82795
2,fluB,0.48,-3257.239102
2,fluB,0.51,-3248.511264
2,fluB,0.5374395,-3246.639
2,fluB,0.54,-3246.170977
2,fluB,0.5674395,-3241.178
2,fluB,0.57,-3240.71465
2,fluB,0.5974395,-3251.637
2,fluB,0.6274395,-3260.171793
2,fluB,0.6574395,-3262.693
2,fluB,0.66,-3261.542736
2,fluB,0.6874395,-3263.309
2,fluB,0.716586,-3263.951
2,fluB,0.7174395,-3263.97
2,fluB,0.7474395,-3264.667
2,fluB,0.7774395,-3265.397
2,fluB,0.8074395,-3266.161
2,fluB,0.8374395,-3266.956
2,fluB,0.8674395,-3267.778
3,"fluB",0.596896300041798,-2364.3308268537
3,"fluB",0.626896300041798,-2350.07431894914
3,"fluB",0.656896300041798,-2333.35612788591
3,"fluB",0.686896300041798,-2302.8343427573
3,"fluB",0.716896300041798,-2224.17700612355
3,"fluB",0.746896300041798,-2227.45759632883
3,"fluB",0.776896300041798,-2239.8859603112
3,"fluB",0.806896300041798,-2262.17543771583
3,"fluB",0.836896300041798,-2297.6312279754
3,"fluB",0.866896300041798,-2349.16484476992
3,"fluB",0.896896300041798,-2404.25580045921
3,"fluB",0.926896300041798,-2431.01642283576
3,"fluB",0.956896300041798,-2434.50692167892
3,"fluB",0.986896300041798,-2434.67986758352
4,fluB,0.5,-4612.782474
4,fluB,0.53,-4610.017616
4,fluB,0.56,-4607.414145
4,fluB,0.651192401,-4600.414145
4,fluB,0.681192401,-4598.295793
4,fluB,0.711192401,-4596.395826
4,fluB,0.741192401,-4598.295793
4,fluB,0.771192401,-4594.424816
4,fluB,0.801192401,-4589.439455
4,fluB,0.831192401,-4587.520057
4,fluB,0.868,-4587.584
4,fluB,0.861192401,-4589.787074
4,fluB,0.891192401,-4590.219808
4,fluB,0.921192401,-4592.799982
4,fluB,0.951192401,-4601.511252
4,fluB,0.981192401,-4600.339073
5,fluB,0.45,-3581.689
5,fluB,0.48,-3526.438
5,fluB,0.51,-3498.87
5,fluB,0.54,-3484.762
5,fluB,0.57,-3476.094
5,fluB,0.6,-3479.523765
5,fluB,0.63,-3476.46175
5,fluB,0.66,-3474.391
5,fluB,0.69,-3477.464
5,fluB,0.72,-3482.879519
5,fluB,0.75,-3493.731755
6,fluB,0.45,-4863.107022
6,fluB,0.48,-4862.750205
6,fluB,0.51,-4862.391812
6,fluB,0.54,-4862.031884
6,fluB,0.57,-4861.670412
6,fluB,0.6,-4861.307377
6,fluB,0.602,-4858.322
6,fluB,0.63,-4860.942796
6,fluB,0.66,-4863.514712
6,fluB,0.69,-4864.829919
6,fluB,0.72,-4874.026061
6,fluB,0.75,-4881.910445
7,fluB,0.482697793,-2288.249045
7,fluB,0.512697793,-2283.528042
7,fluB,0.542697793,-2268.293949
7,fluB,0.572697793,-2261.431402
7,fluB,0.602697793,-2257.143341
7,fluB,0.632697793,-2255.235678
7,fluB,0.662697793,-2311.385876
7,fluB,0.692697793,-2358.704896
7,fluB,0.722697793,-2373.056548
7,fluB,0.752697793,-2374.649101
7,fluB,0.782697793,-2391.432192
9,fluB,0.448583713,-6586.620172
9,fluB,0.478583713,-6583.210489
9,fluB,0.508583713,-6540.465711
9,fluB,0.538583713,-6503.395448
9,fluB,0.568583713,-6484.539203
9,fluB,0.598583713,-6488.277288
9,fluB,0.628583713,-6508.294454
9,fluB,0.658583713,-6529.407196
9,fluB,0.688583713,-6573.135755
9,fluB,0.718583713,-6620.341334
