HHS_region,pathogen2,psi,loglik
6,fluB,0.71,-4858.427704
6,fluB,0.74,-4858.436282
6,fluB,0.77,-4858.445138
6,fluB,0.8,-4858.454315
6,fluB,0.83,-4858.463839
6,fluB,0.86,-4858.473675
6,fluB,0.89,-4858.483813
6,fluB,0.92,-4858.55496
6,fluB,0.95,-4858.505006
6,fluB,0.98,-4858.516044
7,fluB,0.71,-2272.154866
7,fluB,0.74,-2272.142831
7,fluB,0.77,-2256.585652
7,fluB,0.8,-2255.335245
7,fluB,0.83,-2255.93604
7,fluB,0.86,-2272.095335
7,fluB,0.89,-2255.382
7,fluB,0.92,-2272.071956
7,fluB,0.95,-2256.033911
7,fluB,0.98,-2272.048841
9,fluB,0.71,-6487.433608
9,fluB,0.74,-6485.332395
9,fluB,0.77,-6499.102589
9,fluB,0.8,-6488.759113
9,fluB,0.83,-6483.656861
9,fluB,0.86,-6498.304825
9,fluB,0.92,-6484.058647
9,fluB,0.95,-6489.870636
9,fluB,0.98,-6496.191683
