"HHS_region","pathogen2","chi","loglik"
5,"fluA",0.6,-17507.9909976979
5,"fluA",0.63,-17503.7817921824
5,"fluA",0.66,-14664.7617235898
5,"fluA",0.69,-14602.1448880469
5,"fluA",0.72,-17486.3156183636
5,"fluA",0.75,-14533.8995948099
5,"fluA",0.78,-14526.4194604034
5,"fluA",0.81,-14535.9292981184
5,"fluA",0.84,-14562.4191783631
5,"fluA",0.87,-14606.5408527795
5,"fluA",0.9,-14669.7947801417
5,"fluA",0.93,-14754.7661897618
5,"fluA",0.96,-14865.4316261898
5,"fluA",0.99,-15007.5264961223
5,"fluA",0.8,-14530.8841533051
