HHS_region,pathogen2,chi,loglik
10,fluA,0.371578751,-5082.066998
10,fluA,0.401578751,-5067.150086
10,fluA,0.431578751,-5056.110316
10,fluA,0.461578751,-5048.886921
10,fluA,0.491578751,-5046.441793
10,fluA,0.497,-5045.905
10,fluA,0.521578751,-5048.139709
10,fluA,0.551578751,-5055.247411
10,fluA,0.581578751,-5066.593043
10,fluA,0.611578751,-5085.005871
1,fluA,0.408806192,-3518.300924
1,fluA,0.438806192,-3494.708519
1,fluA,0.468806192,-3479.180852
1,fluA,0.498806192,-3469.049638
1,fluA,0.528806192,-3464.029222
1,fluA,0.545,-3463.339
1,fluA,0.558806192,-3463.823877
1,fluA,0.588806192,-3468.154016
1,fluA,0.618806192,-3476.77656
1,fluA,0.648806192,-3489.499033
1,fluA,0.678806192,-3506.189968
2,fluA,0.45,-8228.505428
2,fluA,0.48,-8222.921418
2,fluA,0.51,-8215.117
2,fluA,0.54,-8205.440722
2,fluA,0.57,-8195.512204
2,fluA,0.6,-8185.394485
2,fluA,0.66,-8165.633088
2,fluA,0.686,-8161.415
2,fluA,0.69,-8124.866249
2,fluA,0.72,-8134.989842
2,fluA,0.75,-8142.65223
3,fluA,0.525,-6683.400608
3,fluA,0.555,-6668.876624
3,fluA,0.586,-6665.527
3,fluA,0.615,-6668.281697
3,fluA,0.645,-6676.462753
3,fluA,0.675,-6689.824491
3,fluA,0.705,-6708.283572
3,fluA,0.735,-6731.908678
3,fluA,0.765,-6760.944811
3,fluA,0.795,-6797.229292
3,fluA,0.825,-6837.370688
3,fluA,0.855,-6886.608653
4,"fluA",0.604013722589122,-12700.4053546516
4,"fluA",0.634013722589122,-12700.2102696378
4,"fluA",0.664013722589122,-12699.6502174534
4,"fluA",0.694013722589122,-12698.6474185068
4,"fluA",0.724013722589122,-12697.2269618135
4,"fluA",0.754013722589122,-11669.0382672588
4,"fluA",0.784013722589121,-11676.8250763126
4,"fluA",0.814013722589122,-11685.1913556622
4,"fluA",0.844013722589122,-12553.351220492
4,"fluA",0.874013722589122,-12577.4693367651
4,"fluA",0.904013722589122,-12590.3611644253
4,"fluA",0.934013722589122,-12600.9944336141
4,"fluA",0.964013722589122,-12610.8616252811
4,"fluA",0.994013722589122,-12620.1348070164
5,fluA,0.6,-17507.991
5,fluA,0.63,-17503.78179
5,fluA,0.66,-14664.76172
5,fluA,0.69,-14602.14489
5,fluA,0.75,-14533.89959
5,fluA,0.778,-14526.386
5,fluA,0.78,-14526.41946
5,fluA,0.8,-14530.88415
5,fluA,0.81,-14535.9293
5,fluA,0.84,-14562.41918
5,fluA,0.87,-14606.54085
5,fluA,0.9,-14669.79478
5,fluA,0.93,-14754.76619
5,fluA,0.96,-14865.43163
5,fluA,0.99,-15007.5265
6,fluA,0.525,-14093.66714
6,fluA,0.555,-14088.88087
6,fluA,0.585,-14083.9142
6,fluA,0.615,-14015.32133
6,fluA,0.645,-14005.04137
6,fluA,0.675,-13894.40636
6,fluA,0.705,-13881.34905
6,fluA,0.735,-13873.12761
6,fluA,0.765,-13869.55377
6,fluA,0.773,-13869.38
6,fluA,0.795,-13870.58267
6,fluA,0.825,-14020.90389
6,fluA,0.855,-14073.72998
7,fluA,0.45,-4459.999884
7,fluA,0.48,-4425.726606
7,fluA,0.51,-4415.956901
7,fluA,0.517,-4097.472
7,fluA,0.54,-4098.610933
7,fluA,0.57,-4103.38769
7,fluA,0.63,-4123.842613
7,fluA,0.66,-4137.8102
7,fluA,0.69,-4155.375652
7,fluA,0.72,-4175.77781
7,fluA,0.75,-4198.936581
9,fluA,0.589719118,-10953.21583
9,fluA,0.619719118,-10896.30068
9,fluA,0.649719118,-10840.80811
9,fluA,0.679719118,-10786.7153
9,fluA,0.709719118,-10631.53464
9,fluA,0.739719118,-10616.71915
9,fluA,0.769719118,-10600.61041
9,fluA,0.786,-10596.154
9,fluA,0.799719118,-10596.09956
9,fluA,0.829719118,-10621.11362
9,fluA,0.859719118,-10705.55664
9,fluA,0.889719118,-10822.62683
9,fluA,0.919719118,-10995.70028
9,fluA,0.949719118,-11203.42169
9,fluA,0.979719118,-11446.45118
