HHS_region,pathogen2,chi,loglik
9,fluA,0.589719118,-10953.21583
9,fluA,0.619719118,-10896.30068
9,fluA,0.649719118,-10840.80811
9,fluA,0.679719118,-10786.7153
9,fluA,0.709719118,-10631.53464
9,fluA,0.739719118,-10616.71915
9,fluA,0.769719118,-10600.61041
9,fluA,0.786,-10596.154
9,fluA,0.799719118,-10596.09956
9,fluA,0.829719118,-10621.11362
9,fluA,0.859719118,-10705.55664
9,fluA,0.889719118,-10822.62683
9,fluA,0.919719118,-10995.70028
9,fluA,0.949719118,-11203.42169
9,fluA,0.979719118,-11446.45118
